region,rows,rmse,weight_share,effective_n,method,alpha,qualified,reason
union,3768656,0.00040407767839331795,,,B,0.0,True,qualified
stencil,602995,0.0007227265017865017,,,B,0.0,True,qualified
added,3165661,0.00030803574313282845,,,B,0.0,True,qualified
distance-0-0.5,87943,0.0014256275867826494,,,B,0.0,True,qualified
distance-0.5-1,530922,0.0006524977417911955,,,B,0.0,True,qualified
distance-1-1.5,911994,0.000391223156517383,,,B,0.0,True,qualified
distance-1.5-2,1092380,0.00021206353395107256,,,B,0.0,True,qualified
distance-2-2.5,1145417,0.00013812237987779387,,,B,0.0,True,qualified
union,3768656,0.00046526513537442394,,,A,0.0,True,qualified
stencil,602995,0.0006465016137467238,,,A,0.0,True,qualified
added,3165661,0.0004220086792464025,,,A,0.0,True,qualified
distance-0-0.5,87943,0.0008962736030532828,,,A,0.0,True,qualified
distance-0.5-1,530922,0.0007190559801955919,,,A,0.0,True,qualified
distance-1-1.5,911994,0.00045529845508862984,,,A,0.0,True,qualified
distance-1.5-2,1092380,0.00041648895235241656,,,A,0.0,True,qualified
distance-2-2.5,1145417,0.00028358105809607025,,,A,0.0,True,qualified
union,3768656,0.0015384438189167656,,,B,0.1,False,budget-exhausted
stencil,602995,0.0034605234863313745,,,B,0.1,False,budget-exhausted
added,3165661,0.0007325292637136794,,,B,0.1,False,budget-exhausted
distance-0-0.5,87943,0.007831229874218432,,,B,0.1,False,budget-exhausted
distance-0.5-1,530922,0.0025626256025136312,,,B,0.1,False,budget-exhausted
distance-1-1.5,911994,0.00019678421250284586,,,B,0.1,False,budget-exhausted
distance-1.5-2,1092380,5.1161444623871724e-05,,,B,0.1,False,budget-exhausted
distance-2-2.5,1145417,3.668163281209417e-05,,,B,0.1,False,budget-exhausted
union,3768656,0.0005067872463612828,,,A,0.1,True,qualified
stencil,602995,0.0009621801979988578,,,A,0.1,True,qualified
added,3165661,0.00035973646787180915,,,A,0.1,True,qualified
distance-0-0.5,87943,0.002112272602893571,,,A,0.1,True,qualified
distance-0.5-1,530922,0.000722219808705045,,,A,0.1,True,qualified
distance-1-1.5,911994,0.0003801936914587625,,,A,0.1,True,qualified
distance-1.5-2,1092380,0.0003161338328699139,,,A,0.1,True,qualified
distance-2-2.5,1145417,0.00022427276522518305,,,A,0.1,True,qualified
union,3768656,0.0009535752454773396,,,B,0.5,False,budget-exhausted
stencil,602995,0.002107096867066611,,,B,0.5,False,budget-exhausted
added,3165661,0.0004866276057047785,,,B,0.5,False,budget-exhausted
distance-0-0.5,87943,0.004823131448432755,,,B,0.5,False,budget-exhausted
distance-0.5-1,530922,0.0015090738345149022,,,B,0.5,False,budget-exhausted
distance-1-1.5,911994,0.00042640078276427404,,,B,0.5,False,budget-exhausted
distance-1.5-2,1092380,7.522485775670504e-05,,,B,0.5,False,budget-exhausted
distance-2-2.5,1145417,2.82942748095581e-06,,,B,0.5,False,budget-exhausted
union,3768656,0.0012016265964792541,,,A,0.5,False,budget-exhausted
stencil,602995,0.0027244032523244467,,,A,0.5,False,budget-exhausted
added,3165661,0.0005523842514553052,,,A,0.5,False,budget-exhausted
distance-0-0.5,87943,0.006241836739159834,,,A,0.5,False,budget-exhausted
distance-0.5-1,530922,0.0019182346081969628,,,A,0.5,False,budget-exhausted
distance-1-1.5,911994,0.00019989047637423266,,,A,0.5,False,budget-exhausted
distance-1.5-2,1092380,0.0001190404198027058,,,A,0.5,False,budget-exhausted
distance-2-2.5,1145417,9.234861549501772e-05,,,A,0.5,False,budget-exhausted
union,3768656,0.0006521125696917176,,,B,1.0,False,budget-exhausted
stencil,602995,0.0014263382115601245,,,B,1.0,False,budget-exhausted
added,3165661,0.00034457563436303054,,,B,1.0,False,budget-exhausted
distance-0-0.5,87943,0.003327210392990429,,,B,1.0,False,budget-exhausted
distance-0.5-1,530922,0.0009135080333326034,,,B,1.0,False,budget-exhausted
distance-1-1.5,911994,0.000439485314449902,,,B,1.0,False,budget-exhausted
distance-1.5-2,1092380,9.036160684635146e-05,,,B,1.0,False,budget-exhausted
distance-2-2.5,1145417,2.8716170392508213e-05,,,B,1.0,False,budget-exhausted
union,3768656,0.0012983462827073477,,,A,1.0,False,budget-exhausted
stencil,602995,0.002931887594041773,,,A,1.0,False,budget-exhausted
added,3165661,0.0006078129954401225,,,A,1.0,False,budget-exhausted
distance-0-0.5,87943,0.006691956050786,,,A,1.0,False,budget-exhausted
distance-0.5-1,530922,0.0021024748619269994,,,A,1.0,False,budget-exhausted
distance-1-1.5,911994,0.0002495844816210924,,,A,1.0,False,budget-exhausted
distance-1.5-2,1092380,7.89645954782042e-05,,,A,1.0,False,budget-exhausted
distance-2-2.5,1145417,5.937225588104304e-05,,,A,1.0,False,budget-exhausted
union,3768656,0.002137494319437149,1.0,33853.63206495423,C,checkpoint,False,budget-exhausted
