method,alpha,qualified,reason,parameter,below_0_01,n,bias,rmse,p99,max,total,missing,complete_population
B,0.0,True,qualified,A,129,168,0.002395012748847495,0.009170731148279283,0.029742537657414303,0.04354647368819986,168,0,True
B,0.0,True,qualified,B,168,168,9.962290467776914e-05,0.00036424120764857695,0.0013695365364637668,0.0017682694716891767,168,0,True
B,0.0,True,qualified,C,168,168,-7.36587094897165e-05,0.0003231369884650335,0.0011213317852506455,0.0011338332265477258,168,0,True
A,0.0,True,qualified,A,115,168,0.0032321147390618993,0.011471953945420346,0.0412576166534393,0.05447414332796896,168,0,True
A,0.0,True,qualified,B,168,168,9.962290467776914e-05,0.00036424120764857695,0.0013695365364637668,0.0017682694716891767,168,0,True
A,0.0,True,qualified,C,168,168,-0.00011592513149176783,0.0006373286402054358,0.002014999069550938,0.0021717336579366586,168,0,True
B,0.1,False,budget-exhausted,A,150,168,-0.002394281592963473,0.009867574476075931,0.05524736571750388,0.0783422771916058,168,0,True
B,0.1,False,budget-exhausted,B,168,168,9.962290467776914e-05,0.00036424120764857695,0.0013695365364637668,0.0017682694716891767,168,0,True
B,0.1,False,budget-exhausted,C,168,168,-1.9352235117620472e-05,7.566181293496111e-05,0.0001757638427869468,0.00017823590241969334,168,0,True
A,0.1,True,qualified,A,115,168,0.0023467930369604614,0.00911389138078303,0.020679101607779415,0.02130607101253723,168,0,True
A,0.1,True,qualified,B,168,168,9.962290467776914e-05,0.00036424120764857695,0.0013695365364637668,0.0017682694716891767,168,0,True
A,0.1,True,qualified,C,168,168,-9.10373295212517e-05,0.0004931498828722383,0.0012656114348688075,0.0014519734819739005,168,0,True
B,0.5,False,budget-exhausted,A,145,168,-0.0011506109953156808,0.0077134879471671075,0.027245799146660588,0.02932274005101565,168,0,True
B,0.5,False,budget-exhausted,B,168,168,9.962290467776914e-05,0.00036424120764857695,0.0013695365364637668,0.0017682694716891767,168,0,True
B,0.5,False,budget-exhausted,C,168,168,-1.149011326158827e-06,4.776968399691263e-06,1.0504958503132489e-05,1.1391551220318874e-05,168,0,True
A,0.5,False,budget-exhausted,A,159,168,-0.0008425235322847875,0.006622037650184608,0.027985507245785968,0.06113822178074546,168,0,True
A,0.5,False,budget-exhausted,B,168,168,9.962290467776914e-05,0.00036424120764857695,0.0013695365364637668,0.0017682694716891767,168,0,True
A,0.5,False,budget-exhausted,C,168,168,-3.92981644099634e-05,0.00018292652486212824,0.0004399666134287106,0.0005168636873089105,168,0,True
B,1.0,False,budget-exhausted,A,150,168,0.00011016244350063664,0.005892718612833542,0.01711622258556389,0.026724694969289864,168,0,True
B,1.0,False,budget-exhausted,B,168,168,9.962290467776914e-05,0.00036424120764857695,0.0013695365364637668,0.0017682694716891767,168,0,True
B,1.0,False,budget-exhausted,C,168,168,-7.32515522760866e-06,0.0001002318779673679,0.00070350367335692,0.0009195969629844924,168,0,True
A,1.0,False,budget-exhausted,A,146,168,-0.00126555385597913,0.007717477214569741,0.028933150279944364,0.04457632031967229,168,0,True
A,1.0,False,budget-exhausted,B,168,168,9.962290467776914e-05,0.00036424120764857695,0.0013695365364637668,0.0017682694716891767,168,0,True
A,1.0,False,budget-exhausted,C,168,168,-2.5534367133417827e-05,0.00011406691276322933,0.00025730174361127123,0.00029316126555289923,168,0,True
C,checkpoint,False,budget-exhausted,A,113,168,-0.005029063542664207,0.01791644609465888,0.07039239066372271,0.10424927960033425,168,0,True
C,checkpoint,False,budget-exhausted,B,168,168,9.962290467776914e-05,0.00036424120764857695,0.0013695365364637668,0.0017682694716891767,168,0,True
C,checkpoint,False,budget-exhausted,C,168,168,-9.060708412846521e-06,0.00011271023955136992,0.0006205659110114226,0.0010468595273983583,168,0,True
