seed,phase,iteration,objective,stationarity,minimum_variance,maximum_variance,linear_solves,backtracks
checkpoint,primary,0,-93.13588466235844,0.41879350801143495,3.7587268250150565e-08,5.2491795710921015e-06,0,0
checkpoint,primary,1,-224.61906670569783,0.39138333351670024,4.855820802396565e-09,1.4666235152089015e-06,1,0
checkpoint,primary,2,-295.61285110211315,0.31334300366811857,4.192078906459031e-09,1.7311420670996673e-06,2,0
checkpoint,primary,3,-349.2503990508042,0.27202624603307857,2.1923671871082333e-09,2.0962139711042485e-06,3,0
checkpoint,primary,4,-396.1197434999364,0.2420105731970332,9.738225858146409e-10,2.41192806340016e-06,4,0
checkpoint,primary,5,-437.91201213117944,0.22117477278792677,4.917560952915342e-10,2.695085162969914e-06,5,0
checkpoint,primary,6,-475.0138679781659,0.2037931538978857,2.832051829540599e-10,2.960591385482691e-06,6,0
checkpoint,primary,7,-508.0985302289762,0.18704762549953743,1.8318924375133182e-10,3.2171795392170686e-06,7,0
checkpoint,primary,8,-537.9231393358679,0.17104963480133736,1.2905939797643977e-10,3.5947932531131584e-06,8,0
checkpoint,primary,9,-564.6388738124949,0.15642493489290576,9.671038942753951e-11,4.125609789614777e-06,9,0
checkpoint,primary,10,-589.0367896940722,0.1431029335466091,7.601210729554172e-11,4.6384624919439065e-06,10,0
checkpoint,primary,11,-611.0994317988002,0.1308517867988141,6.197605010267656e-11,5.126504952570555e-06,11,0
checkpoint,primary,12,-630.7463492763634,0.11939281253671573,5.243708790215919e-11,5.634791322342353e-06,12,0
checkpoint,primary,13,-648.2423830451119,0.1086552836829588,4.56301163140889e-11,6.155998841902063e-06,13,0
checkpoint,primary,14,-663.8946068889492,0.10109469026940597,4.0396848241700754e-11,6.664637739148183e-06,14,0
checkpoint,primary,15,-677.7726995692307,0.09851680313589205,3.630445812917304e-11,7.1816345871649675e-06,15,0
checkpoint,primary,16,-690.4078701616437,0.09558661261399877,3.2959932853560005e-11,7.6870025991548e-06,16,0
checkpoint,primary,17,-701.8348415610154,0.09231951689784627,3.0010905237185104e-11,8.185456395765654e-06,17,0
checkpoint,primary,18,-711.7894301449471,0.08857754444294384,2.7608818520440145e-11,8.716848993371395e-06,18,0
checkpoint,primary,19,-721.0731053643241,0.08452312877537484,2.5630628687307896e-11,9.306719834706648e-06,19,0
checkpoint,primary,20,-730.3648462664019,0.08298303519689108,2.3845832870888305e-11,9.960428972639402e-06,20,0
checkpoint,primary,21,-739.4877762487341,0.08160985170565445,2.2038710639307495e-11,1.0625444701323885e-05,21,0
checkpoint,primary,22,-747.7896683336247,0.08014669852070179,2.047999731025599e-11,1.1271555659575992e-05,22,0
checkpoint,primary,23,-755.6005195804153,0.07848715213176442,1.912569447637829e-11,1.1955591579492935e-05,23,0
checkpoint,primary,24,-763.5714423034948,0.07679778701915495,1.7910683189246015e-11,1.2716369754432925e-05,24,0
checkpoint,primary,25,-771.8758858397812,0.07519729189466863,1.6604897257284173e-11,1.3545051260117997e-05,25,0
checkpoint,primary,26,-779.7871352125077,0.07359761374037709,1.5449752887601647e-11,1.4423739265244284e-05,26,0
checkpoint,primary,27,-787.5060485453389,0.07185483016392456,1.4374456720818257e-11,1.5312296489247997e-05,27,0
checkpoint,primary,28,-794.8185279573415,0.06997540292118308,1.341587788336203e-11,1.6130888194698267e-05,28,0
checkpoint,primary,29,-801.5200812046853,0.06811876870354115,1.2619564455954972e-11,1.68454079045875e-05,29,0
checkpoint,primary,30,-808.484065039259,0.06640830553551165,1.1909552172469595e-11,1.7481914481408026e-05,30,0
checkpoint,primary,31,-814.9802460746247,0.0648007635521426,1.1218916073535286e-11,1.806951448769226e-05,31,0
checkpoint,primary,32,-821.2873456987757,0.06312330262522821,1.0655058304464219e-11,1.8622170932065843e-05,32,0
checkpoint,primary,33,-828.2485125003527,0.061223452911560984,1.0092837159623198e-11,1.914377786710399e-05,33,0
checkpoint,primary,34,-834.8979976185316,0.05911496518585819,9.49275899951819e-12,1.963448449045615e-05,34,0
checkpoint,primary,35,-841.6866890488488,0.05697447715885815,8.952424206598773e-12,2.0093181698435193e-05,35,0
checkpoint,primary,36,-848.1166385382256,0.055316502318916196,8.43095578785107e-12,2.0518644032612805e-05,36,0
checkpoint,primary,37,-854.0254871023088,0.056092350482257476,7.991545230126903e-12,2.090978426977791e-05,37,0
checkpoint,primary,38,-859.8103620552959,0.05651078870762175,7.607260342838132e-12,2.1265092794440576e-05,38,0
checkpoint,primary,39,-865.5912239100975,0.05754995364599292,7.238318213549227e-12,2.1582781577016317e-05,39,0
checkpoint,primary,40,-871.3698980236952,0.059173553016989934,6.879076742855904e-12,2.186228030163526e-05,40,0
checkpoint,primary,41,-876.9636315080987,0.06081990213061376,6.555746106752271e-12,2.2105722462167e-05,41,0
checkpoint,primary,42,-882.6659414769116,0.062333628489782834,6.258985601024993e-12,2.2317681119048203e-05,42,0
checkpoint,primary,43,-888.0210217350772,0.06345375394780912,5.971905129483909e-12,2.2504196983186385e-05,43,0
checkpoint,primary,44,-893.1574512519123,0.06388382945982136,5.737593759511271e-12,2.2671095649993744e-05,44,0
checkpoint,primary,45,-898.1038554711768,0.06361495699776833,5.514552483990356e-12,2.282263613253769e-05,45,0
checkpoint,primary,46,-902.5828490668692,0.06292821154494356,5.328585603631921e-12,2.296189704872974e-05,46,0
