method,alpha,serial_id,qualified,A,truth_A,error_A,B,truth_B,error_B,C,truth_C,error_C
input,0,1,,7.014983454261828,7.0,0.014983454261828122,0.5006700895866601,0.5,0.0006700895866601497,-0.5930831725930814,-0.592,-0.0010831725930814384
input,0,2,,5.9911146565021225,6.0,-0.008885343497877507,0.49973866680794166,0.5,-0.00026133319205834393,0.24515494342880295,0.244,0.001154943428802957
input,0,3,,6.018750736346137,6.0,0.018750736346136776,0.5010547590387352,0.5,0.001054759038735198,0.5615401618309154,0.559,0.0025401618309153218
input,0,4,,8.000017983317747,8.0,1.7983317746939065e-05,0.4998623423840209,0.5,-0.0001376576159791143,-0.6675525948377169,-0.665,-0.0025525948377168595
input,0,5,,6.020044223588184,6.0,0.020044223588183918,0.5004618081522624,0.5,0.00046180815226237737,-0.27592169482640605,-0.274,-0.0019216948264060285
input,0,6,,6.014140818106266,6.0,0.014140818106265662,0.5002793496992273,0.5,0.0002793496992272715,0.07241739042966526,0.073,-0.0005826095703347356
input,0,7,,16.004920537409042,16.0,0.00492053740904197,0.5000584211641425,0.5,5.8421164142452575e-05,-0.1410880220852972,-0.141,-8.80220852972069e-05
input,0,8,,6.00324317981215,6.0,0.0032431798121503874,0.5001007016307941,0.5,0.00010070163079411998,-0.07018134995555728,-0.07,-0.00018134995555726952
input,0,9,,7.0163979412176385,7.0,0.01639794121763849,0.5004557912719491,0.5,0.00045579127194905755,-0.5917472431261869,-0.589,-0.0027472431261869046
input,0,10,,5.991432004078723,6.0,-0.008567995921277216,0.49971507655631664,0.5,-0.0002849234436833603,0.23614193964111108,0.235,0.0011419396411110894
input,0,11,,6.007855572415117,6.0,0.007855572415117251,0.5001919524017013,0.5,0.0001919524017013341,0.5600298444661562,0.559,0.0010298444661561712
input,0,12,,8.002095805827139,8.0,0.0020958058271389746,0.5000695910924838,0.5,6.959109248383388e-05,-0.6565552178636033,-0.656,-0.0005552178636032412
input,0,13,,5.992402145543509,6.0,-0.007597854456490971,0.49973767969807315,0.5,-0.00026232030192685496,-0.1558177907235096,-0.156,0.00018220927649040264
input,0,14,,6.008579772181128,6.0,0.008579772181128043,0.5003433251834623,0.5,0.0003433251834622508,0.006249303535987528,0.007,-0.000750696464012472
input,0,15,,6.004883154460864,6.0,0.00488315446086407,0.5002282548410959,0.5,0.00022825484109589844,-0.20415580891952737,-0.204,-0.0001558089195273782
input,0,16,,6.006806121791227,6.0,0.006806121791226971,0.5003124298826342,0.5,0.0003124298826342464,-0.20483740713516602,-0.205,0.0001625928648339714
input,0,17,,6.003412188510764,6.0,0.0034121885107643024,0.5001161001708639,0.5,0.00011610017086394198,-0.17748371439361021,-0.177,-0.00048371439361022395
input,0,18,,6.003161455030835,6.0,0.003161455030834759,0.5000337406215977,0.5,3.3740621597666554e-05,-0.17961841650639468,-0.179,-0.0006184165063946867
input,0,19,,6.005784928528115,6.0,0.005784928528115074,0.5001486479475465,0.5,0.00014864794754654298,-0.1817884143057506,-0.182,0.00021158569424939433
input,0,20,,7.002774916227775,7.0,0.002774916227775037,0.5004411766584764,0.5,0.0004411766584764276,-0.5922422527389682,-0.59,-0.0022422527389682756
input,0,21,,6.00191231796303,6.0,0.0019123179630300413,0.5002906388560376,0.5,0.0002906388560376394,0.23952245717827536,0.24,-0.00047754282172463025
input,0,22,,5.984881625455935,6.0,-0.015118374544065283,0.49987146340634914,0.5,-0.00012853659365086312,0.5630537607707612,0.558,0.00505376077076114
input,0,23,,7.991642808845202,8.0,-0.008357191154797938,0.4997648204881326,0.5,-0.0002351795118674116,-0.6592100995526017,-0.658,-0.0012100995526016511
input,0,24,,6.00271250119292,6.0,0.0027125011929198806,0.4997446284199284,0.5,-0.0002553715800716061,-0.21637781486550667,-0.215,-0.0013778148655066713
input,0,25,,5.996403339237467,6.0,-0.003596660762532622,0.4999592661253823,0.5,-4.0733874617726595e-05,-0.18844604434511802,-0.19,0.0015539556548819777
input,0,26,,5.998177579791406,6.0,-0.0018224202085939112,0.5000659013079534,0.5,6.590130795336435e-05,0.11655186642593443,0.116,0.0005518664259344247
input,0,27,,6.998492121508055,7.0,-0.0015078784919451138,0.4997391052449655,0.5,-0.0002608947550344909,-0.6067719196971818,-0.604,-0.002771919697181824
input,0,28,,5.994366702985237,6.0,-0.005633297014762562,0.49995962767229685,0.5,-4.037232770315313e-05,0.9060425462350856,0.901,0.005042546235085599
input,0,29,,6.999038443909977,7.0,-0.0009615560900231301,0.49997316485383286,0.5,-2.683514616713678e-05,-0.9100635519892915,-0.908,-0.0020635519892914234
input,0,30,,6.997063842524171,7.0,-0.002936157475828871,0.4999150005696409,0.5,-8.499943035911173e-05,-0.9077286175964042,-0.906,-0.0017286175964041917
input,0,31,,7.013791787974003,7.0,0.013791787974002823,0.5002289555520358,0.5,0.00022895555203583662,-0.5854998332693226,-0.584,-0.0014998332693226812
input,0,32,,5.985190090244748,6.0,-0.014809909755252093,0.4992870702126263,0.5,-0.0007129297873736951,0.2318167778585097,0.235,-0.0031832221414902773
input,0,33,,6.008587026641086,6.0,0.008587026641086126,0.500516819374485,0.5,0.0005168193744850003,0.5679129060187781,0.563,0.00491290601877814
input,0,34,,8.000080226487242,8.0,8.022648724193004e-05,0.499969605138637,0.5,-3.0394861363025605e-05,-0.6656972664294503,-0.663,-0.002697266429450229
input,0,35,,6.006368341157411,6.0,0.006368341157410917,0.49998962742125325,0.5,-1.0372578746753458e-05,-0.15139911485230276,-0.153,0.0016008851476972397
input,0,36,,6.00249832562085,6.0,0.0024983256208503946,0.500069499101267,0.5,6.949910126696768e-05,0.020920799160572483,0.022,-0.001079200839427516
input,0,37,,6.998678845834407,7.0,-0.0013211541655930858,0.5000251127893708,0.5,2.511278937078476e-05,-0.2957493317525387,-0.296,0.00025066824746128313
input,0,38,,5.997468598972132,6.0,-0.0025314010278680854,0.499955171585956,0.5,-4.482841404401805e-05,-0.18107762754561377,-0.182,0.0009223724543862277
input,0,39,,6.003989059280588,6.0,0.003989059280588236,0.5001115376491027,0.5,0.0001115376491026554,-0.012250264344253203,-0.012,-0.0002502643442532024
input,0,40,,6.999599753182412,7.0,-0.00040024681758765723,0.500005594413528,0.5,5.594413527987285e-06,-0.22528436443186148,-0.225,-0.0002843644318614724
input,0,41,,6.992896301282652,7.0,-0.007103698717347839,0.4999813251024,0.5,-1.8674897599990636e-05,-0.5679168796323183,-0.568,8.312036768165498e-05
input,0,42,,5.991758248235055,6.0,-0.008241751764945349,0.4994900919527605,0.5,-0.0005099080472394935,0.2451278981180185,0.246,-0.0008721018819815018
input,0,43,,6.030520914784274,6.0,0.03052091478427421,0.5007992968849472,0.5,0.000799296884947176,0.5694550218062292,0.57,-0.000544978193770751
input,0,44,,7.987184960882033,8.0,-0.01281503911796733,0.4997397982690011,0.5,-0.000260201730998888,-0.6721574523114605,-0.673,0.00084254768853953
input,0,45,,6.018694027213548,6.0,0.018694027213547848,0.5005321311504219,0.5,0.0005321311504219439,-0.27754199694820614,-0.276,-0.0015419969482061147
input,0,46,,5.992026822245847,6.0,-0.007973177754153404,0.4999689991382605,0.5,-3.100086173951633e-05,0.706876456441694,0.704,0.0028764564416939864
input,0,47,,8.00541426366614,8.0,0.005414263666139618,0.5001024221917544,0.5,0.00010242219175438105,-0.7723108319880831,-0.771,-0.0013108319880831276
input,0,48,,8.007099402144135,8.0,0.00709940214413507,0.5001078722184451,0.5,0.0001078722184451042,-0.7629380404923896,-0.761,-0.0019380404923895478
input,0,49,,7.016539415255735,7.0,0.016539415255735435,0.5005167940572542,0.5,0.000516794057254244,-0.5774173613034627,-0.575,-0.002417361303462706
input,0,50,,6.004812098828647,6.0,0.00481209882864686,0.501152667373224,0.5,0.0011526673732239479,0.23480139990595308,0.234,0.0008013999059530708
input,0,51,,6.0120219434368165,6.0,0.012021943436816507,0.5006394809740775,0.5,0.0006394809740775109,0.5683236692747908,0.568,0.00032366927479088314
input,0,52,,8.004840320144472,8.0,0.004840320144472443,0.4999848502251321,0.5,-1.5149774867884158e-05,-0.6827206838283194,-0.681,-0.0017206838283193582
input,0,53,,5.987480554609047,6.0,-0.012519445390952733,0.4996364390177179,0.5,-0.000363560982282074,-0.20632812027195213,-0.207,0.0006718797280478583
input,0,54,,6.0029672679037445,6.0,0.002967267903744464,0.500381487102936,0.5,0.00038148710293595123,-0.2233134552370602,-0.223,-0.00031345523706019507
input,0,55,,5.995312646979002,6.0,-0.004687353020997875,0.5001400703077873,0.5,0.0001400703077872878,0.6964611381390307,0.693,0.003461138139030706
input,0,56,,8.02151796449982,8.0,0.021517964499819797,0.5003822043437851,0.5,0.0003822043437851086,-0.7757316681821992,-0.772,-0.003731668182199166
input,0,57,,8.008651024461109,8.0,0.008651024461109103,0.5002513631826374,0.5,0.00025136318263740964,-0.7655653240974853,-0.764,-0.0015653240974853322
input,0,58,,7.01074858969169,7.0,0.01074858969168968,0.5005724111359536,0.5,0.0005724111359536321,-0.5864639607948946,-0.585,-0.0014639607948946365
input,0,59,,5.976233357182562,6.0,-0.023766642817437678,0.4994286333869888,0.5,-0.0005713666130112149,0.2396253684077846,0.238,0.0016253684077845998
input,0,60,,5.992213027677664,6.0,-0.007786972322335828,0.5001836481351839,0.5,0.00018364813518390033,0.5678492784755527,0.561,0.0068492784755526115
input,0,61,,7.991544717741476,8.0,-0.008455282258523766,0.4998217501414568,0.5,-0.0001782498585432002,-0.6542626376661337,-0.652,-0.00226263766613366
input,0,62,,5.999342562055407,6.0,-0.0006574379445929424,0.49989019214203334,0.5,-0.00010980785796665948,-0.2145476498958849,-0.214,-0.0005476498958849052
input,0,63,,6.000311078920342,6.0,0.0003110789203422115,0.5000738362819821,0.5,7.383628198209813e-05,-0.1637804481628043,-0.164,0.00021955183719571392
input,0,64,,5.9958007887745985,6.0,-0.004199211225401456,0.5000308111552993,0.5,3.0811155299348414e-05,-0.19013597953596206,-0.191,0.0008640204640379401
input,0,65,,6.001302370113633,6.0,0.001302370113632989,0.5000536439409234,0.5,5.364394092344238e-05,0.036261745381191035,0.037,-0.0007382546188089631
input,0,66,,6.996389046442343,7.0,-0.0036109535576569485,0.49992418475301253,0.5,-7.581524698746511e-05,-0.39739852758845357,-0.398,0.0006014724115464554
input,0,67,,7.00890571837519,7.0,0.008905718375189942,0.5002845824959202,0.5,0.000284582495920227,-0.5858335584577126,-0.579,-0.006833558457712607
input,0,68,,6.034792240570639,6.0,0.03479224057063934,0.5017682694716892,0.5,0.0017682694716891767,0.1943543736193163,0.193,0.0013543736193162847
input,0,69,,6.000885598586931,6.0,0.0008855985869313798,0.5000653747902271,0.5,6.537479022705739e-05,0.5678154203112241,0.567,0.0008154203112241687
input,0,70,,7.9992099232642815,8.0,-0.0007900767357185146,0.4997947211807296,0.5,-0.0002052788192704047,-0.6735074613269884,-0.671,-0.002507461326988314
