region,rows,rmse,weight_share,effective_n,method,alpha,qualified
union,3768656,0.00046526513537442394,,,A,0,True
stencil,602995,0.0006465016137467238,,,A,0,True
added,3165661,0.0004220086792464025,,,A,0,True
distance-0-0.5,87943,0.0008962736030532828,,,A,0,True
distance-0.5-1,530922,0.0007190559801955919,,,A,0,True
distance-1-1.5,911994,0.00045529845508862984,,,A,0,True
distance-1.5-2,1092380,0.00041648895235241656,,,A,0,True
distance-2-2.5,1145417,0.00028358105809607025,,,A,0,True
union,3768656,0.00040407767839331795,1.0,3768656.0,B,0,True
stencil,602995,0.0007227265017865017,0.16000266407971436,602995.0,B,0,True
added,3165661,0.00030803574313282845,0.8399973359202857,3165661.0,B,0,True
distance-0-0.5,87943,0.0014256275867826494,0.023335374733061336,87943.0,B,0,True
distance-0.5-1,530922,0.0006524977417911955,0.14087833965212002,530922.0,B,0,True
distance-1-1.5,911994,0.000391223156517383,0.2419944935276661,911994.0,B,0,True
distance-1.5-2,1092380,0.00021206353395107256,0.28985930262671894,1092380.0,B,0,True
distance-2-2.5,1145417,0.00013812237987779387,0.30393248946043366,1145417.0,B,0,True
union,3768656,0.0005067872463612828,,,A,0.1,True
stencil,602995,0.0009621801979988578,,,A,0.1,True
added,3165661,0.00035973646787180915,,,A,0.1,True
distance-0-0.5,87943,0.002112272602893571,,,A,0.1,True
distance-0.5-1,530922,0.000722219808705045,,,A,0.1,True
distance-1-1.5,911994,0.0003801936914587625,,,A,0.1,True
distance-1.5-2,1092380,0.0003161338328699139,,,A,0.1,True
distance-2-2.5,1145417,0.00022427276522518305,,,A,0.1,True
union,3768656,0.0015384438189167656,1.0,3458998.261669966,B,0.1,False
stencil,602995,0.0034605234863313745,0.11730563941103868,426884.9372806764,B,0.1,False
added,3165661,0.0007325292637136794,0.8826943605890241,3033289.9079678897,B,0.1,False
distance-0-0.5,87943,0.007831229874218432,0.0052985720978790075,21762.750547253578,B,0.1,False
distance-0.5-1,530922,0.0025626256025136312,0.08355852072882597,317250.4758862922,B,0.1,False
distance-1-1.5,911994,0.00019678421250284586,0.24622772837744245,889563.7917517497,B,0.1,False
distance-1.5-2,1092380,5.1161444623871724e-05,0.32341993146764547,1091655.781753835,B,0.1,False
distance-2-2.5,1145417,3.668163281209417e-05,0.3414952473283358,1145231.7579231223,B,0.1,False
union,3768656,0.0012016265964792541,,,A,0.5,False
stencil,602995,0.0027244032523244467,,,A,0.5,False
added,3165661,0.0005523842514553052,,,A,0.5,False
distance-0-0.5,87943,0.006241836739159834,,,A,0.5,False
distance-0.5-1,530922,0.0019182346081969628,,,A,0.5,False
distance-1-1.5,911994,0.00019989047637423266,,,A,0.5,False
distance-1.5-2,1092380,0.0001190404198027058,,,A,0.5,False
distance-2-2.5,1145417,9.234861549501772e-05,,,A,0.5,False
union,3768656,0.0009535752454773396,1.0,1777761.2967518563,B,0.5,False
stencil,602995,0.002107096867066611,0.034713513313456165,66918.15636749878,B,0.5,False
added,3165661,0.0004866276057047785,0.965286486686592,1711261.513848665,B,0.5,False
distance-0-0.5,87943,0.004823131448432755,0.00011527638194461104,256.30187927777,B,0.5,False
distance-0.5-1,530922,0.0015090738345149022,0.003655046475435004,8209.931005339804,B,0.5,False
distance-1-1.5,911994,0.00042640078276427404,0.05063546877032416,103210.47032947637,B,0.5,False
distance-1.5-2,1092380,7.522485775670504e-05,0.2930450540788971,547721.6033802534,B,0.5,False
distance-2-2.5,1145417,2.82942748095581e-06,0.6525491542935647,1122951.221720719,B,0.5,False
union,3768656,0.0012983462827073477,,,A,1,False
stencil,602995,0.002931887594041773,,,A,1,False
added,3165661,0.0006078129954401225,,,A,1,False
distance-0-0.5,87943,0.006691956050786,,,A,1,False
distance-0.5-1,530922,0.0021024748619269994,,,A,1,False
distance-1-1.5,911994,0.0002495844816210924,,,A,1,False
distance-1.5-2,1092380,7.89645954782042e-05,,,A,1,False
distance-2-2.5,1145417,5.937225588104304e-05,,,A,1,False
union,3768656,0.0006521125696917176,1.0,1784854.8790652517,B,1,False
stencil,602995,0.0014263382115601245,0.03674045234862366,71807.92041016117,B,1,False
added,3165661,0.00034457563436303054,0.9632595476514161,1713606.5108950757,B,1,False
distance-0-0.5,87943,0.003327210392990429,0.00020350000059139386,458.1238854973944,B,1,False
distance-0.5-1,530922,0.0009135080333326034,0.006534222447937238,14649.23632420634,B,1,False
distance-1-1.5,911994,0.000439485314449902,0.06226493851166961,124207.07798589084,B,1,False
distance-1.5-2,1092380,9.036160684635146e-05,0.2757775521882054,526815.9050461296,B,1,False
distance-2-2.5,1145417,2.8716170392508213e-05,0.6552197868517942,1124776.6862040628,B,1,False
