alpha,seed,phase,iteration,objective,stationarity,variance,linear_solves,backtracks
0.0,checkpoint,primary,0,-5.512177823889146,0.1673844191426885,9.543525216659919e-07,0,0
0.0,checkpoint,primary,1,-6.394964892029796,1.886515486964393e-11,1.632787701757339e-07,1,0
0.0,checkpoint,reference,0,-6.394964892029796,1.886515486964393e-11,1.632787701757339e-07,0,0
0.0,constrained-ls,primary,0,-6.394964892029796,1.886516374100481e-11,1.63278770175734e-07,0,0
0.0,constrained-ls,reference,0,-6.394964892029796,1.886516374100481e-11,1.63278770175734e-07,0,0
0.1,checkpoint,primary,0,-7.472234370872194,0.1260169365591947,9.543525216659919e-07,0,0
0.1,checkpoint,primary,1,-9.357279570396175,0.2970791921026928,1.390260065104386e-07,1,0
0.1,checkpoint,primary,2,-9.579366681036646,0.17674033511472145,8.518745832522504e-08,2,0
0.1,checkpoint,primary,3,-9.696332903798542,0.12280802278851057,6.464350197574174e-08,3,0
0.1,checkpoint,primary,4,-9.77788744055166,0.09551984077432228,5.342663122144159e-08,4,0
0.1,checkpoint,primary,5,-9.841343752218568,0.07982931062756864,4.6082597386478334e-08,5,0
0.1,checkpoint,primary,6,-9.893169731675025,0.06967466619367362,4.075800497039604e-08,6,0
0.1,checkpoint,primary,7,-9.936867159845841,0.06252496408976942,3.6648329377814984e-08,7,0
0.1,checkpoint,primary,8,-9.974467433017027,0.057198419516707864,3.334209528908269e-08,8,0
0.1,checkpoint,primary,9,-10.007097440086243,0.053153027820857755,3.060573982184548e-08,9,0
0.1,checkpoint,primary,10,-10.035440386271876,0.05002834182727483,2.8291494200355165e-08,10,0
0.1,checkpoint,primary,11,-10.05997427143013,0.047437016702455335,2.630055518646694e-08,11,0
0.1,checkpoint,primary,12,-10.081076821541554,0.04504287360905176,2.4567890701228954e-08,12,0
0.1,checkpoint,primary,13,-10.099048026251848,0.04264304871267876,2.3051421161869817e-08,13,0
0.1,checkpoint,primary,14,-10.11424653323652,0.04028019100955007,2.1721365334321052e-08,14,0
0.1,checkpoint,primary,15,-10.127128082265902,0.03802676545543592,2.0550279259515677e-08,15,0
0.1,checkpoint,primary,16,-10.138098353565159,0.03585647721858266,1.951363553854901e-08,16,0
0.1,checkpoint,primary,17,-10.147455301321619,0.03373719640758329,1.859247209717683e-08,17,0
0.1,checkpoint,primary,18,-10.155435569022284,0.03168558837697875,1.7772041385806208e-08,18,0
0.1,checkpoint,primary,19,-10.162253609356382,0.02973709174769922,1.703956746567168e-08,19,0
0.1,checkpoint,primary,20,-10.16810269567326,0.027911894368432503,1.638348106300744e-08,20,0
0.1,checkpoint,primary,21,-10.173145921038357,0.026211103442833093,1.5793595872451657e-08,21,0
0.1,checkpoint,primary,22,-10.177514817584134,0.024626157702503055,1.526125369124451e-08,22,0
0.1,checkpoint,primary,23,-10.181314183426664,0.023146439405898434,1.4779213574828455e-08,23,0
0.1,checkpoint,primary,24,-10.184628286434563,0.02176253313424555,1.4341416655410349e-08,24,0
0.1,checkpoint,primary,25,-10.187526071475855,0.020466845760441835,1.3942747394652431e-08,25,0
0.1,checkpoint,primary,26,-10.190064913848122,0.019253227795989012,1.3578838750586676e-08,26,0
0.1,checkpoint,primary,27,-10.192293189313983,0.018116442267468644,1.3245925974548618e-08,27,0
0.1,checkpoint,primary,28,-10.194252046613085,0.01705177250797305,1.2940738912292211e-08,28,0
