fixture,original_status,original_iterations,accepted,candidate_equations,reference_updates,root_residual,reference_residual,coordinate_difference_max,weight_difference_max,floor_masks_equal
independent-0,0,2,True,18,0,3.4928790868290344e-14,1.5526950340003619e-13,3.2031212768909226e-16,0.0,True
independent-1,0,4,True,35,3,7.056616723471808e-15,2.033960598663432e-11,4.011434557083139e-13,1.1113998610312592e-11,True
independent-2,0,4,True,19,6,2.427249675141504e-15,7.160765304787952e-11,1.3155396265988285e-12,3.528566328014904e-11,True
independent-3,0,8,True,28,17,9.168693897687217e-16,6.990285577047098e-11,3.4495368493548537e-12,1.6825829618483112e-10,True
shape-maximum-iterations,3,100,True,22,287,2.786811684844234e-16,9.627337381190875e-11,6.131423302396654e-10,7.901453824565863e-09,True
shape-maximum-iterations-final-32-33-99,3,100,True,20,168,5.682779307948069e-15,9.99441445079155e-11,2.0673816384275894e-10,9.036763559677752e-10,True
shape-maximum-iterations-recovery-current-32-32-99,3,100,True,20,168,1.5372531640396397e-14,9.995843862935755e-11,2.067422330368125e-10,9.03671748542223e-10,True
shape-success-final-32-33-0,0,2,True,18,0,4.976167534928826e-16,1.183142310852714e-14,8.053929301069537e-16,0.0,True
shape-success-final-32-33-1,0,87,True,22,68,1.1493901614160644e-15,8.67762888131976e-11,8.333801989032181e-11,3.491056332904918e-10,True
shape-success-final-32-33-10,0,18,True,19,13,3.8296332180135434e-15,6.674804220030095e-11,4.198247743829123e-11,4.5651227242871073e-10,True
shape-success-final-32-33-100,0,2,True,18,0,1.0718767889530956e-14,2.6930229763554154e-14,6.388524510805256e-16,0.0,True
shape-success-final-32-33-101,0,32,True,19,22,2.0319285780368945e-14,9.272039863269347e-11,1.3120082706831932e-10,6.95802304662152e-10,True
shape-success-final-32-33-102,0,2,True,18,0,5.59010809819963e-15,3.2558632870910217e-14,6.407027182877124e-16,0.0,True
shape-success-final-32-33-103,0,18,True,19,12,1.9328305647434923e-14,6.954287091928817e-11,3.025243802474255e-11,4.248104090720517e-10,True
shape-success-final-32-33-104,0,22,True,19,10,1.3453780667948322e-14,3.98816535351898e-11,1.5080799070301648e-11,9.999512329272875e-11,True
shape-success-final-32-33-105,0,15,True,19,12,1.5005315360959996e-15,7.639362186478122e-11,2.4178604230109665e-11,7.193068363164912e-11,True
shape-success-final-32-33-106,0,32,True,19,24,1.87800476947896e-15,8.0683237868584e-11,1.4986786500754872e-10,6.599150115249586e-10,True
shape-success-final-32-33-107,0,19,True,19,16,4.590213034366565e-15,7.893522767947997e-11,2.96762532978251e-11,9.475653595103495e-11,True
shape-success-final-32-33-108,0,45,True,19,47,8.489472473977147e-15,9.330881333451641e-11,6.95931635006669e-11,2.516084007808672e-10,True
shape-success-final-32-33-109,0,20,True,19,16,7.582944522770978e-16,8.592907762310614e-11,3.695873848497201e-11,1.047420483679673e-10,True
shape-success-final-32-33-11,0,28,True,19,29,4.341457774137844e-15,7.495260319743029e-11,2.8525303559937824e-11,1.0473194533844321e-10,True
shape-success-final-32-33-110,0,23,True,19,13,2.7623411525314355e-14,8.057692625751335e-11,2.1209123888315898e-11,1.9741736023703993e-10,True
shape-success-final-32-33-111,0,25,True,19,23,1.3021268012295866e-14,7.282129417926957e-11,2.0880375611813765e-11,8.883421775962574e-11,True
shape-success-final-32-33-112,0,25,True,19,16,1.294812516876347e-14,8.54831760932484e-11,4.336631518512888e-11,2.32845853709307e-10,True
shape-success-final-32-33-113,0,2,True,18,0,1.5396673049237183e-15,1.2614958363531744e-14,9.6311714470702e-16,0.0,True
shape-success-final-32-33-114,0,20,True,19,17,2.276124733234435e-15,8.174972631363159e-11,3.2498021368016357e-11,9.414974355692607e-11,True
shape-success-final-32-33-115,0,21,True,19,16,6.575082662611791e-15,8.269379625502893e-11,8.308330598470511e-11,5.193672159009566e-10,True
shape-success-final-32-33-116,0,31,True,23,27,4.190504121304105e-15,8.173086397011132e-11,6.660172347431002e-11,2.0060817451650337e-09,True
shape-success-final-32-33-117,0,12,True,19,10,1.5121150753005626e-15,9.316861992208187e-11,2.528048666026961e-11,7.655026612596316e-11,True
shape-success-final-32-33-118,0,76,True,19,66,2.4584751433099087e-15,8.902119366812376e-11,1.624831625086075e-10,6.306881128459452e-10,True
shape-success-final-32-33-119,0,29,True,19,21,1.1745272065286767e-14,7.265650014159048e-11,2.1667184562534335e-11,1.493792312068365e-10,True
shape-success-final-32-33-12,0,20,True,19,14,5.518747894678097e-15,8.301925813469779e-11,9.216332189079453e-11,5.31060861952426e-10,True
shape-success-final-32-33-120,0,54,True,19,57,2.1220504336785342e-14,9.044715797739383e-11,6.884275320741163e-11,3.2511510150712297e-10,True
shape-success-final-32-33-121,0,34,True,19,27,5.5552644782357805e-14,9.363082531521627e-11,6.779317028420894e-11,3.455171704302984e-10,True
shape-success-final-32-33-122,0,21,True,19,19,2.233035919715576e-15,9.886543020517256e-11,5.56908607150083e-11,1.8124324263624203e-10,True
shape-success-final-32-33-123,0,32,True,19,26,4.182272479496624e-15,8.483903640318194e-11,1.4459614803813494e-10,7.86298859356549e-10,True
shape-success-final-32-33-124,0,23,True,19,19,9.914181853064068e-15,9.913395456315659e-11,3.2707513342003455e-11,8.921985372722929e-11,True
shape-success-final-32-33-125,0,21,True,19,11,7.253654196813646e-15,7.449192434712918e-11,6.438274519603911e-11,5.188979246284475e-10,True
shape-success-final-32-33-126,0,34,True,20,36,2.8171372686407847e-15,8.268878070343516e-11,5.53827680567524e-11,1.738783006466349e-10,True
shape-success-final-32-33-127,0,17,True,20,38,3.2303627367992433e-13,8.428781968242312e-11,3.049382621098505e-12,7.486676834034256e-10,True
shape-success-final-32-33-128,0,2,True,18,0,2.327163471107628e-15,7.481931287791473e-15,8.14135867854855e-16,0.0,True
shape-success-final-32-33-129,0,21,True,19,16,2.6635327908084826e-15,8.030041969834815e-11,6.102342067951623e-11,2.639376495139345e-10,True
shape-success-final-32-33-13,0,21,True,19,20,3.9804602772125505e-15,7.166590364786868e-11,2.5136794714526595e-11,9.276895918119976e-11,True
shape-success-final-32-33-130,0,27,True,19,23,3.673052163625859e-15,7.234080001694565e-11,5.0712526200733596e-11,3.0477964596542506e-10,True
