effect,serial_id,parameter,delta,qr_svd_resolution,resolved
oracle_error,1,A,5.329070518200751e-15,,
oracle_error,1,C,-7.771561172376096e-16,,
oracle_error,2,A,0.0,,
oracle_error,2,C,5.273559366969494e-16,,
oracle_error,3,A,-2.6645352591003757e-15,,
oracle_error,3,C,-1.4432899320127035e-15,,
oracle_error,4,A,-7.993605777301127e-15,,
oracle_error,4,C,7.771561172376096e-16,,
oracle_error,5,A,1.7763568394002505e-15,,
oracle_error,5,C,-2.7755575615628914e-16,,
oracle_error,6,A,-5.329070518200751e-15,,
oracle_error,6,C,4.163336342344337e-16,,
oracle_error,7,A,0.0,,
oracle_error,7,C,1.1102230246251565e-16,,
oracle_error,8,A,3.552713678800501e-15,,
oracle_error,8,C,-9.71445146547012e-17,,
oracle_error,9,A,-2.6645352591003757e-15,,
oracle_error,9,C,2.220446049250313e-15,,
oracle_error,10,A,-1.4210854715202004e-14,,
oracle_error,10,C,1.3877787807814457e-16,,
oracle_error,11,A,-9.769962616701378e-15,,
oracle_error,11,C,8.881784197001252e-16,,
oracle_error,12,A,1.7763568394002505e-15,,
oracle_error,12,C,1.1102230246251565e-16,,
oracle_error,13,A,-6.217248937900877e-15,,
oracle_error,13,C,6.38378239159465e-16,,
oracle_error,14,A,2.6645352591003757e-15,,
oracle_error,14,C,-1.2776238400569184e-15,,
oracle_error,15,A,0.0,,
oracle_error,15,C,-2.7755575615628914e-17,,
oracle_error,16,A,6.217248937900877e-15,,
oracle_error,16,C,8.604228440844963e-16,,
oracle_error,17,A,7.993605777301127e-15,,
oracle_error,17,C,7.216449660063518e-16,,
oracle_error,18,A,-1.1546319456101628e-14,,
oracle_error,18,C,-9.159339953157541e-16,,
oracle_error,19,A,6.217248937900877e-15,,
oracle_error,19,C,-1.6653345369377348e-16,,
oracle_error,20,A,7.105427357601002e-15,,
oracle_error,20,C,-3.1086244689504383e-15,,
oracle_error,21,A,-1.865174681370263e-14,,
oracle_error,21,C,2.3869795029440866e-15,,
oracle_error,22,A,4.440892098500626e-15,,
oracle_error,22,C,2.220446049250313e-16,,
oracle_error,23,A,-1.2434497875801753e-14,,
oracle_error,23,C,-2.220446049250313e-16,,
oracle_error,24,A,1.7763568394002505e-15,,
oracle_error,24,C,-1.3877787807814457e-16,,
oracle_error,25,A,-1.865174681370263e-14,,
oracle_error,25,C,2.220446049250313e-16,,
oracle_error,26,A,8.881784197001252e-15,,
oracle_error,26,C,1.734723475976807e-15,,
oracle_error,27,A,-6.217248937900877e-15,,
oracle_error,27,C,-1.2212453270876722e-15,,
oracle_error,28,A,3.9968028886505635e-14,,
oracle_error,28,C,-3.3306690738754696e-15,,
oracle_error,29,A,2.042810365310288e-14,,
oracle_error,29,C,-1.5543122344752192e-15,,
oracle_error,30,A,3.019806626980426e-14,,
oracle_error,30,C,1.9984014443252818e-15,,
oracle_error,31,A,-7.993605777301127e-15,,
oracle_error,31,C,6.661338147750939e-16,,
oracle_error,32,A,1.7763568394002505e-15,,
oracle_error,32,C,-1.304512053934559e-15,,
oracle_error,33,A,1.1546319456101628e-14,,
oracle_error,33,C,7.771561172376096e-16,,
oracle_error,34,A,-4.440892098500626e-15,,
oracle_error,34,C,7.771561172376096e-16,,
oracle_error,35,A,8.881784197001252e-16,,
oracle_error,35,C,5.551115123125783e-16,,
oracle_error,36,A,1.3322676295501878e-14,,
oracle_error,36,C,-5.447031714567174e-16,,
oracle_error,37,A,-2.1316282072803006e-14,,
oracle_error,37,C,1.1102230246251565e-15,,
oracle_error,38,A,7.105427357601002e-15,,
oracle_error,38,C,-2.220446049250313e-16,,
oracle_error,39,A,2.1316282072803006e-14,,
oracle_error,39,C,-5.134781488891349e-16,,
oracle_error,40,A,-1.1546319456101628e-14,,
oracle_error,40,C,3.885780586188048e-16,,
oracle_error,41,A,3.8191672047105385e-14,,
oracle_error,41,C,-1.7763568394002505e-15,,
oracle_error,42,A,-6.217248937900877e-15,,
oracle_error,42,C,-1.887379141862766e-15,,
oracle_error,43,A,-2.5757174171303632e-14,,
oracle_error,43,C,3.885780586188048e-15,,
oracle_error,44,A,2.6645352591003757e-14,,
oracle_error,44,C,-2.220446049250313e-15,,
oracle_error,45,A,4.440892098500626e-15,,
oracle_error,45,C,1.1102230246251565e-16,,
oracle_error,46,A,-3.197442310920451e-14,,
oracle_error,46,C,2.55351295663786e-15,,
oracle_error,47,A,1.5987211554602254e-14,,
oracle_error,47,C,-1.1102230246251565e-15,,
oracle_error,48,A,8.881784197001252e-15,,
oracle_error,48,C,-1.6653345369377348e-15,,
oracle_error,49,A,1.509903313490213e-14,,
oracle_error,49,C,-1.887379141862766e-15,,
oracle_error,50,A,1.865174681370263e-14,,
oracle_error,50,C,1.3600232051658168e-15,,
oracle_error,51,A,1.4210854715202004e-14,,
oracle_error,51,C,-2.4424906541753444e-15,,
oracle_error,52,A,-3.2862601528904634e-14,,
oracle_error,52,C,2.9976021664879227e-15,,
oracle_error,53,A,-7.993605777301127e-15,,
oracle_error,53,C,6.38378239159465e-16,,
oracle_error,54,A,-2.930988785010413e-14,,
oracle_error,54,C,1.6653345369377348e-16,,
oracle_error,55,A,3.2862601528904634e-14,,
oracle_error,55,C,-8.881784197001252e-16,,
oracle_error,56,A,1.7763568394002505e-15,,
oracle_error,56,C,-2.55351295663786e-15,,
oracle_error,57,A,-1.2434497875801753e-14,,
oracle_error,57,C,1.7763568394002505e-15,,
oracle_error,58,A,3.019806626980426e-14,,
oracle_error,58,C,-1.4432899320127035e-15,,
oracle_error,59,A,-2.6645352591003757e-15,,
oracle_error,59,C,-1.2490009027033011e-15,,
oracle_error,60,A,2.220446049250313e-14,,
oracle_error,60,C,-3.6637359812630166e-15,,
oracle_error,61,A,-4.440892098500626e-15,,
oracle_error,61,C,3.885780586188048e-15,,
oracle_error,62,A,7.105427357601002e-15,,
oracle_error,62,C,7.216449660063518e-16,,
oracle_error,63,A,-8.881784197001252e-15,,
oracle_error,63,C,5.551115123125783e-17,,
oracle_error,64,A,1.7763568394002505e-14,,
oracle_error,64,C,-3.608224830031759e-16,,
oracle_error,65,A,5.329070518200751e-15,,
oracle_error,65,C,5.551115123125783e-17,,
oracle_error,66,A,1.7763568394002505e-15,,
oracle_error,66,C,2.220446049250313e-16,,
oracle_error,67,A,1.1546319456101628e-14,,
oracle_error,67,C,2.55351295663786e-15,,
oracle_error,68,A,2.6645352591003757e-15,,
oracle_error,68,C,-2.9698465908722937e-15,,
oracle_error,69,A,-1.865174681370263e-14,,
oracle_error,69,C,3.774758283725532e-15,,
oracle_error,70,A,3.375077994860476e-14,,
oracle_error,70,C,-6.439293542825908e-15,,
oracle_error,71,A,-6.217248937900877e-15,,
oracle_error,71,C,7.216449660063518e-16,,
oracle_error,72,A,-1.687538997430238e-14,,
oracle_error,72,C,1.7208456881689926e-15,,
oracle_error,73,A,2.042810365310288e-14,,
oracle_error,73,C,-2.220446049250313e-16,,
oracle_error,74,A,-3.108624468950438e-14,,
oracle_error,74,C,1.887379141862766e-15,,
