dataset,variant,legacy_qualified,regular_qualified,recovered_double,accurate_float32,multistart_consistent
heterogeneous-168,legacy,8,8,4,4,True
heterogeneous-168,guarded,8,8,4,4,True
heterogeneous-168,guarded-log,8,8,4,4,True
baseline,legacy,8,8,4,4,True
baseline,guarded,8,8,4,4,True
baseline,guarded-log,8,8,4,4,True
weak-1e-2,legacy,8,8,4,4,True
weak-1e-2,guarded,8,8,4,4,True
weak-1e-2,guarded-log,8,8,4,4,True
weak-1e-4,legacy,0,0,4,4,False
weak-1e-4,guarded,0,0,4,4,False
weak-1e-4,guarded-log,1,0,4,4,False
active-a,legacy,0,0,0,4,False
active-a,guarded,0,0,0,4,False
active-a,guarded-log,0,0,0,4,False
zero-signal,legacy,0,0,0,0,False
zero-signal,guarded,0,0,0,0,False
zero-signal,guarded-log,0,0,0,0,False
near-0.10,legacy,8,8,4,4,True
near-0.10,guarded,8,8,4,4,True
near-0.10,guarded-log,8,8,4,4,True
near-0.02,legacy,0,6,3,3,False
near-0.02,guarded,0,8,4,4,False
near-0.02,guarded-log,0,8,4,4,False
duplicate,legacy,0,0,0,0,False
duplicate,guarded,0,0,0,0,False
duplicate,guarded-log,0,0,0,0,False
