dataset,variant,case,check,value,threshold,comparison,source,status
heterogeneous-168,legacy,first-stage-double,primary_feasible,True,True,==,fit.primary.feasible,pass
heterogeneous-168,legacy,first-stage-double,primary_projected_kkt,1.5681900222830336e-15,1e-10,<=,fit.primary.projected_kkt,pass
heterogeneous-168,legacy,first-stage-double,primary_b_gradient_inf,2.52525794820369e-16,1e-12,<=,fit.primary.b_gradient_inf,pass
heterogeneous-168,legacy,first-stage-double,reference_feasible,True,True,==,fit.reference.feasible,pass
heterogeneous-168,legacy,first-stage-double,reference_projected_kkt,2.5246731788497456e-15,1e-10,<=,fit.reference.projected_kkt,pass
heterogeneous-168,legacy,first-stage-double,reference_b_gradient_inf,1.9544618916245129e-16,1e-12,<=,fit.reference.b_gradient_inf,pass
heterogeneous-168,legacy,first-stage-double,coefficient_agreement,1.5606563660444857e-14,1e-10,<=,fit.scaled_reference_difference,pass
heterogeneous-168,legacy,first-stage-double,design_spectrum_rank,336,336,==,fit.design_spectrum.rank,pass
heterogeneous-168,legacy,first-stage-double,width_spectrum_rank,168,168,==,fit.width_spectrum.rank,pass
heterogeneous-168,legacy,first-stage-double,profile_jacobian_spectrum_rank,168,168,==,fit.profile_jacobian_spectrum.rank,pass
heterogeneous-168,legacy,first-stage-double,legacy_local_correction,1.0631046132350479e-16,1e-10,<=,fit.local_correction_inf,pass
heterogeneous-168,legacy,narrower-double,primary_feasible,True,True,==,fit.primary.feasible,pass
heterogeneous-168,legacy,narrower-double,primary_projected_kkt,1.4710455076283324e-15,1e-10,<=,fit.primary.projected_kkt,pass
heterogeneous-168,legacy,narrower-double,primary_b_gradient_inf,2.4402267560596773e-16,1e-12,<=,fit.primary.b_gradient_inf,pass
heterogeneous-168,legacy,narrower-double,reference_feasible,True,True,==,fit.reference.feasible,pass
heterogeneous-168,legacy,narrower-double,reference_projected_kkt,1.7763568394002505e-15,1e-10,<=,fit.reference.projected_kkt,pass
heterogeneous-168,legacy,narrower-double,reference_b_gradient_inf,1.7910775629177682e-16,1e-12,<=,fit.reference.b_gradient_inf,pass
heterogeneous-168,legacy,narrower-double,coefficient_agreement,2.144316470418838e-14,1e-10,<=,fit.scaled_reference_difference,pass
heterogeneous-168,legacy,narrower-double,design_spectrum_rank,336,336,==,fit.design_spectrum.rank,pass
heterogeneous-168,legacy,narrower-double,width_spectrum_rank,168,168,==,fit.width_spectrum.rank,pass
heterogeneous-168,legacy,narrower-double,profile_jacobian_spectrum_rank,168,168,==,fit.profile_jacobian_spectrum.rank,pass
heterogeneous-168,legacy,narrower-double,legacy_local_correction,1.4869234629390805e-16,1e-10,<=,fit.local_correction_inf,pass
heterogeneous-168,legacy,wider-double,primary_feasible,True,True,==,fit.primary.feasible,pass
heterogeneous-168,legacy,wider-double,primary_projected_kkt,1.5681900222830336e-15,1e-10,<=,fit.primary.projected_kkt,pass
heterogeneous-168,legacy,wider-double,primary_b_gradient_inf,2.52525794820369e-16,1e-12,<=,fit.primary.b_gradient_inf,pass
