dataset,variant,case,legacy_joint_qualified,regular_qualified,failures,unavailable,derivative_status,local_correction_source,replay_passed,oracle_recovered,float32_accuracy_passed,rss,stop_reason
heterogeneous-168,legacy,first-stage-double,True,True,,,verified,legacy-double-QR,True,True,False,1.3212072018068807e-24,native-lm-stop
heterogeneous-168,legacy,narrower-double,True,True,,,verified,legacy-double-QR,True,True,False,1.3531716290865922e-24,native-lm-stop
heterogeneous-168,legacy,wider-double,True,True,,,verified,legacy-double-QR,True,True,False,1.3212072018068807e-24,native-lm-stop
heterogeneous-168,legacy,mixed-double,True,True,,,verified,legacy-double-QR,True,True,False,1.2169802283363942e-24,native-lm-stop
heterogeneous-168,legacy,first-stage-float32,True,True,,,verified,legacy-double-QR,True,False,True,3.869069555109361e-11,native-lm-stop
heterogeneous-168,legacy,narrower-float32,True,True,,,verified,legacy-double-QR,True,False,True,3.869069555151769e-11,native-lm-stop
heterogeneous-168,legacy,wider-float32,True,True,,,verified,legacy-double-QR,True,False,True,3.869069554934612e-11,native-lm-stop
heterogeneous-168,legacy,mixed-float32,True,True,,,verified,legacy-double-QR,True,False,True,3.869069555241337e-11,native-lm-stop
heterogeneous-168,guarded,first-stage-double,True,True,,,verified,legacy-double-QR,True,True,False,1.3212072018068807e-24,native-lm-stop
heterogeneous-168,guarded,narrower-double,True,True,,,verified,legacy-double-QR,True,True,False,1.3531716290865922e-24,native-lm-stop
heterogeneous-168,guarded,wider-double,True,True,,,verified,legacy-double-QR,True,True,False,1.3212072018068807e-24,native-lm-stop
heterogeneous-168,guarded,mixed-double,True,True,,,verified,legacy-double-QR,True,True,False,1.2169802283363942e-24,native-lm-stop
heterogeneous-168,guarded,first-stage-float32,True,True,,,verified,legacy-double-QR,True,False,True,3.869069555109361e-11,native-lm-stop
heterogeneous-168,guarded,narrower-float32,True,True,,,verified,legacy-double-QR,True,False,True,3.869069555151769e-11,native-lm-stop
heterogeneous-168,guarded,wider-float32,True,True,,,verified,legacy-double-QR,True,False,True,3.869069554934612e-11,native-lm-stop
heterogeneous-168,guarded,mixed-float32,True,True,,,verified,legacy-double-QR,True,False,True,3.869069555241337e-11,native-lm-stop
heterogeneous-168,guarded-log,first-stage-double,True,True,,,verified,legacy-double-QR,True,True,False,1.3212072018068807e-24,native-lm-stop
heterogeneous-168,guarded-log,narrower-double,True,True,,,verified,legacy-double-QR,True,True,False,1.3123105274376437e-24,native-lm-stop
heterogeneous-168,guarded-log,wider-double,True,True,,,verified,legacy-double-QR,True,True,False,1.2820293345816332e-24,native-lm-stop
heterogeneous-168,guarded-log,mixed-double,True,True,,,verified,legacy-double-QR,True,True,False,1.3071964186366398e-24,native-lm-stop
heterogeneous-168,guarded-log,first-stage-float32,True,True,,,verified,legacy-double-QR,True,False,True,3.869069555109361e-11,native-lm-stop
heterogeneous-168,guarded-log,narrower-float32,True,True,,,verified,legacy-double-QR,True,False,True,3.869069555472959e-11,native-lm-stop
heterogeneous-168,guarded-log,wider-float32,True,True,,,verified,legacy-double-QR,True,False,True,3.869069555858762e-11,native-lm-stop
heterogeneous-168,guarded-log,mixed-float32,True,True,,,verified,legacy-double-QR,True,False,True,3.8690695554487604e-11,native-lm-stop
baseline,legacy,first-stage-double,True,True,,,verified,independent-100-digit-QR,True,True,False,1.331667636741645e-27,native-lm-stop
baseline,legacy,narrower-double,True,True,,,verified,legacy-double-QR,True,True,False,9.924574072442168e-28,native-lm-stop
baseline,legacy,wider-double,True,True,,,verified,legacy-double-QR,True,True,False,1.3117205289527385e-27,native-lm-stop
baseline,legacy,mixed-double,True,True,,,verified,legacy-double-QR,True,True,False,1.2748305079666768e-27,native-lm-stop
baseline,legacy,first-stage-float32,True,True,,,verified,independent-100-digit-QR,True,False,True,5.731169523041018e-12,native-lm-stop
baseline,legacy,narrower-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.73116952297925e-12,native-lm-stop
baseline,legacy,wider-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.731169523478151e-12,native-lm-stop
baseline,legacy,mixed-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.73116952564597e-12,native-lm-stop
baseline,guarded,first-stage-double,True,True,,,verified,independent-100-digit-QR,True,True,False,1.331667636741645e-27,native-lm-stop
baseline,guarded,narrower-double,True,True,,,verified,legacy-double-QR,True,True,False,9.924574072442168e-28,native-lm-stop
baseline,guarded,wider-double,True,True,,,verified,legacy-double-QR,True,True,False,1.3117205289527385e-27,native-lm-stop
baseline,guarded,mixed-double,True,True,,,verified,legacy-double-QR,True,True,False,1.2748305079666768e-27,native-lm-stop
baseline,guarded,first-stage-float32,True,True,,,verified,independent-100-digit-QR,True,False,True,5.731169523041018e-12,native-lm-stop
baseline,guarded,narrower-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.73116952297925e-12,native-lm-stop
baseline,guarded,wider-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.731169523478151e-12,native-lm-stop
baseline,guarded,mixed-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.73116952564597e-12,native-lm-stop
baseline,guarded-log,first-stage-double,True,True,,,verified,independent-100-digit-QR,True,True,False,1.331667636741645e-27,native-lm-stop
baseline,guarded-log,narrower-double,True,True,,,verified,legacy-double-QR,True,True,False,1.4994607619621065e-27,native-lm-stop
baseline,guarded-log,wider-double,True,True,,,verified,legacy-double-QR,True,True,False,1.095677461833259e-27,native-lm-stop
baseline,guarded-log,mixed-double,True,True,,,verified,legacy-double-QR,True,True,False,1.664161043942545e-27,native-lm-stop
baseline,guarded-log,first-stage-float32,True,True,,,verified,independent-100-digit-QR,True,False,True,5.731169523041018e-12,native-lm-stop
baseline,guarded-log,narrower-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.731169523396502e-12,native-lm-stop
baseline,guarded-log,wider-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.7311695224580754e-12,native-lm-stop
baseline,guarded-log,mixed-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.731169523057985e-12,native-lm-stop
weak-1e-2,legacy,first-stage-double,True,True,,,verified,legacy-double-QR,True,True,False,8.206439123556787e-28,native-lm-stop
weak-1e-2,legacy,narrower-double,True,True,,,verified,legacy-double-QR,True,True,False,9.608390293502236e-28,native-lm-stop
weak-1e-2,legacy,wider-double,True,True,,,verified,legacy-double-QR,True,True,False,1.4823218877729e-27,native-lm-stop
weak-1e-2,legacy,mixed-double,True,True,,,verified,legacy-double-QR,True,True,False,9.395765396137697e-28,native-lm-stop
weak-1e-2,legacy,first-stage-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.274631775234051e-12,native-lm-stop
weak-1e-2,legacy,narrower-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.274631772425151e-12,native-lm-stop
weak-1e-2,legacy,wider-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.274631773909606e-12,native-lm-stop
weak-1e-2,legacy,mixed-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.27463177543482e-12,native-lm-stop
weak-1e-2,guarded,first-stage-double,True,True,,,verified,legacy-double-QR,True,True,False,8.206439123556787e-28,native-lm-stop
weak-1e-2,guarded,narrower-double,True,True,,,verified,legacy-double-QR,True,True,False,9.608390293502236e-28,native-lm-stop
weak-1e-2,guarded,wider-double,True,True,,,verified,legacy-double-QR,True,True,False,1.4823218877729e-27,native-lm-stop
weak-1e-2,guarded,mixed-double,True,True,,,verified,legacy-double-QR,True,True,False,9.395765396137697e-28,native-lm-stop
weak-1e-2,guarded,first-stage-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.274631775234051e-12,native-lm-stop
weak-1e-2,guarded,narrower-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.274631772425151e-12,native-lm-stop
weak-1e-2,guarded,wider-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.274631773909606e-12,native-lm-stop
weak-1e-2,guarded,mixed-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.27463177543482e-12,native-lm-stop
weak-1e-2,guarded-log,first-stage-double,True,True,,,verified,legacy-double-QR,True,True,False,9.979329523219923e-28,native-lm-stop
weak-1e-2,guarded-log,narrower-double,True,True,,,verified,legacy-double-QR,True,True,False,1.0457817031810732e-27,native-lm-stop
weak-1e-2,guarded-log,wider-double,True,True,,,verified,legacy-double-QR,True,True,False,1.175263471875735e-27,native-lm-stop
weak-1e-2,guarded-log,mixed-double,True,True,,,verified,legacy-double-QR,True,True,False,8.87884068031899e-28,native-lm-stop
weak-1e-2,guarded-log,first-stage-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.274631772011065e-12,native-lm-stop
weak-1e-2,guarded-log,narrower-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.274631774314418e-12,native-lm-stop
weak-1e-2,guarded-log,wider-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.2746317711657415e-12,native-lm-stop
weak-1e-2,guarded-log,mixed-float32,True,True,,,verified,legacy-double-QR,True,False,True,5.274631773725075e-12,native-lm-stop
weak-1e-4,legacy,first-stage-double,False,False,derivative,,resolution-unverified,independent-100-digit-QR,True,True,False,8.186531806223743e-28,native-lm-stop
weak-1e-4,legacy,narrower-double,False,False,derivative,,resolution-unverified,independent-100-digit-QR,True,True,False,1.9192854774240923e-27,native-lm-stop
weak-1e-4,legacy,wider-double,False,False,derivative,,resolution-unverified,independent-100-digit-QR,True,True,False,1.0870885484558996e-27,native-lm-stop
weak-1e-4,legacy,mixed-double,False,False,derivative,,resolution-unverified,independent-100-digit-QR,True,True,False,1.2609761558269878e-27,native-lm-stop
weak-1e-4,legacy,first-stage-float32,False,False,local_correction;derivative,,resolution-unverified,independent-100-digit-QR,True,False,True,4.882103127468271e-12,native-lm-stop
weak-1e-4,legacy,narrower-float32,False,False,local_correction;derivative,,resolution-unverified,independent-100-digit-QR,True,False,True,4.882103128652924e-12,native-lm-stop
weak-1e-4,legacy,wider-float32,False,False,derivative,,resolution-unverified,independent-100-digit-QR,True,False,True,4.8821031279605725e-12,native-lm-stop
weak-1e-4,legacy,mixed-float32,False,False,local_correction;derivative,,resolution-unverified,independent-100-digit-QR,True,False,True,4.8821031258141236e-12,native-lm-stop
weak-1e-4,guarded,first-stage-double,False,False,derivative,,resolution-unverified,independent-100-digit-QR,True,True,False,8.186531806223743e-28,native-lm-stop
weak-1e-4,guarded,narrower-double,False,False,derivative,,resolution-unverified,independent-100-digit-QR,True,True,False,1.9192854774240923e-27,native-lm-stop
weak-1e-4,guarded,wider-double,False,False,derivative,,resolution-unverified,independent-100-digit-QR,True,True,False,1.0870885484558996e-27,native-lm-stop
weak-1e-4,guarded,mixed-double,False,False,derivative,,resolution-unverified,independent-100-digit-QR,True,True,False,1.2609761558269878e-27,native-lm-stop
weak-1e-4,guarded,first-stage-float32,False,False,local_correction;derivative,,resolution-unverified,independent-100-digit-QR,True,False,True,4.882103127468271e-12,native-lm-stop
weak-1e-4,guarded,narrower-float32,False,False,local_correction;derivative,,resolution-unverified,independent-100-digit-QR,True,False,True,4.882103128652924e-12,native-lm-stop
weak-1e-4,guarded,wider-float32,False,False,derivative,,resolution-unverified,independent-100-digit-QR,True,False,True,4.8821031279605725e-12,native-lm-stop
weak-1e-4,guarded,mixed-float32,False,False,local_correction;derivative,,resolution-unverified,independent-100-digit-QR,True,False,True,4.8821031258141236e-12,native-lm-stop
weak-1e-4,guarded-log,first-stage-double,False,False,derivative,,resolution-unverified,independent-100-digit-QR,True,True,False,9.782075178348445e-28,native-lm-stop
weak-1e-4,guarded-log,narrower-double,False,False,derivative,,resolution-unverified,independent-100-digit-QR,True,True,False,9.11772586806678e-28,native-lm-stop
weak-1e-4,guarded-log,wider-double,False,False,derivative,,resolution-unverified,independent-100-digit-QR,True,True,False,1.1418591534678088e-27,native-lm-stop
weak-1e-4,guarded-log,mixed-double,False,False,derivative,,resolution-unverified,independent-100-digit-QR,True,True,False,1.1831247150085977e-27,native-lm-stop
weak-1e-4,guarded-log,first-stage-float32,False,False,local_correction;derivative,,resolution-unverified,independent-100-digit-QR,True,False,True,4.8821031229776486e-12,native-lm-stop
weak-1e-4,guarded-log,narrower-float32,False,False,derivative,,resolution-unverified,independent-100-digit-QR,True,False,True,4.882103124215985e-12,native-lm-stop
weak-1e-4,guarded-log,wider-float32,False,False,derivative,,resolution-unverified,independent-100-digit-QR,True,False,True,4.882103124477424e-12,native-lm-stop
weak-1e-4,guarded-log,mixed-float32,True,False,derivative,,resolution-unverified,independent-100-digit-QR,True,False,True,4.882103126935295e-12,native-lm-stop
active-a,legacy,first-stage-double,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,False,3.3684125503393784e-27,native-lm-stop
active-a,legacy,narrower-double,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,False,1.1152996729472055e-27,native-lm-stop
active-a,legacy,wider-double,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,False,1.0650303576873752e-27,native-lm-stop
active-a,legacy,mixed-double,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,False,9.4805417764236e-28,native-lm-stop
active-a,legacy,first-stage-float32,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,True,6.703883461716492e-12,native-lm-stop
active-a,legacy,narrower-float32,False,False,derivative;regular_active_face,,transition-unverified,independent-100-digit-QR,True,False,True,6.703883456698789e-12,native-lm-stop
active-a,legacy,wider-float32,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,True,6.703883457148079e-12,native-lm-stop
active-a,legacy,mixed-float32,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,True,6.703883459543194e-12,native-lm-stop
active-a,guarded,first-stage-double,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,False,3.3684125503393784e-27,native-lm-stop
active-a,guarded,narrower-double,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,False,1.1152996729472055e-27,native-lm-stop
active-a,guarded,wider-double,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,False,1.0650303576873752e-27,native-lm-stop
active-a,guarded,mixed-double,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,False,9.4805417764236e-28,native-lm-stop
active-a,guarded,first-stage-float32,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,True,6.703883461716492e-12,native-lm-stop
active-a,guarded,narrower-float32,False,False,derivative;regular_active_face,,transition-unverified,independent-100-digit-QR,True,False,True,6.703883456698789e-12,native-lm-stop
active-a,guarded,wider-float32,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,True,6.703883457148079e-12,native-lm-stop
active-a,guarded,mixed-float32,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,True,6.703883459543194e-12,native-lm-stop
active-a,guarded-log,first-stage-double,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,False,1.0075973901257865e-27,native-lm-stop
active-a,guarded-log,narrower-double,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,False,1.4325453133741354e-27,native-lm-stop
active-a,guarded-log,wider-double,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,False,1.5429593619981926e-27,native-lm-stop
active-a,guarded-log,mixed-double,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,False,1.0721640992939e-27,native-lm-stop
active-a,guarded-log,first-stage-float32,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,True,6.7038834633307364e-12,native-lm-stop
active-a,guarded-log,narrower-float32,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,True,6.7038834600043055e-12,native-lm-stop
active-a,guarded-log,wider-float32,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,True,6.703883458956209e-12,native-lm-stop
active-a,guarded-log,mixed-float32,False,False,local_correction;derivative,,transition-unverified,independent-100-digit-QR,True,False,True,6.703883460704865e-12,native-lm-stop
zero-signal,legacy,first-stage-double,False,False,identified;derivative,,transition-unverified,legacy-double-QR,True,,,1.4190542161309997e-27,native-lm-stop
zero-signal,legacy,narrower-double,False,False,identified;derivative,,transition-unverified,legacy-double-QR,True,,,1.8516038014990337e-27,native-lm-stop
zero-signal,legacy,wider-double,False,False,identified;derivative,,transition-unverified,legacy-double-QR,True,,,1.9362967311004623e-27,native-lm-stop
zero-signal,legacy,mixed-double,False,False,identified;derivative;regular_active_face,,transition-unverified,legacy-double-QR,True,,,1.4274201828011356e-27,native-lm-stop
zero-signal,legacy,first-stage-float32,False,False,local_correction;derivative,,transition-unverified,legacy-double-QR,True,,,5.6558474904113984e-12,native-lm-stop
zero-signal,legacy,narrower-float32,False,False,local_correction;derivative,,transition-unverified,legacy-double-QR,True,,,5.655847488797611e-12,native-lm-stop
zero-signal,legacy,wider-float32,False,False,local_correction;derivative,,transition-unverified,legacy-double-QR,True,,,5.6558474858499804e-12,native-lm-stop
zero-signal,legacy,mixed-float32,False,False,local_correction;derivative,,transition-unverified,legacy-double-QR,True,,,5.655847486390303e-12,native-lm-stop
zero-signal,guarded,first-stage-double,False,False,identified;derivative,,transition-unverified,legacy-double-QR,True,,,1.4190542161309997e-27,native-lm-stop
zero-signal,guarded,narrower-double,False,False,identified;derivative,,transition-unverified,legacy-double-QR,True,,,1.8516038014990337e-27,native-lm-stop
zero-signal,guarded,wider-double,False,False,identified;derivative,,transition-unverified,legacy-double-QR,True,,,1.9362967311004623e-27,native-lm-stop
zero-signal,guarded,mixed-double,False,False,identified;derivative;regular_active_face,,transition-unverified,legacy-double-QR,True,,,1.4274201828011356e-27,native-lm-stop
zero-signal,guarded,first-stage-float32,False,False,local_correction;derivative,,transition-unverified,legacy-double-QR,True,,,5.6558474904113984e-12,native-lm-stop
zero-signal,guarded,narrower-float32,False,False,local_correction;derivative,,transition-unverified,legacy-double-QR,True,,,5.655847488797611e-12,native-lm-stop
zero-signal,guarded,wider-float32,False,False,local_correction;derivative,,transition-unverified,legacy-double-QR,True,,,5.6558474858499804e-12,native-lm-stop
zero-signal,guarded,mixed-float32,False,False,local_correction;derivative,,transition-unverified,legacy-double-QR,True,,,5.655847486390303e-12,native-lm-stop
zero-signal,guarded-log,first-stage-double,False,False,identified;derivative;regular_active_face,,transition-unverified,legacy-double-QR,True,,,1.6182828596357425e-27,native-lm-stop
zero-signal,guarded-log,narrower-double,False,False,identified;derivative,,transition-unverified,legacy-double-QR,True,,,1.5431080596922843e-27,native-lm-stop
zero-signal,guarded-log,wider-double,False,False,identified;derivative;regular_active_face,,transition-unverified,legacy-double-QR,True,,,1.5846528222616538e-27,native-lm-stop
zero-signal,guarded-log,mixed-double,False,False,identified;derivative,,transition-unverified,legacy-double-QR,True,,,1.364526086884048e-27,native-lm-stop
