dataset,variant,case,control,control_qualified,joint_rss,control_rss,control_A_rmse,control_B_rmse,control_C_rmse
heterogeneous-168,legacy,first-stage-double,true-b-double,True,1.3212072018068807e-24,1.3071964186366398e-24,2.9463522630365956e-14,0.0,2.6324274857110237e-15
heterogeneous-168,legacy,narrower-double,true-b-double,True,1.3531716290865922e-24,1.3071964186366398e-24,2.9463522630365956e-14,0.0,2.6324274857110237e-15
heterogeneous-168,legacy,wider-double,true-b-double,True,1.3212072018068807e-24,1.3071964186366398e-24,2.9463522630365956e-14,0.0,2.6324274857110237e-15
heterogeneous-168,legacy,mixed-double,true-b-double,True,1.2169802283363942e-24,1.3071964186366398e-24,2.9463522630365956e-14,0.0,2.6324274857110237e-15
heterogeneous-168,legacy,first-stage-double,first-stage-b-double,True,1.3212072018068807e-24,406.3330198520371,0.8566387468474629,0.03499729582484437,0.03285553839203002
heterogeneous-168,legacy,narrower-double,first-stage-b-double,True,1.3531716290865922e-24,406.3330198520371,0.8566387468474629,0.03499729582484437,0.03285553839203002
heterogeneous-168,legacy,wider-double,first-stage-b-double,True,1.3212072018068807e-24,406.3330198520371,0.8566387468474629,0.03499729582484437,0.03285553839203002
heterogeneous-168,legacy,mixed-double,first-stage-b-double,True,1.2169802283363942e-24,406.3330198520371,0.8566387468474629,0.03499729582484437,0.03285553839203002
heterogeneous-168,legacy,first-stage-float32,true-b-float32,True,3.869069555109361e-11,3.912057508265528e-11,2.2926092381298296e-08,0.0,1.186747447826764e-09
heterogeneous-168,legacy,narrower-float32,true-b-float32,True,3.869069555151769e-11,3.912057508265528e-11,2.2926092381298296e-08,0.0,1.186747447826764e-09
heterogeneous-168,legacy,wider-float32,true-b-float32,True,3.869069554934612e-11,3.912057508265528e-11,2.2926092381298296e-08,0.0,1.186747447826764e-09
heterogeneous-168,legacy,mixed-float32,true-b-float32,True,3.869069555241337e-11,3.912057508265528e-11,2.2926092381298296e-08,0.0,1.186747447826764e-09
heterogeneous-168,legacy,first-stage-float32,first-stage-b-float32,True,3.869069555109361e-11,406.3330216839216,0.8566387463726429,0.03499729582484437,0.03285553837100313
heterogeneous-168,legacy,narrower-float32,first-stage-b-float32,True,3.869069555151769e-11,406.3330216839216,0.8566387463726429,0.03499729582484437,0.03285553837100313
heterogeneous-168,legacy,wider-float32,first-stage-b-float32,True,3.869069554934612e-11,406.3330216839216,0.8566387463726429,0.03499729582484437,0.03285553837100313
heterogeneous-168,legacy,mixed-float32,first-stage-b-float32,True,3.869069555241337e-11,406.3330216839216,0.8566387463726429,0.03499729582484437,0.03285553837100313
heterogeneous-168,guarded,first-stage-double,true-b-double,True,1.3212072018068807e-24,1.3071964186366398e-24,2.9463522630365956e-14,0.0,2.6324274857110237e-15
heterogeneous-168,guarded,narrower-double,true-b-double,True,1.3531716290865922e-24,1.3071964186366398e-24,2.9463522630365956e-14,0.0,2.6324274857110237e-15
heterogeneous-168,guarded,wider-double,true-b-double,True,1.3212072018068807e-24,1.3071964186366398e-24,2.9463522630365956e-14,0.0,2.6324274857110237e-15
heterogeneous-168,guarded,mixed-double,true-b-double,True,1.2169802283363942e-24,1.3071964186366398e-24,2.9463522630365956e-14,0.0,2.6324274857110237e-15
heterogeneous-168,guarded,first-stage-double,first-stage-b-double,True,1.3212072018068807e-24,406.3330198520371,0.8566387468474629,0.03499729582484437,0.03285553839203002
heterogeneous-168,guarded,narrower-double,first-stage-b-double,True,1.3531716290865922e-24,406.3330198520371,0.8566387468474629,0.03499729582484437,0.03285553839203002
