dataset,variant,left,right,scaled_abc_difference,maximum_log_b_difference,both_qualified,passed
heterogeneous-168,legacy,first-stage-double,narrower-double,2.0301221021717202e-15,1.1102230246251565e-16,True,True
heterogeneous-168,legacy,first-stage-double,wider-double,0.0,0.0,True,True
heterogeneous-168,legacy,first-stage-double,mixed-double,1.6114094185987718e-14,2.220446049250313e-16,True,True
heterogeneous-168,legacy,narrower-double,wider-double,2.0301221021717202e-15,1.1102230246251565e-16,True,True
heterogeneous-168,legacy,narrower-double,mixed-double,1.6114094185987718e-14,2.220446049250313e-16,True,True
heterogeneous-168,legacy,wider-double,mixed-double,1.6114094185987718e-14,2.220446049250313e-16,True,True
heterogeneous-168,legacy,first-stage-float32,narrower-float32,1.6748507319340388e-14,3.3306690738754696e-16,True,True
heterogeneous-168,legacy,first-stage-float32,wider-float32,2.4615230511598506e-14,3.3306690738754696e-16,True,True
heterogeneous-168,legacy,first-stage-float32,mixed-float32,2.048879019072939e-14,3.3306690738754696e-16,True,True
heterogeneous-168,legacy,narrower-float32,wider-float32,2.0301221040493613e-14,3.3306690738754696e-16,True,True
heterogeneous-168,legacy,narrower-float32,mixed-float32,2.6423308026422136e-14,3.3306690738754696e-16,True,True
heterogeneous-168,legacy,wider-float32,mixed-float32,2.7533531052742393e-14,3.3306690738754696e-16,True,True
heterogeneous-168,guarded,first-stage-double,narrower-double,2.0301221021717202e-15,1.1102230246251565e-16,True,True
heterogeneous-168,guarded,first-stage-double,wider-double,0.0,0.0,True,True
heterogeneous-168,guarded,first-stage-double,mixed-double,1.6114094185987718e-14,2.220446049250313e-16,True,True
heterogeneous-168,guarded,narrower-double,wider-double,2.0301221021717202e-15,1.1102230246251565e-16,True,True
heterogeneous-168,guarded,narrower-double,mixed-double,1.6114094185987718e-14,2.220446049250313e-16,True,True
heterogeneous-168,guarded,wider-double,mixed-double,1.6114094185987718e-14,2.220446049250313e-16,True,True
heterogeneous-168,guarded,first-stage-float32,narrower-float32,1.6748507319340388e-14,3.3306690738754696e-16,True,True
heterogeneous-168,guarded,first-stage-float32,wider-float32,2.4615230511598506e-14,3.3306690738754696e-16,True,True
heterogeneous-168,guarded,first-stage-float32,mixed-float32,2.048879019072939e-14,3.3306690738754696e-16,True,True
heterogeneous-168,guarded,narrower-float32,wider-float32,2.0301221040493613e-14,3.3306690738754696e-16,True,True
heterogeneous-168,guarded,narrower-float32,mixed-float32,2.6423308026422136e-14,3.3306690738754696e-16,True,True
heterogeneous-168,guarded,wider-float32,mixed-float32,2.7533531052742393e-14,3.3306690738754696e-16,True,True
heterogeneous-168,guarded-log,first-stage-double,narrower-double,1.268826313857325e-15,1.1102230246251565e-16,True,True
heterogeneous-168,guarded-log,first-stage-double,wider-double,2.960594732333727e-15,1.1102230246251565e-16,True,True
heterogeneous-168,guarded-log,first-stage-double,mixed-double,1.5419764230904958e-15,1.1102230246251565e-16,True,True
heterogeneous-168,guarded-log,narrower-double,wider-double,2.960594732333727e-15,1.1102230246251565e-16,True,True
heterogeneous-168,guarded-log,narrower-double,mixed-double,8.88178419700114e-16,1.1102230246251565e-16,True,True
heterogeneous-168,guarded-log,wider-double,mixed-double,2.960594732333727e-15,1.1102230246251565e-16,True,True
heterogeneous-168,guarded-log,first-stage-float32,narrower-float32,1.509903310985031e-14,3.3306690738754696e-16,True,True
heterogeneous-168,guarded-log,first-stage-float32,wider-float32,1.687538994630329e-14,3.3306690738754696e-16,True,True
heterogeneous-168,guarded-log,first-stage-float32,mixed-float32,1.3830206868567623e-14,3.3306690738754696e-16,True,True
heterogeneous-168,guarded-log,narrower-float32,wider-float32,1.7256037927754024e-14,3.3306690738754696e-16,True,True
heterogeneous-168,guarded-log,narrower-float32,mixed-float32,1.814421635050607e-14,3.3306690738754696e-16,True,True
heterogeneous-168,guarded-log,wider-float32,mixed-float32,1.8651746826681768e-14,3.3306690738754696e-16,True,True
baseline,legacy,first-stage-double,narrower-double,6.661338147750936e-16,3.3306690738754696e-16,True,True
baseline,legacy,first-stage-double,wider-double,8.881784197001246e-16,1.1102230246251565e-16,True,True
baseline,legacy,first-stage-double,mixed-double,5.551115123125781e-16,1.1102230246251565e-16,True,True
baseline,legacy,narrower-double,wider-double,5.551115123125781e-16,3.3306690738754696e-16,True,True
baseline,legacy,narrower-double,mixed-double,7.612957883143927e-16,2.220446049250313e-16,True,True
baseline,legacy,wider-double,mixed-double,1.0150610510858568e-15,1.1102230246251565e-16,True,True
baseline,legacy,first-stage-float32,narrower-float32,6.344131594727862e-16,2.220446049250313e-16,True,True
baseline,legacy,first-stage-float32,wider-float32,5.921189419638662e-16,2.220446049250313e-16,True,True
baseline,legacy,first-stage-float32,mixed-float32,6.245004505800007e-16,2.220446049250313e-16,True,True
baseline,legacy,narrower-float32,wider-float32,5.075305274411955e-16,2.220446049250313e-16,True,True
baseline,legacy,narrower-float32,mixed-float32,7.612957913673434e-16,2.220446049250313e-16,True,True
baseline,legacy,wider-float32,mixed-float32,6.344131594727861e-16,2.220446049250313e-16,True,True
baseline,guarded,first-stage-double,narrower-double,6.661338147750936e-16,3.3306690738754696e-16,True,True
baseline,guarded,first-stage-double,wider-double,8.881784197001246e-16,1.1102230246251565e-16,True,True
baseline,guarded,first-stage-double,mixed-double,5.551115123125781e-16,1.1102230246251565e-16,True,True
baseline,guarded,narrower-double,wider-double,5.551115123125781e-16,3.3306690738754696e-16,True,True
baseline,guarded,narrower-double,mixed-double,7.612957883143927e-16,2.220446049250313e-16,True,True
baseline,guarded,wider-double,mixed-double,1.0150610510858568e-15,1.1102230246251565e-16,True,True
baseline,guarded,first-stage-float32,narrower-float32,6.344131594727862e-16,2.220446049250313e-16,True,True
baseline,guarded,first-stage-float32,wider-float32,5.921189419638662e-16,2.220446049250313e-16,True,True
baseline,guarded,first-stage-float32,mixed-float32,6.245004505800007e-16,2.220446049250313e-16,True,True
baseline,guarded,narrower-float32,wider-float32,5.075305274411955e-16,2.220446049250313e-16,True,True
baseline,guarded,narrower-float32,mixed-float32,7.612957913673434e-16,2.220446049250313e-16,True,True
baseline,guarded,wider-float32,mixed-float32,6.344131594727861e-16,2.220446049250313e-16,True,True
