dataset,variant,case,phase,seconds,process_peak_rss_bytes,included_in
heterogeneous-168,legacy,first-stage-double,search,33.300968583,1167966208,fit total
heterogeneous-168,legacy,first-stage-double,endpoint_audit,27.755298917,1167966208,fit total
heterogeneous-168,legacy,first-stage-double,search reference,9.790607918,1167966208,search; RSS is search-process high-water mark
heterogeneous-168,legacy,first-stage-double,new endpoint audit,12.122517208,883261440,audit process
heterogeneous-168,legacy,first-stage-double,high precision,0,,new endpoint audit
heterogeneous-168,legacy,narrower-double,search,40.728996792,1184825344,fit total
heterogeneous-168,legacy,narrower-double,endpoint_audit,28.466625083,1184825344,fit total
heterogeneous-168,legacy,narrower-double,search reference,11.945088916000001,1184825344,search; RSS is search-process high-water mark
heterogeneous-168,legacy,narrower-double,new endpoint audit,10.6289925,975765504,audit process
heterogeneous-168,legacy,narrower-double,high precision,0,,new endpoint audit
heterogeneous-168,legacy,wider-double,search,40.720274625,1197408256,fit total
heterogeneous-168,legacy,wider-double,endpoint_audit,28.236092083,1197408256,fit total
heterogeneous-168,legacy,wider-double,search reference,11.84539904,1197408256,search; RSS is search-process high-water mark
heterogeneous-168,legacy,wider-double,new endpoint audit,11.287344083,998047744,audit process
heterogeneous-168,legacy,wider-double,high precision,0,,new endpoint audit
heterogeneous-168,legacy,mixed-double,search,38.574274667,1197408256,fit total
heterogeneous-168,legacy,mixed-double,endpoint_audit,27.77383275,1197408256,fit total
heterogeneous-168,legacy,mixed-double,search reference,10.096998249999999,1197408256,search; RSS is search-process high-water mark
heterogeneous-168,legacy,mixed-double,new endpoint audit,12.325796958,975765504,audit process
heterogeneous-168,legacy,mixed-double,high precision,0,,new endpoint audit
heterogeneous-168,legacy,first-stage-float32,search,34.189410125,1197408256,fit total
heterogeneous-168,legacy,first-stage-float32,endpoint_audit,27.812061,1197408256,fit total
heterogeneous-168,legacy,first-stage-float32,search reference,10.104979375,1197408256,search; RSS is search-process high-water mark
heterogeneous-168,legacy,first-stage-float32,new endpoint audit,11.422000417,975765504,audit process
heterogeneous-168,legacy,first-stage-float32,high precision,0,,new endpoint audit
heterogeneous-168,legacy,narrower-float32,search,40.576019709,1197408256,fit total
heterogeneous-168,legacy,narrower-float32,endpoint_audit,27.606073541,1197408256,fit total
heterogeneous-168,legacy,narrower-float32,search reference,11.7544625,1197408256,search; RSS is search-process high-water mark
heterogeneous-168,legacy,narrower-float32,new endpoint audit,11.089155875,975765504,audit process
heterogeneous-168,legacy,narrower-float32,high precision,0,,new endpoint audit
heterogeneous-168,legacy,wider-float32,search,38.064388167,1201995776,fit total
heterogeneous-168,legacy,wider-float32,endpoint_audit,26.698595375,1201995776,fit total
heterogeneous-168,legacy,wider-float32,search reference,10.046199293,1201995776,search; RSS is search-process high-water mark
heterogeneous-168,legacy,wider-float32,new endpoint audit,10.710660375,998047744,audit process
heterogeneous-168,legacy,wider-float32,high precision,0,,new endpoint audit
heterogeneous-168,legacy,mixed-float32,search,39.693419417,1201995776,fit total
heterogeneous-168,legacy,mixed-float32,endpoint_audit,27.863223958,1201995776,fit total
heterogeneous-168,legacy,mixed-float32,search reference,10.465217543,1201995776,search; RSS is search-process high-water mark
heterogeneous-168,legacy,mixed-float32,new endpoint audit,12.427353791,975765504,audit process
heterogeneous-168,legacy,mixed-float32,high precision,0,,new endpoint audit
heterogeneous-168,guarded,first-stage-double,search,34.381971125,1201995776,fit total
heterogeneous-168,guarded,first-stage-double,endpoint_audit,28.111786917,1201995776,fit total
heterogeneous-168,guarded,first-stage-double,search reference,10.328673541,1201995776,search; RSS is search-process high-water mark
heterogeneous-168,guarded,first-stage-double,new endpoint audit,0,883261440,audit process
heterogeneous-168,guarded,first-stage-double,high precision,0,,new endpoint audit
heterogeneous-168,guarded,narrower-double,search,40.7965655,1201995776,fit total
heterogeneous-168,guarded,narrower-double,endpoint_audit,28.056454375,1201995776,fit total
heterogeneous-168,guarded,narrower-double,search reference,11.886294498999998,1201995776,search; RSS is search-process high-water mark
heterogeneous-168,guarded,narrower-double,new endpoint audit,0,975765504,audit process
heterogeneous-168,guarded,narrower-double,high precision,0,,new endpoint audit
heterogeneous-168,guarded,wider-double,search,40.409886667,1201995776,fit total
heterogeneous-168,guarded,wider-double,endpoint_audit,27.963283667,1201995776,fit total
heterogeneous-168,guarded,wider-double,search reference,11.802033706,1201995776,search; RSS is search-process high-water mark
heterogeneous-168,guarded,wider-double,new endpoint audit,0,998047744,audit process
heterogeneous-168,guarded,wider-double,high precision,0,,new endpoint audit
heterogeneous-168,guarded,mixed-double,search,38.651508375,1201995776,fit total
heterogeneous-168,guarded,mixed-double,endpoint_audit,27.74436125,1201995776,fit total
heterogeneous-168,guarded,mixed-double,search reference,10.124074874,1201995776,search; RSS is search-process high-water mark
heterogeneous-168,guarded,mixed-double,new endpoint audit,0,975765504,audit process
heterogeneous-168,guarded,mixed-double,high precision,0,,new endpoint audit
