dataset,variant,legacy_double,legacy_float32,regular_double,regular_float32
heterogeneous-168,legacy,mixed-double,wider-float32,mixed-double,wider-float32
heterogeneous-168,guarded,mixed-double,wider-float32,mixed-double,wider-float32
heterogeneous-168,guarded-log,wider-double,first-stage-float32,wider-double,first-stage-float32
baseline,legacy,narrower-double,narrower-float32,narrower-double,narrower-float32
baseline,guarded,narrower-double,narrower-float32,narrower-double,narrower-float32
baseline,guarded-log,wider-double,wider-float32,wider-double,wider-float32
weak-1e-2,legacy,first-stage-double,narrower-float32,first-stage-double,narrower-float32
weak-1e-2,guarded,first-stage-double,narrower-float32,first-stage-double,narrower-float32
weak-1e-2,guarded-log,mixed-double,wider-float32,mixed-double,wider-float32
weak-1e-4,legacy,,,,
weak-1e-4,guarded,,,,
weak-1e-4,guarded-log,,mixed-float32,,
active-a,legacy,,,,
active-a,guarded,,,,
active-a,guarded-log,,,,
zero-signal,legacy,,,,
zero-signal,guarded,,,,
zero-signal,guarded-log,,,,
near-0.10,legacy,wider-double,mixed-float32,wider-double,mixed-float32
near-0.10,guarded,wider-double,mixed-float32,wider-double,mixed-float32
near-0.10,guarded-log,first-stage-double,narrower-float32,first-stage-double,narrower-float32
near-0.02,legacy,,,wider-double,wider-float32
near-0.02,guarded,,,wider-double,wider-float32
near-0.02,guarded-log,,,first-stage-double,wider-float32
duplicate,legacy,,,,
duplicate,guarded,,,,
duplicate,guarded-log,,,,
