atoms,rows,memberships,component_count,largest_atom_count,largest_row_count,dataset,constant_row_count,unobserved_atom_count,component_sizes
12,7451,29628,1,12,7451,active-a,0,0,12 atoms/7451 rows
12,7451,29628,1,12,7451,baseline,0,0,12 atoms/7451 rows
12,7243,29628,1,12,7243,duplicate,0,0,12 atoms/7243 rows
168,139551,407237,1,168,139551,heterogeneous-168,0,0,168 atoms/139551 rows
12,7243,29620,1,12,7243,near-0.02,0,0,12 atoms/7243 rows
12,7243,29595,1,12,7243,near-0.10,0,0,12 atoms/7243 rows
24,14902,59256,2,12,7451,regular-active,0,0,12 atoms/7451 rows;12 atoms/7451 rows
24,14694,59256,2,12,7451,regular-duplicate,0,0,12 atoms/7451 rows;12 atoms/7243 rows
24,14694,59248,2,12,7451,regular-near,0,0,12 atoms/7451 rows;12 atoms/7243 rows
36,22145,88851,3,12,7451,regular-three,0,0,12 atoms/7451 rows;12 atoms/7451 rows;12 atoms/7243 rows
24,14902,59256,2,12,7451,regular-two,0,0,12 atoms/7451 rows;12 atoms/7451 rows
24,14902,59256,2,12,7451,regular-weak,0,0,12 atoms/7451 rows;12 atoms/7451 rows
24,14902,59256,2,12,7451,regular-zero,0,0,12 atoms/7451 rows;12 atoms/7451 rows
12,7451,29628,1,12,7451,weak-1e-2,0,0,12 atoms/7451 rows
12,7451,29628,1,12,7451,weak-1e-4,0,0,12 atoms/7451 rows
12,7451,29628,1,12,7451,zero-signal,0,0,12 atoms/7451 rows
