dataset,case,primary_profile_calls,reference_profile_calls,total_profile_calls,seconds,count_evidence
active-a,first-stage-double,0,0,0,0.00413625,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
active-a,narrower-double,0,0,0,0.003557,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
active-a,wider-double,0,0,0,0.003395542,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
active-a,mixed-double,0,0,0,0.003355042,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
active-a,first-stage-float32,0,0,0,0.003345959,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
active-a,narrower-float32,0,0,0,0.003645458,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
active-a,wider-float32,0,0,0,0.002369042,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
active-a,mixed-float32,0,0,0,0.003036083,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
baseline,first-stage-double,0,0,0,0.004848458,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
baseline,narrower-double,0,0,0,0.003135959,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
baseline,wider-double,0,0,0,0.003726584,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
baseline,mixed-double,0,0,0,0.003381875,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
baseline,first-stage-float32,0,0,0,0.003052334,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
baseline,narrower-float32,0,0,0,0.002950542,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
baseline,wider-float32,0,0,0,0.00496375,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
baseline,mixed-float32,0,0,0,0.00358125,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
duplicate,first-stage-double,0,0,0,0.004038375,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
duplicate,narrower-double,0,0,0,0.003328584,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
duplicate,wider-double,0,0,0,0.003004208,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
duplicate,mixed-double,0,0,0,0.003622375,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
duplicate,first-stage-float32,0,0,0,0.003743,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
duplicate,narrower-float32,0,0,0,0.003656125,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
duplicate,wider-float32,0,0,0,0.00346,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
duplicate,mixed-float32,0,0,0,0.008381208,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
heterogeneous-168,first-stage-double,0,0,0,0.023795,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
heterogeneous-168,narrower-double,0,0,0,0.021464833,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
heterogeneous-168,wider-double,0,0,0,0.019009,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
heterogeneous-168,mixed-double,0,0,0,0.020733208,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
heterogeneous-168,first-stage-float32,0,0,0,0.020117416,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
heterogeneous-168,narrower-float32,0,0,0,0.020844833,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
heterogeneous-168,wider-float32,0,0,0,0.021342375,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
heterogeneous-168,mixed-float32,0,0,0,0.019897708,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.02,first-stage-double,0,0,0,0.003591708,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.02,narrower-double,0,0,0,0.002900625,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.02,wider-double,0,0,0,0.004787542,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.02,mixed-double,0,0,0,0.003157084,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
