dataset,case,primary_profile_calls,reference_profile_calls,total_profile_calls,seconds,count_evidence
active-a,first-stage-double,0,0,0,0.00404225,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
active-a,narrower-double,0,0,0,0.003659958,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
active-a,wider-double,0,0,0,0.0036465,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
active-a,mixed-double,0,0,0,0.003228083,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
active-a,first-stage-float32,0,0,0,0.002658208,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
active-a,narrower-float32,0,0,0,0.003533083,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
active-a,wider-float32,0,0,0,0.0063055,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
active-a,mixed-float32,0,0,0,0.00296325,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
baseline,first-stage-double,0,0,0,0.004020875,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
baseline,narrower-double,0,0,0,0.003550792,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
baseline,wider-double,0,0,0,0.00355725,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
baseline,mixed-double,0,0,0,0.003321791,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
baseline,first-stage-float32,0,0,0,0.004475792,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
baseline,narrower-float32,0,0,0,0.003488709,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
baseline,wider-float32,0,0,0,0.007762958,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
baseline,mixed-float32,0,0,0,0.004170208,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
duplicate,first-stage-double,0,0,0,0.003849917,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
duplicate,narrower-double,0,0,0,0.005184958,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
duplicate,wider-double,0,0,0,0.003205334,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
duplicate,mixed-double,0,0,0,0.003674875,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
duplicate,first-stage-float32,0,0,0,0.003582542,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
duplicate,narrower-float32,0,0,0,0.003563417,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
duplicate,wider-float32,0,0,0,0.0032375,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
duplicate,mixed-float32,0,0,0,0.003103333,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
heterogeneous-168,first-stage-double,0,0,0,0.020708875,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
heterogeneous-168,narrower-double,0,0,0,0.0145775,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
heterogeneous-168,wider-double,0,0,0,0.024448833,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
heterogeneous-168,mixed-double,0,0,0,0.019116,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
heterogeneous-168,first-stage-float32,0,0,0,0.02016725,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
heterogeneous-168,narrower-float32,0,0,0,0.022118,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
heterogeneous-168,wider-float32,0,0,0,0.020638417,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
heterogeneous-168,mixed-float32,0,0,0,0.019066375,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
near-0.02,first-stage-double,0,0,0,0.003613084,Assess control flow replayed from the identical saved initial-state validity and differential evidence; separate from search budgets
