dataset,case,scope,atoms,rows,search_counter_scope,profile_evaluations,accepted_updates,search_reference_solves,endpoint_reference_solves,audit_reference_solves,post_search_trust_reference_solves,refreshed_assessment_reference_solves,precision_reference_pairs_requested,boundary_reference_pairs_requested,boundary_seconds,refreshed_assessment_seconds,search_seconds,search_reference_seconds_nested,endpoint_audit_seconds,audit_seconds,precision_seconds_nested,process_peak_rss_bytes
active-a,first-stage-double,monolithic,12,7451,this-search,78,54,80,13,103,0,0,1,1,131.7419695,2e-06,1.357831209,0.6320781659999996,0.077865041,23.386977416,22.147468292,171278336
active-a,first-stage-double,assembled,12,7451,sum-of-components,78,54,80,13,103,0,0,1,1,0.031818292,4.208e-06,0,0,0.077052416,1.520691208,0.210297708,178241536
active-a,first-stage-double,1,12,7451,this-search,78,54,80,13,103,1,0,1,1,0.039726292,4.166e-06,1.297245958,0.5999765430000003,0.082168417,1.517794042,0.21855675,178241536
active-a,narrower-double,monolithic,12,7451,this-search,31,25,31,13,103,0,0,1,1,131.611881167,1.416e-06,0.528899416,0.21150100000000008,0.079877167,23.620123083,22.339093875,173604864
active-a,narrower-double,assembled,12,7451,sum-of-components,31,25,31,13,103,0,0,1,1,0.038615541,1.8958e-05,0,0,0.088196584,1.602763208,0.203172375,182419456
active-a,narrower-double,1,12,7451,this-search,31,25,31,13,103,1,0,1,1,0.036944625,1.0042e-05,0.553729708,0.26619991699999995,0.084028209,1.583013584,0.219169916,182419456
active-a,wider-double,monolithic,12,7451,this-search,43,34,43,13,103,0,0,1,1,131.54673575,1.5e-06,0.776041916,0.338802878,0.063991167,23.644152,22.390983417,169377792
active-a,wider-double,assembled,12,7451,sum-of-components,43,34,43,13,103,0,0,1,1,0.037743458,4.041e-06,0,0,0.074670375,1.494175125,0.198191708,190054400
active-a,wider-double,1,12,7451,this-search,43,34,43,13,103,1,0,1,1,0.043010584,2.417e-06,0.775798083,0.32589958099999994,0.078848125,1.570174916,0.226128208,190054400
active-a,mixed-double,monolithic,12,7451,this-search,32,26,32,13,103,0,0,1,1,128.688987,3.334e-06,0.55686825,0.23829704499999996,0.085490625,23.523179917,22.209580459,172408832
active-a,mixed-double,assembled,12,7451,sum-of-components,32,26,32,13,103,0,0,1,1,0.039053375,5.167e-06,0,0,0.083282167,1.541647166,0.201952917,173375488
active-a,mixed-double,1,12,7451,this-search,32,26,32,13,103,1,0,1,1,0.042179833,4.042e-06,0.57904275,0.26238450299999994,0.06975575,1.546953417,0.222384875,173375488
active-a,first-stage-float32,monolithic,12,7451,this-search,53,37,53,13,103,0,0,1,1,128.944111625,3.333e-06,0.9160055,0.3988367099999998,0.072262292,23.667666292,22.43624525,171589632
active-a,first-stage-float32,assembled,12,7451,sum-of-components,53,37,53,13,103,0,0,1,1,0.039626041,3.042e-06,0,0,0.075107209,1.427949208,0.214060417,173064192
active-a,first-stage-float32,1,12,7451,this-search,53,37,53,13,103,1,0,1,1,0.047239833,3.792e-06,0.97875125,0.42871587699999986,0.070595958,1.465517791,0.22036525,173064192
active-a,narrower-float32,monolithic,12,7451,this-search,40,30,40,13,103,0,0,1,1,129.425785625,5.333e-06,0.765565,0.3130110399999999,0.07903675,23.0881965,21.856708459,174374912
