dataset,case,scope,atoms,rows,search_counter_scope,profile_evaluations,accepted_updates,search_reference_solves,endpoint_reference_solves,audit_reference_solves,post_search_trust_reference_solves,refreshed_assessment_reference_solves,precision_reference_pairs_requested,boundary_reference_pairs_requested,boundary_seconds,refreshed_assessment_seconds,search_seconds,search_reference_seconds_nested,endpoint_audit_seconds,audit_seconds,precision_seconds_nested,process_peak_rss_bytes
active-a,first-stage-double,monolithic,12,7451,this-search,78,54,80,13,103,0,0,1,1,131.770775875,2.958e-06,1.356902333,0.6241028319999999,0.075648459,23.515159667,22.254738166,174424064
active-a,first-stage-double,assembled,12,7451,sum-of-components,78,54,80,13,103,0,0,1,1,0.045748791,3.25e-06,0,0,0.08079625,1.562751083,0.221052875,185188352
active-a,first-stage-double,1,12,7451,this-search,78,54,80,13,103,1,0,1,1,0.033349333,9.208e-06,1.424055083,0.6687272129999998,0.070292334,1.459251667,0.235273042,185188352
active-a,narrower-double,monolithic,12,7451,this-search,31,25,31,13,103,0,0,1,1,131.485939041,2.917e-06,0.551028125,0.23807337499999998,0.089508416,23.599093042,22.306395375,172736512
active-a,narrower-double,assembled,12,7451,sum-of-components,31,25,31,13,103,0,0,1,1,0.043198625,3.167e-06,0,0,0.078106417,1.655499291,0.218197792,184123392
active-a,narrower-double,1,12,7451,this-search,31,25,31,13,103,1,0,1,1,0.037544666,5.375e-06,0.560715834,0.25711054,0.073174417,1.595700833,0.210095208,184123392
active-a,wider-double,monolithic,12,7451,this-search,43,34,43,13,103,0,0,1,1,131.278770125,2.667e-06,0.743792416,0.314167631,0.074488292,23.634978833,22.390730208,173129728
active-a,wider-double,assembled,12,7451,sum-of-components,43,34,43,13,103,0,0,1,1,0.036507583,3.042e-06,0,0,0.07562925,1.556666875,0.211286208,182829056
active-a,wider-double,1,12,7451,this-search,43,34,43,13,103,1,0,1,1,0.041695917,4.375e-06,0.8361205,0.37736799899999995,0.068360875,1.505924208,0.227167333,182829056
active-a,mixed-double,monolithic,12,7451,this-search,32,26,32,13,103,0,0,1,1,128.963932708,3.417e-06,0.573123708,0.24981983100000005,0.074174459,23.487301958,22.162778834,178667520
active-a,mixed-double,assembled,12,7451,sum-of-components,32,26,32,13,103,0,0,1,1,0.039988125,3.5e-06,0,0,0.076571917,1.510359,0.198226334,179601408
active-a,mixed-double,1,12,7451,this-search,32,26,32,13,103,1,0,1,1,0.036043542,3.875e-06,0.537831708,0.22523424899999997,0.092030917,1.538263958,0.231009041,179601408
active-a,first-stage-float32,monolithic,12,7451,this-search,53,37,53,13,103,0,0,1,1,128.829022958,3.75e-06,0.938426166,0.413751709,0.078896042,23.45959225,22.300686542,178667520
active-a,first-stage-float32,assembled,12,7451,sum-of-components,53,37,53,13,103,0,0,1,1,0.036410959,3.042e-06,0,0,0.07401125,1.392074916,0.212816416,179666944
active-a,first-stage-float32,1,12,7451,this-search,53,37,53,13,103,1,0,1,1,0.035439458,3.625e-06,1.026151459,0.48762587500000015,0.0604915,1.413574,0.215474875,179666944
active-a,narrower-float32,monolithic,12,7451,this-search,40,30,40,13,103,0,0,1,1,129.03238025,3.75e-06,0.727744833,0.31719416999999983,0.086200583,23.192802334,21.924334166,175816704
active-a,narrower-float32,assembled,12,7451,sum-of-components,40,30,40,13,103,0,0,1,1,0.046758917,3.375e-06,0,0,0.091630625,1.498362416,0.222712542,176570368
active-a,narrower-float32,1,12,7451,this-search,40,30,40,13,103,1,0,1,1,0.0311425,3.792e-06,0.736511125,0.323504167,0.077517375,1.467947875,0.244951459,176570368
active-a,wider-float32,monolithic,12,7451,this-search,37,26,37,13,103,0,0,1,1,130.628380875,3.083e-06,0.687929625,0.3035149589999999,0.06523075,23.455451292,22.226839542,184090624
active-a,wider-float32,assembled,12,7451,sum-of-components,37,26,37,13,103,0,0,1,1,0.040695917,1.709e-06,0,0,0.08374725,1.403050083,0.215930334,184762368
active-a,wider-float32,1,12,7451,this-search,37,26,37,13,103,1,0,1,1,0.029664834,4.542e-06,0.666405583,0.28930046000000004,0.076404958,1.398491333,0.220162458,184762368
active-a,mixed-float32,monolithic,12,7451,this-search,32,22,32,13,103,0,0,1,1,130.372025166,3.458e-06,0.540167583,0.25864091799999994,0.077380833,23.35449375,22.163596875,180011008
active-a,mixed-float32,assembled,12,7451,sum-of-components,32,22,32,13,103,0,0,1,1,0.049354458,1.5e-06,0,0,0.07907625,1.409809334,0.230109917,180682752
active-a,mixed-float32,1,12,7451,this-search,32,22,32,13,103,1,0,1,1,0.030190416,4.083e-06,0.535905875,0.25165429300000003,0.072543416,1.345161125,0.197494042,180682752
baseline,first-stage-double,monolithic,12,7451,this-search,6,5,6,13,103,0,0,1,0,0,3.417e-06,0.10824625,0.04656279099999999,0.07793975,23.394204042,22.351098458,180518912
baseline,first-stage-double,assembled,12,7451,sum-of-components,6,5,6,13,103,0,0,1,0,0,3.416e-06,0,0,0.07416075,1.262373167,0.224670292,182796288
baseline,first-stage-double,1,12,7451,this-search,6,5,6,13,103,1,0,1,0,0,3.917e-06,0.092178791,0.037819418,0.05894725,1.181079334,0.203896667,182845440
baseline,narrower-double,monolithic,12,7451,this-search,7,5,7,13,1,0,0,0,0,0,3.208e-06,0.125415792,0.064654375,0.078511667,0.014114792,0,58621952
baseline,narrower-double,assembled,12,7451,sum-of-components,7,5,7,13,1,0,0,0,0,0,1.542e-06,0,0,0.09547175,0.018205042,0,43286528
baseline,narrower-double,1,12,7451,this-search,7,5,7,13,1,1,0,0,0,0,1.834e-06,0.1268885,0.05707133300000001,0.092176708,0.030304458,0,58621952
baseline,wider-double,monolithic,12,7451,this-search,8,7,8,13,1,0,0,0,0,0,5.5e-06,0.14282975,0.065754544,0.067102291,0.019134167,0,58949632
baseline,wider-double,assembled,12,7451,sum-of-components,8,7,8,13,1,0,0,0,0,0,3.5e-06,0,0,0.071475667,0.022602291,0,48267264
