dataset,case,required_regular,both_regular,available,passed,reason,scaled_ac_difference,scaled_b_difference,maximum_log_b_difference,normalized_prediction_inf_difference,normalized_objective_difference,numeric_passed
active-a,first-stage-double,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
active-a,narrower-double,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
active-a,wider-double,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
active-a,mixed-double,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
active-a,first-stage-float32,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
active-a,narrower-float32,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
active-a,wider-float32,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
active-a,mixed-float32,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
baseline,first-stage-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
baseline,narrower-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
baseline,wider-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
baseline,mixed-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
baseline,first-stage-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
baseline,narrower-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
baseline,wider-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
baseline,mixed-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
duplicate,first-stage-double,False,False,False,True,nonregular-or-unavailable; see certificates,,,,,,
duplicate,narrower-double,False,False,False,True,nonregular-or-unavailable; see certificates,,,,,,
duplicate,wider-double,False,False,False,True,nonregular-or-unavailable; see certificates,,,,,,
duplicate,mixed-double,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
duplicate,first-stage-float32,False,False,False,True,nonregular-or-unavailable; see certificates,,,,,,
duplicate,narrower-float32,False,False,False,True,nonregular-or-unavailable; see certificates,,,,,,
duplicate,wider-float32,False,False,False,True,nonregular-or-unavailable; see certificates,,,,,,
duplicate,mixed-float32,False,False,True,True,nonregular-control,0.0,0.0,0.0,0.0,0.0,True
heterogeneous-168,first-stage-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
heterogeneous-168,narrower-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
heterogeneous-168,wider-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
heterogeneous-168,mixed-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
heterogeneous-168,first-stage-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
heterogeneous-168,narrower-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
heterogeneous-168,wider-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
heterogeneous-168,mixed-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
near-0.02,first-stage-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
near-0.02,narrower-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
near-0.02,wider-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
near-0.02,mixed-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
near-0.02,first-stage-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
near-0.02,narrower-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
near-0.02,wider-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
near-0.02,mixed-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
near-0.10,first-stage-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
near-0.10,narrower-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
near-0.10,wider-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
near-0.10,mixed-double,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
near-0.10,first-stage-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
near-0.10,narrower-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
near-0.10,wider-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
near-0.10,mixed-float32,True,True,True,True,regular-parity,0.0,0.0,0.0,0.0,0.0,True
regular-active,first-stage-double,False,False,True,True,nonregular-control,4.761586260384668e-08,2.9035628396755718e-08,9.35592452400158e-08,5.028273484591553e-17,1.1516475802155393e-32,False
regular-active,narrower-double,False,False,True,True,nonregular-control,3.835205886130831e-08,2.3386661778391618e-08,7.535701984640042e-08,3.771205113443664e-17,1.5065876019831024e-32,False
regular-active,wider-double,False,False,True,True,nonregular-control,7.276224177576123e-08,3.860156341741887e-08,1.1580468817218303e-07,3.771205113443664e-17,1.1949238978057603e-33,False
regular-active,mixed-double,False,False,True,True,nonregular-control,2.9816928565931344e-08,1.581836861508524e-08,5.435128158648439e-08,3.771205113443664e-17,8.570657224267286e-33,False
regular-active,first-stage-float32,False,False,True,True,nonregular-control,8.017923038456263e-08,5.6923743019246125e-08,1.9919261085021844e-07,2.0524626683089256e-13,2.9997554089208465e-25,False
regular-active,narrower-float32,False,False,True,True,nonregular-control,1.6049165227398115e-08,1.139419540730276e-08,3.987158114782119e-08,4.097414353105103e-14,5.671994792895721e-26,False
regular-active,wider-float32,False,False,True,True,nonregular-control,1.0536731502070298e-08,5.589907158345421e-09,1.6769719168863162e-08,2.9069706063983897e-16,4.308137850277815e-25,False
regular-active,mixed-float32,False,False,True,True,nonregular-control,5.965149794954892e-08,3.164608354223425e-08,9.493824748574298e-08,2.92268396102757e-15,2.0184982102052064e-25,False
regular-duplicate,first-stage-double,False,False,False,True,nonregular-or-unavailable; see certificates,,,,,,
regular-duplicate,narrower-double,False,False,False,True,nonregular-or-unavailable; see certificates,,,,,,
regular-duplicate,wider-double,False,False,False,True,nonregular-or-unavailable; see certificates,,,,,,
regular-duplicate,mixed-double,False,False,True,True,nonregular-control,7.253189092983874e-14,3.2091728078518815e-05,7.249825564345502e-05,5.0643679958676093e-17,1.1360292994230485e-32,False
regular-duplicate,first-stage-float32,False,False,False,True,nonregular-or-unavailable; see certificates,,,,,,
regular-duplicate,narrower-float32,False,False,False,True,nonregular-or-unavailable; see certificates,,,,,,
regular-duplicate,wider-float32,False,False,False,True,nonregular-or-unavailable; see certificates,,,,,,
regular-duplicate,mixed-float32,False,False,True,True,nonregular-control,2.7992255330735356e-06,0.2748089811624153,0.32167980388529926,3.8615805941516624e-16,3.8136794690371884e-26,False
regular-near,first-stage-double,True,True,True,True,regular-parity,1.141943682471592e-15,5.181040781584062e-16,1.4432899320127035e-15,5.063571083455828e-17,8.298357796752936e-33,True
regular-near,narrower-double,True,True,True,True,regular-parity,8.628018934229784e-15,2.220446049250311e-16,6.661338147750939e-16,6.329463854319785e-17,1.9111731842141046e-32,True
