dataset,paired_cases,monolithic_profile_evaluations,component_profile_evaluations_total,monolithic_search_references,component_search_references_total,monolithic_search_seconds,component_search_seconds_total,search_process_peak_rss_bytes
active-a,8,346,346,348,348,6.111672083,6.173401082,64552960
baseline,8,56,56,56,56,1.034701458,0.984436708,60620800
duplicate,8,54,54,48,48,1.025359792,0.947042627,58523648
heterogeneous-168,8,54,54,51,51,386.664268292,389.735379625,1255948288
near-0.02,8,119,119,120,120,2.257490792,2.225848748,58114048
near-0.10,8,78,78,78,78,1.4054600000000002,1.380199624,59162624
regular-active,8,324,399,327,402,17.991012664,7.4112666659999995,97910784
regular-duplicate,8,37,101,31,95,2.048273998,1.84935854,87785472
regular-near,8,130,175,132,176,7.472043457,3.1109049590000004,97943552
regular-three,8,78,190,78,190,10.437006708999998,3.321584209,153878528
regular-two,8,72,144,72,144,3.929353207,2.585217666,95076352
regular-weak,8,78,136,80,137,4.718803083999999,2.5769840420000003,95240192
regular-zero,8,129,184,133,188,6.958233459,3.3373888729999996,92389376
weak-1e-2,8,88,88,88,88,1.5973555,1.5863159590000002,62062592
weak-1e-4,8,80,80,83,83,1.5559960830000001,1.4281363759999999,60276736
zero-signal,8,133,133,137,137,2.1955777100000002,2.2345170409999997,61407232
