dataset,case,initialization_valid,execution_complete,joint_qualified,qualification_failure,endpoint_identified,known_unidentified,oracle_recovered,float32_accuracy_passed,independent_endpoint_replay_passed,rss,residual_rmse,projected_kkt,b_gradient_inf,local_correction_inf,profile_evaluations,accepted_updates,A_bias,A_rmse,A_p99,A_max,A_below_0_01,B_bias,B_rmse,B_p99,B_max,B_below_0_01,C_bias,C_rmse,C_p99,C_max,C_below_0_01
heterogeneous-168,first-stage-double,True,True,True,none,True,False,True,False,True,1.3212072018068807e-24,3.0769397312894522e-15,1.5681900222830336e-15,2.52525794820369e-16,1.0631046132350479e-16,6,5,8.194503276995203e-15,2.9274621458015525e-14,1.0746958878371515e-13,1.2434497875801753e-13,168,-3.304235192336775e-19,4.282778297617693e-18,0.0,5.551115123125783e-17,168,-2.1721142555180551e-16,2.6695254082519046e-15,8.992806499463768e-15,9.2148511043888e-15,168
heterogeneous-168,narrower-double,True,True,True,none,True,False,True,False,True,1.3531716290865922e-24,3.1139380292473926e-15,1.4710455076283324e-15,2.4402267560596773e-16,1.4869234629390805e-16,7,6,8.723180907769087e-15,3.000729523471787e-14,1.0835776720341528e-13,1.2079226507921703e-13,168,-3.304235192336775e-19,4.282778297617693e-18,0.0,5.551115123125783e-17,168,-2.430957232387673e-16,2.5960147750011234e-15,8.215650382226158e-15,8.548717289613705e-15,168
heterogeneous-168,wider-double,True,True,True,none,True,False,True,False,True,1.3212072018068807e-24,3.0769397312894522e-15,1.5681900222830336e-15,2.52525794820369e-16,1.0631046132350479e-16,7,6,8.194503276995203e-15,2.9274621458015525e-14,1.0746958878371515e-13,1.2434497875801753e-13,168,-3.304235192336775e-19,4.282778297617693e-18,0.0,5.551115123125783e-17,168,-2.1721142555180551e-16,2.6695254082519046e-15,8.992806499463768e-15,9.2148511043888e-15,168
heterogeneous-168,mixed-double,True,True,True,none,True,False,True,False,True,1.2169802283363942e-24,2.9530804928689177e-15,1.8041124150158794e-15,4.4389781449594073e-16,2.4763693500945595e-16,7,5,1.076387656255628e-14,2.89184557047147e-14,1.163513729807164e-13,1.8474111129762605e-13,168,-6.60847038467355e-19,2.8408737346949874e-17,5.551115123125783e-17,1.1102230246251565e-16,168,-2.583067889632072e-16,2.6826144341402517e-15,1.0436096431476471e-14,1.176836406102666e-14,168
heterogeneous-168,first-stage-float32,True,True,True,none,True,False,False,True,True,3.869069555109361e-11,1.6650864710024224e-08,1.9012569296705806e-15,3.0117404148902356e-16,2.169223700482347e-16,6,5,2.9164901287665704e-09,2.284826600937871e-08,6.075730762944431e-08,6.493246829109012e-08,168,1.3659402775534346e-10,1.1350712135841644e-09,3.055949493457888e-09,3.1437027425695874e-09,168,-1.0799317708253406e-10,1.2518423233683972e-09,3.4519161973278756e-09,3.735735054632983e-09,168
heterogeneous-168,narrower-float32,True,True,True,none,True,False,False,True,True,3.869069555151769e-11,1.6650864710115475e-08,1.915134717478395e-15,2.8463343271762037e-16,2.0440268441334533e-16,7,6,2.916486147824011e-09,2.284826747179282e-08,6.075735825561424e-08,6.493248605465851e-08,168,1.365940267640729e-10,1.135071208488446e-09,3.055949493457888e-09,3.1437027425695874e-09,168,-1.0799304049201215e-10,1.2518424308319813e-09,3.451917529595505e-09,3.735739384502779e-09,168
heterogeneous-168,wider-float32,True,True,True,none,True,False,False,True,True,3.869069554934612e-11,1.6650864709648198e-08,1.609823385706477e-15,3.736291194523873e-16,2.347092481945805e-16,7,5,2.9164866447809836e-09,2.2848265295612724e-08,6.075735381472214e-08,6.493246651473328e-08,168,1.3659402610322586e-10,1.1350712085477042e-09,3.055949493457888e-09,3.1437027425695874e-09,168,-1.0799312035698299e-10,1.2518424053743556e-09,3.45191097927966e-09,3.735729614540162e-09,168
heterogeneous-168,mixed-float32,True,True,True,none,True,False,False,True,True,3.869069555241337e-11,1.6650864710308205e-08,1.887379141862766e-15,3.468373851509973e-16,2.2671069355203705e-16,7,5,2.916493776642223e-09,2.2848265118487206e-08,6.07573431565811e-08,6.493249138372903e-08,168,1.3659402940746106e-10,1.1350712086672337e-09,3.055949493457888e-09,3.1437027425695874e-09,168,-1.0799335174072488e-10,1.2518415290429027e-09,3.451902097495463e-09,3.7357352766775875e-09,168
baseline,first-stage-double,True,True,True,none,True,False,True,False,True,1.331667636741645e-27,4.227568380052652e-16,1.5959455978986625e-16,3.575308879074176e-17,9.100235554944738e-17,6,5,-2.220446049250313e-16,1.9357399876532506e-15,2.6645352591003757e-15,2.6645352591003757e-15,12,0.0,2.2662332591841973e-17,5.551115123125783e-17,5.551115123125783e-17,12,2.312964634635743e-17,3.5435946773586813e-16,9.992007221626409e-16,9.992007221626409e-16,12
baseline,narrower-double,True,True,True,none,True,False,True,False,True,9.924574072442168e-28,3.649628480428003e-16,9.71445146547012e-17,2.8652094516776165e-17,1.5778384114310306e-16,7,5,4.440892098500626e-16,2.235200005905454e-15,3.552713678800501e-15,3.552713678800501e-15,12,9.25185853854297e-18,3.925231146709438e-17,1.1102230246251565e-16,1.1102230246251565e-16,12,-3.700743415417188e-17,2.9044058181349403e-16,8.326672684688674e-16,8.326672684688674e-16,12
