dataset,case,serial_id,A,B,C,A_error,B_error,C_error,truth_comparison_identifiable
active-a,first-stage-double,1,5.999999999999999,0.5,0.20000000000000007,-8.881784197001252e-16,0.0,5.551115123125783e-17,True
active-a,first-stage-double,2,9.855734367406044e-09,0.4500000087143796,0.2000000000000003,9.855734367406044e-09,8.714379606811207e-09,2.7755575615628914e-16,True
active-a,first-stage-double,3,7.999999999999998,0.3999999999999999,0.20000000000000026,-1.7763568394002505e-15,-1.1102230246251565e-16,2.498001805406602e-16,True
active-a,first-stage-double,4,5.999999999999998,0.5,-0.19999999999999965,-1.7763568394002505e-15,0.0,3.608224830031759e-16,True
active-a,first-stage-double,5,6.999999999999995,0.4499999999999999,0.19999999999999965,-5.329070518200751e-15,-1.1102230246251565e-16,-3.608224830031759e-16,True
active-a,first-stage-double,6,9.546537038533278e-08,0.40000009496112776,0.19999999999999923,9.546537038533278e-08,9.496112773899057e-08,-7.771561172376096e-16,True
active-a,first-stage-double,7,6.0,0.49999999999999994,0.1999999999999997,0.0,-5.551115123125783e-17,-3.0531133177191805e-16,True
active-a,first-stage-double,8,7.0,0.45,-0.19999999999999973,0.0,0.0,2.7755575615628914e-16,True
active-a,first-stage-double,9,8.000000000000004,0.4000000000000001,0.19999999999999968,3.552713678800501e-15,5.551115123125783e-17,-3.3306690738754696e-16,True
active-a,first-stage-double,10,1.0025565149250352e-07,0.5000000797808946,0.1999999999999997,1.0025565149250352e-07,7.97808945574019e-08,-3.0531133177191805e-16,True
active-a,first-stage-double,11,7.000000000000001,0.45,0.19999999999999943,8.881784197001252e-16,0.0,-5.828670879282072e-16,True
active-a,first-stage-double,12,8.000000000000002,0.4000000000000001,-0.19999999999999965,1.7763568394002505e-15,5.551115123125783e-17,3.608224830031759e-16,True
active-a,narrower-double,1,6.000000000000004,0.5,0.2000000000000007,4.440892098500626e-15,0.0,6.938893903907228e-16,True
active-a,narrower-double,2,2.4790747269553286e-08,0.4500000219198324,0.1999999999999996,2.4790747269553286e-08,2.1919832393635375e-08,-4.163336342344337e-16,True
active-a,narrower-double,3,8.000000000000002,0.4,0.19999999999999987,1.7763568394002505e-15,0.0,-1.3877787807814457e-16,True
active-a,narrower-double,4,5.999999999999998,0.5,-0.20000000000000015,-1.7763568394002505e-15,0.0,-1.3877787807814457e-16,True
active-a,narrower-double,5,7.0,0.45,0.20000000000000012,0.0,0.0,1.1102230246251565e-16,True
active-a,narrower-double,6,2.6995756646305356e-08,0.40000002685317304,0.20000000000000007,2.6995756646305356e-08,2.685317301853729e-08,5.551115123125783e-17,True
active-a,narrower-double,7,6.000000000000002,0.49999999999999994,0.19999999999999976,1.7763568394002505e-15,-5.551115123125783e-17,-2.498001805406602e-16,True
active-a,narrower-double,8,7.0000000000000036,0.45,-0.1999999999999999,3.552713678800501e-15,0.0,1.1102230246251565e-16,True
active-a,narrower-double,9,7.999999999999999,0.4,0.19999999999999987,-8.881784197001252e-16,0.0,-1.3877787807814457e-16,True
active-a,narrower-double,10,1.1227605122798862e-08,0.5000000089346449,0.2,1.1227605122798862e-08,8.934644912805823e-09,0.0,True
active-a,narrower-double,11,6.999999999999999,0.45,0.20000000000000007,-8.881784197001252e-16,0.0,5.551115123125783e-17,True
active-a,narrower-double,12,7.999999999999998,0.4,-0.20000000000000015,-1.7763568394002505e-15,0.0,-1.3877787807814457e-16,True
active-a,wider-double,1,6.000000000000004,0.5,0.19999999999999998,4.440892098500626e-15,0.0,-2.7755575615628914e-17,True
active-a,wider-double,2,2.9252837934235887e-09,0.450000002586521,0.20000000000000037,2.9252837934235887e-09,2.5865209973829906e-09,3.608224830031759e-16,True
active-a,wider-double,3,8.000000000000002,0.4,0.19999999999999962,1.7763568394002505e-15,0.0,-3.885780586188048e-16,True
active-a,wider-double,4,5.999999999999996,0.5,-0.19999999999999976,-4.440892098500626e-15,0.0,2.498001805406602e-16,True
active-a,wider-double,5,7.0000000000000036,0.45,0.1999999999999996,3.552713678800501e-15,0.0,-4.163336342344337e-16,True
active-a,wider-double,6,1.454470738988411e-08,0.4000000144678873,0.20000000000000007,1.454470738988411e-08,1.4467887277103131e-08,5.551115123125783e-17,True
active-a,wider-double,7,5.999999999999997,0.49999999999999994,0.19999999999999998,-2.6645352591003757e-15,-5.551115123125783e-17,-2.7755575615628914e-17,True
active-a,wider-double,8,6.999999999999999,0.45,-0.19999999999999962,-8.881784197001252e-16,0.0,3.885780586188048e-16,True
active-a,wider-double,9,8.000000000000002,0.4,0.19999999999999984,1.7763568394002505e-15,0.0,-1.6653345369377348e-16,True
active-a,wider-double,10,6.901744930153312e-08,0.500000054922333,0.2000000000000001,6.901744930153312e-08,5.492233301485072e-08,8.326672684688674e-17,True
active-a,wider-double,11,6.999999999999997,0.45,0.19999999999999968,-2.6645352591003757e-15,0.0,-3.3306690738754696e-16,True
active-a,wider-double,12,8.000000000000004,0.4000000000000001,-0.19999999999999984,3.552713678800501e-15,5.551115123125783e-17,1.6653345369377348e-16,True
active-a,mixed-double,1,6.0000000000000036,0.5,0.19999999999999965,3.552713678800501e-15,0.0,-3.608224830031759e-16,True
active-a,mixed-double,2,1.0297939292276267e-08,0.45000000910538007,0.2000000000000005,1.0297939292276267e-08,9.105380061047441e-09,4.996003610813204e-16,True
active-a,mixed-double,3,7.999999999999999,0.4,0.20000000000000004,-8.881784197001252e-16,0.0,2.7755575615628914e-17,True
active-a,mixed-double,4,5.999999999999999,0.5,-0.19999999999999962,-8.881784197001252e-16,0.0,3.885780586188048e-16,True
active-a,mixed-double,5,7.0,0.45,0.19999999999999962,0.0,0.0,-3.885780586188048e-16,True
active-a,mixed-double,6,1.541311491876332e-08,0.4000000153317075,0.19999999999999993,1.541311491876332e-08,1.533170745915413e-08,-8.326672684688674e-17,True
active-a,mixed-double,7,6.000000000000004,0.5,0.19999999999999982,4.440892098500626e-15,0.0,-1.942890293094024e-16,True
active-a,mixed-double,8,6.999999999999998,0.45,-0.19999999999999993,-1.7763568394002505e-15,0.0,8.326672684688674e-17,True
active-a,mixed-double,9,8.000000000000002,0.4,0.2,1.7763568394002505e-15,0.0,0.0,True
active-a,mixed-double,10,2.438382253960834e-08,0.5000000194040309,0.1999999999999998,2.438382253960834e-08,1.940403093758647e-08,-2.220446049250313e-16,True
active-a,mixed-double,11,7.000000000000003,0.45,0.2000000000000002,2.6645352591003757e-15,0.0,1.942890293094024e-16,True
active-a,mixed-double,12,7.9999999999999964,0.4,-0.19999999999999993,-3.552713678800501e-15,0.0,8.326672684688674e-17,True
active-a,first-stage-float32,1,5.999999970650015,0.5000000004618399,0.19999999856145054,-2.9349984664861495e-08,4.6183989965697947e-10,-1.4385494739865834e-09,True
active-a,first-stage-float32,2,0.00017146387214001852,0.4501515157819064,0.19999999977948,0.00017146387214001852,0.00015151578190636394,-2.2052001891204043e-10,True
active-a,first-stage-float32,3,7.999999967745024,0.3999999984250522,0.19999999938592644,-3.2254975579348866e-08,-1.5749478388116245e-09,-6.140735697712785e-10,True
active-a,first-stage-float32,4,5.9999999924779495,0.5000000000052883,-0.1999999985733127,-7.522050538000258e-09,5.288325333197008e-12,1.4266873238355515e-09,True
active-a,first-stage-float32,5,6.9999999286596974,0.44999999712797095,0.2000000004047185,-7.134030255429025e-08,-2.8720290590200648e-09,4.047184809508053e-10,True
active-a,first-stage-float32,6,0.00011449607086949252,0.4001138376557357,0.20000000068520832,0.00011449607086949252,0.00011383765573569349,6.852083067609982e-10,True
active-a,first-stage-float32,7,6.000000091964335,0.5000000039957602,0.19999999793458098,9.19643348140653e-08,3.995760167185836e-09,-2.0654190302504816e-09,True
active-a,first-stage-float32,8,6.999999965567762,0.44999999827356785,-0.19999999811335628,-3.443223839383336e-08,-1.7264321638954527e-09,1.8866437301312544e-09,True
active-a,first-stage-float32,9,7.999999908532321,0.399999998114668,0.2000000015080689,-9.146767876444528e-08,-1.8853320016276598e-09,1.5080688919866247e-09,True
active-a,first-stage-float32,10,8.315730334090275e-09,0.4999999995450505,0.1999999985582541,8.315730334090275e-09,-4.5494952249924836e-10,-1.4417459170967817e-09,True
active-a,first-stage-float32,11,6.999999932048231,0.44999999662355317,0.20000000369732185,-6.795176865637131e-08,-3.3764468443386875e-09,3.6973218375813133e-09,True
active-a,first-stage-float32,12,8.00000001887436,0.3999999983951413,-0.19999999859633838,1.887435985281627e-08,-1.6048587458961094e-09,1.4036616313717332e-09,True
active-a,narrower-float32,1,5.999999970651136,0.5000000004618499,0.1999999985614076,-2.9348863783695833e-08,4.618498916642011e-10,-1.4385924118620608e-09,True
active-a,narrower-float32,2,0.00017146036389556292,0.4501515126844891,0.19999999977961677,0.00017146036389556292,0.00015151268448909683,-2.203832394354066e-10,True
active-a,narrower-float32,3,7.999999967748423,0.39999999842510203,0.19999999938586183,-3.225157740871509e-08,-1.5748979897978188e-09,-6.141381847513117e-10,True
active-a,narrower-float32,4,5.999999992474061,0.5000000000051853,-0.19999999857336034,-7.525938983121705e-09,5.185296636511794e-12,1.4266396675122195e-09,True
active-a,narrower-float32,5,6.999999928664888,0.44999999712806327,0.2000000004048243,-7.133511203960552e-08,-2.871936743975567e-09,4.048242852050521e-10,True
active-a,narrower-float32,6,0.00011446485080441659,0.40011380662592516,0.2000000006856579,0.00011446485080441659,0.00011380662592513913,6.856578915748202e-10,True
active-a,narrower-float32,7,6.000000091964032,0.5000000039957648,0.19999999793468592,9.196403194522418e-08,3.995764830122539e-09,-2.065314086419079e-09,True
active-a,narrower-float32,8,6.999999965568567,0.44999999827357995,-0.19999999811357017,-3.443143281600669e-08,-1.7264200624644843e-09,1.8864298456655604e-09,True
active-a,narrower-float32,9,7.999999908530382,0.3999999981146458,0.2000000015081733,-9.146961765793549e-08,-1.8853542060881523e-09,1.5081732807065151e-09,True
active-a,narrower-float32,10,0.0,0.49999999292704533,0.19999999855820239,0.0,-7.0729546663983456e-09,-1.4417976257341536e-09,True
active-a,narrower-float32,11,6.999999932045316,0.4499999966235151,0.20000000369745594,-6.795468365794477e-08,-3.376484924988432e-09,3.6974559247671124e-09,True
active-a,narrower-float32,12,8.000000018877474,0.3999999983951883,-0.19999999859642084,1.8877473806355738e-08,-1.6048117279510166e-09,1.4035791695565791e-09,True
active-a,wider-float32,1,5.999999970651128,0.5000000004618499,0.19999999856141001,-2.934887177730161e-08,4.618498916642011e-10,-1.4385899971269822e-09,True
active-a,wider-float32,2,0.00017146036365580446,0.45015151268427195,0.1999999997796154,0.00017146036365580446,0.0001515126842719372,-2.2038459945861177e-10,True
active-a,wider-float32,3,7.99999996774842,0.39999999842510203,0.1999999993858615,-3.225158007325035e-08,-1.5748979897978188e-09,-6.14138517818219e-10,True
active-a,wider-float32,4,5.999999992474058,0.5000000000051854,-0.1999999985733599,-7.525941647656964e-09,5.185407658814256e-12,1.4266401116014293e-09,True
active-a,wider-float32,5,6.999999928664887,0.44999999712806327,0.20000000040482444,-7.133511292778394e-08,-2.871936743975567e-09,4.0482442398293017e-10,True
active-a,wider-float32,6,0.00011446485022951015,0.4001138066253532,0.20000000068565785,0.00011446485022951015,0.00011380662535315222,6.856578360636689e-10,True
active-a,wider-float32,7,6.000000091964023,0.5000000039957648,0.19999999793468484,9.196402306343998e-08,3.995764830122539e-09,-2.065315168886528e-09,True
