serial_id,weakest,second,third
1,7.2611222428534245e-11,-4.5741949675635087e-07,-3.0416416306339477e-06
2,-1.3780574673071754e-06,0.15316133514851982,0.98820119681409657
3,-9.8138067605960527e-12,-1.7164679497680724e-06,-1.7249777031755056e-06
4,-1.0052923602926875e-10,2.703026272884602e-06,8.300119933149244e-07
5,9.4710288516410071e-11,-2.762267444231167e-06,-1.8769656167655405e-06
6,-4.6979071566358628e-07,0.98820119681806262,-0.15316133516258798
7,-1.0053078714974449e-10,-2.8367767136789916e-08,1.4236400619411124e-06
8,9.4712051352237768e-11,-5.0013708557343394e-07,-2.3686681298133661e-06
9,-6.7416794714572615e-12,7.6419408550678284e-07,7.1604718042603655e-07
10,0.9999999999989404,6.7531287012114764e-07,1.2898442661048815e-06
11,-2.0843589863432788e-10,1.1096233683092881e-06,3.5459086805312731e-07
12,1.4157422234853302e-10,-1.5033636009962113e-06,1.5081585233245827e-07
