dataset,case,serial_id,A,B,C,A_error,B_error,C_error,truth_comparison_identifiable
baseline,first-stage-double,1,5.999999999999998,0.49999999999999994,0.200000000000001,-1.7763568394002505e-15,-5.551115123125783e-17,9.992007221626409e-16,True
baseline,first-stage-double,2,6.999999999999998,0.45,-0.20000000000000046,-1.7763568394002505e-15,0.0,-4.440892098500626e-16,True
baseline,first-stage-double,3,7.999999999999998,0.4,0.2,-1.7763568394002505e-15,0.0,0.0,True
baseline,first-stage-double,4,5.999999999999998,0.5,-0.2,-1.7763568394002505e-15,0.0,0.0,True
baseline,first-stage-double,5,7.000000000000001,0.45,0.1999999999999998,8.881784197001252e-16,0.0,-2.220446049250313e-16,True
baseline,first-stage-double,6,8.000000000000002,0.4000000000000001,-0.20000000000000004,1.7763568394002505e-15,5.551115123125783e-17,-2.7755575615628914e-17,True
baseline,first-stage-double,7,6.000000000000003,0.5,0.2000000000000002,2.6645352591003757e-15,0.0,1.942890293094024e-16,True
baseline,first-stage-double,8,7.000000000000003,0.45,-0.20000000000000037,2.6645352591003757e-15,0.0,-3.608224830031759e-16,True
baseline,first-stage-double,9,8.000000000000002,0.4,0.1999999999999999,1.7763568394002505e-15,0.0,-1.1102230246251565e-16,True
baseline,first-stage-double,10,5.999999999999997,0.5,-0.19999999999999998,-2.6645352591003757e-15,0.0,2.7755575615628914e-17,True
baseline,first-stage-double,11,6.999999999999999,0.45,0.2000000000000003,-8.881784197001252e-16,0.0,2.7755575615628914e-16,True
baseline,first-stage-double,12,7.999999999999998,0.4,-0.20000000000000007,-1.7763568394002505e-15,0.0,-5.551115123125783e-17,True
baseline,narrower-double,1,6.000000000000003,0.49999999999999994,0.20000000000000032,2.6645352591003757e-15,-5.551115123125783e-17,3.0531133177191805e-16,True
baseline,narrower-double,2,7.0000000000000036,0.4500000000000001,-0.20000000000000084,3.552713678800501e-15,1.1102230246251565e-16,-8.326672684688674e-16,True
baseline,narrower-double,3,7.999999999999999,0.4,0.20000000000000015,-8.881784197001252e-16,0.0,1.3877787807814457e-16,True
baseline,narrower-double,4,5.999999999999997,0.5,-0.2,-2.6645352591003757e-15,0.0,0.0,True
baseline,narrower-double,5,6.999999999999999,0.45,0.20000000000000023,-8.881784197001252e-16,0.0,2.220446049250313e-16,True
baseline,narrower-double,6,7.999999999999999,0.4,-0.20000000000000012,-8.881784197001252e-16,0.0,-1.1102230246251565e-16,True
baseline,narrower-double,7,6.000000000000003,0.5,0.20000000000000015,2.6645352591003757e-15,0.0,1.3877787807814457e-16,True
baseline,narrower-double,8,7.0,0.45,-0.20000000000000026,0.0,0.0,-2.498001805406602e-16,True
baseline,narrower-double,9,8.000000000000002,0.4,0.20000000000000007,1.7763568394002505e-15,0.0,5.551115123125783e-17,True
baseline,narrower-double,10,5.999999999999997,0.5,-0.19999999999999987,-2.6645352591003757e-15,0.0,1.3877787807814457e-16,True
baseline,narrower-double,11,7.0000000000000036,0.45000000000000007,0.19999999999999982,3.552713678800501e-15,5.551115123125783e-17,-1.942890293094024e-16,True
baseline,narrower-double,12,7.999999999999999,0.4,-0.20000000000000007,-8.881784197001252e-16,0.0,-5.551115123125783e-17,True
baseline,wider-double,1,6.000000000000004,0.49999999999999994,0.20000000000000032,4.440892098500626e-15,-5.551115123125783e-17,3.0531133177191805e-16,True
baseline,wider-double,2,6.999999999999999,0.45,-0.20000000000000048,-8.881784197001252e-16,0.0,-4.718447854656915e-16,True
baseline,wider-double,3,7.999999999999998,0.4,0.20000000000000018,-1.7763568394002505e-15,0.0,1.6653345369377348e-16,True
baseline,wider-double,4,5.9999999999999964,0.49999999999999994,-0.19999999999999984,-3.552713678800501e-15,-5.551115123125783e-17,1.6653345369377348e-16,True
baseline,wider-double,5,7.000000000000003,0.45,0.19999999999999987,2.6645352591003757e-15,0.0,-1.3877787807814457e-16,True
baseline,wider-double,6,7.999999999999997,0.4,-0.20000000000000007,-2.6645352591003757e-15,0.0,-5.551115123125783e-17,True
baseline,wider-double,7,6.000000000000002,0.49999999999999994,0.20000000000000007,1.7763568394002505e-15,-5.551115123125783e-17,5.551115123125783e-17,True
baseline,wider-double,8,6.999999999999999,0.45,-0.2000000000000003,-8.881784197001252e-16,0.0,-2.7755575615628914e-16,True
baseline,wider-double,9,8.000000000000002,0.4,0.20000000000000012,1.7763568394002505e-15,0.0,1.1102230246251565e-16,True
baseline,wider-double,10,5.999999999999999,0.5,-0.19999999999999984,-8.881784197001252e-16,0.0,1.6653345369377348e-16,True
baseline,wider-double,11,7.000000000000001,0.45,0.1999999999999998,8.881784197001252e-16,0.0,-2.220446049250313e-16,True
baseline,wider-double,12,7.999999999999998,0.4,-0.20000000000000004,-1.7763568394002505e-15,0.0,-2.7755575615628914e-17,True
baseline,mixed-double,1,5.999999999999997,0.4999999999999999,0.20000000000000107,-2.6645352591003757e-15,-1.1102230246251565e-16,1.0547118733938987e-15,True
baseline,mixed-double,2,7.000000000000003,0.45000000000000007,-0.20000000000000037,2.6645352591003757e-15,5.551115123125783e-17,-3.608224830031759e-16,True
baseline,mixed-double,3,7.9999999999999964,0.4,0.2000000000000003,-3.552713678800501e-15,0.0,2.7755575615628914e-16,True
baseline,mixed-double,4,5.999999999999997,0.5,-0.2,-2.6645352591003757e-15,0.0,0.0,True
baseline,mixed-double,5,7.000000000000001,0.45,0.1999999999999997,8.881784197001252e-16,0.0,-3.0531133177191805e-16,True
baseline,mixed-double,6,8.0,0.4,-0.19999999999999996,0.0,0.0,5.551115123125783e-17,True
baseline,mixed-double,7,6.000000000000001,0.5,0.2,8.881784197001252e-16,0.0,0.0,True
baseline,mixed-double,8,7.0,0.45,-0.20000000000000034,0.0,0.0,-3.3306690738754696e-16,True
baseline,mixed-double,9,8.000000000000004,0.4,0.19999999999999984,3.552713678800501e-15,0.0,-1.6653345369377348e-16,True
baseline,mixed-double,10,6.0,0.5,-0.19999999999999996,0.0,0.0,5.551115123125783e-17,True
baseline,mixed-double,11,7.000000000000001,0.45,0.20000000000000015,8.881784197001252e-16,0.0,1.3877787807814457e-16,True
baseline,mixed-double,12,7.999999999999998,0.4,-0.20000000000000015,-1.7763568394002505e-15,0.0,-1.3877787807814457e-16,True
baseline,first-stage-float32,1,5.999999971928583,0.5000000000975406,0.2000000013122287,-2.8071417190744796e-08,9.754064222988745e-11,1.3122286868227917e-09,True
baseline,first-stage-float32,2,6.999999963782185,0.45000000043215244,-0.20000000148275274,-3.6217815413408516e-08,4.321524249562003e-10,-1.4827527261562778e-09,True
baseline,first-stage-float32,3,8.00000006844225,0.40000000109714606,0.1999999986914839,6.844224920143915e-08,1.0971460406850042e-09,-1.3085161010284452e-09,True
baseline,first-stage-float32,4,5.999999973818582,0.4999999994937954,-0.1999999991672894,-2.6181417922543915e-08,-5.062045782544544e-10,8.32710622677979e-10,True
baseline,first-stage-float32,5,7.000000068473439,0.45000000200345747,0.19999999800494062,6.847343936300376e-08,2.003457455490576e-09,-1.995059395465404e-09,True
baseline,first-stage-float32,6,8.000000008753778,0.3999999992079045,-0.19999999935932172,8.753778146797231e-09,-7.920955003015706e-10,6.406782881995809e-10,True
baseline,first-stage-float32,7,5.999999971928581,0.5000000000975405,0.20000000131222906,-2.8071418967101636e-08,9.754053120758499e-11,1.3122290476452747e-09,True
baseline,first-stage-float32,8,6.999999963782187,0.4500000004321524,-0.20000000148275374,-3.621781274887326e-08,4.321523694450491e-10,-1.482753725357e-09,True
baseline,first-stage-float32,9,8.000000068442247,0.400000001097146,0.19999999869148355,6.844224742508231e-08,1.097145985173853e-09,-1.3085164618509282e-09,True
baseline,first-stage-float32,10,5.999999973818579,0.4999999994937953,-0.19999999916728936,-2.6181420587079174e-08,-5.062046892767569e-10,8.327106504335546e-10,True
baseline,first-stage-float32,11,7.00000006847344,0.45000000200345747,0.19999999800494073,6.847344025118218e-08,2.003457455490576e-09,-1.9950592844431014e-09,True
baseline,first-stage-float32,12,8.000000008753787,0.3999999992079045,-0.1999999993593219,8.753787028581428e-09,-7.920955003015706e-10,6.406781216661273e-10,True
baseline,narrower-float32,1,5.99999997192858,0.5000000000975408,0.20000000131222878,-2.8071419855280055e-08,9.754075325218992e-11,1.3122287700895185e-09,True
baseline,narrower-float32,2,6.9999999637821855,0.4500000004321524,-0.2000000014827521,-3.6217814525230096e-08,4.321523694450491e-10,-1.4827520877780387e-09,True
baseline,narrower-float32,3,8.000000068442253,0.40000000109714606,0.19999999869148358,6.844225275415283e-08,1.0971460406850042e-09,-1.3085164340953526e-09,True
baseline,narrower-float32,4,5.999999973818581,0.4999999994937954,-0.19999999916728947,-2.6181418810722334e-08,-5.062045782544544e-10,8.327105394112522e-10,True
baseline,narrower-float32,5,7.00000006847344,0.45000000200345747,0.19999999800494056,6.847344025118218e-08,2.003457455490576e-09,-1.995059450976555e-09,True
baseline,narrower-float32,6,8.000000008753782,0.3999999992079045,-0.1999999993593217,8.75378169951091e-09,-7.920955003015706e-10,6.406783159551566e-10,True
baseline,narrower-float32,7,5.999999971928577,0.5000000000975405,0.20000000131222917,-2.8071423407993734e-08,9.754053120758499e-11,1.3122291586675772e-09,True
baseline,narrower-float32,8,6.9999999637821855,0.4500000004321523,-0.20000000148275382,-3.6217814525230096e-08,4.3215231393389786e-10,-1.4827538086237269e-09,True
baseline,narrower-float32,9,8.000000068442246,0.40000000109714595,0.19999999869148372,6.844224564872547e-08,1.0971459296627017e-09,-1.3085162953174745e-09,True
baseline,narrower-float32,10,5.999999973818584,0.4999999994937953,-0.19999999916728947,-2.6181416146187075e-08,-5.062046892767569e-10,8.327105394112522e-10,True
baseline,narrower-float32,11,7.00000006847344,0.45000000200345747,0.19999999800494067,6.847344025118218e-08,2.003457455490576e-09,-1.9950593399542527e-09,True
baseline,narrower-float32,12,8.00000000875379,0.3999999992079045,-0.19999999935932194,8.753790581295107e-09,-7.920955003015706e-10,6.40678066154976e-10,True
baseline,wider-float32,1,5.999999971928583,0.5000000000975406,0.2000000013122284,-2.8071417190744796e-08,9.754064222988745e-11,1.31222838151146e-09,True
baseline,wider-float32,2,6.999999963782183,0.4500000004321524,-0.20000000148275238,-3.6217817189765356e-08,4.321523694450491e-10,-1.4827523653337948e-09,True
baseline,wider-float32,3,8.000000068442255,0.400000001097146,0.19999999869148383,6.844225453050967e-08,1.097145985173853e-09,-1.308516184295172e-09,True
baseline,wider-float32,4,5.9999999738185785,0.4999999994937954,-0.19999999916728903,-2.6181421475257594e-08,-5.062045782544544e-10,8.32710983500462e-10,True
baseline,wider-float32,5,7.0000000684734385,0.45000000200345747,0.19999999800494084,6.847343847482534e-08,2.003457455490576e-09,-1.995059173420799e-09,True
baseline,wider-float32,6,8.000000008753778,0.3999999992079045,-0.19999999935932164,8.753778146797231e-09,-7.920955003015706e-10,6.406783714663078e-10,True
baseline,wider-float32,7,5.9999999719285775,0.5000000000975406,0.20000000131222886,-2.8071422519815314e-08,9.754064222988745e-11,1.3122288533562454e-09,True
baseline,wider-float32,8,6.999999963782189,0.4500000004321524,-0.20000000148275346,-3.621781097251642e-08,4.321523694450491e-10,-1.4827534478012439e-09,True
