left,right,scaled_abc_difference,maximum_log_b_difference,both_qualified,passed
first-stage-double,narrower-double,6.661338147750936e-16,3.3306690738754696e-16,True,True
first-stage-double,wider-double,8.881784197001246e-16,1.1102230246251565e-16,True,True
first-stage-double,mixed-double,5.551115123125781e-16,1.1102230246251565e-16,True,True
narrower-double,wider-double,5.551115123125781e-16,3.3306690738754696e-16,True,True
narrower-double,mixed-double,7.612957883143927e-16,2.220446049250313e-16,True,True
wider-double,mixed-double,1.0150610510858568e-15,1.1102230246251565e-16,True,True
first-stage-float32,narrower-float32,6.344131594727862e-16,2.220446049250313e-16,True,True
first-stage-float32,wider-float32,5.921189419638662e-16,2.220446049250313e-16,True,True
first-stage-float32,mixed-float32,6.245004505800007e-16,2.220446049250313e-16,True,True
narrower-float32,wider-float32,5.075305274411955e-16,2.220446049250313e-16,True,True
narrower-float32,mixed-float32,7.612957913673434e-16,2.220446049250313e-16,True,True
wider-float32,mixed-float32,6.344131594727861e-16,2.220446049250313e-16,True,True
