dataset,case,serial_id,A,B,C,A_error,B_error,C_error,truth_comparison_identifiable
duplicate,mixed-double,1,12.000000000000066,0.5000000000000002,-5.3630163730850236e-14,6.000000000000066,2.220446049250313e-16,-0.20000000000005363,False
duplicate,mixed-double,2,6.999999999999999,0.45,-0.19999999999999954,-8.881784197001252e-16,0.0,4.718447854656915e-16,False
duplicate,mixed-double,3,7.999999999999999,0.4,0.19999999999999973,-8.881784197001252e-16,0.0,-2.7755575615628914e-16,False
duplicate,mixed-double,4,5.215393206855368e-14,0.7942730416689763,5.408482543766529e-14,-5.999999999999948,0.2942730416689763,0.2000000000000541,False
duplicate,mixed-double,5,6.999999999999996,0.45,0.19999999999999954,-4.440892098500626e-15,0.0,-4.718447854656915e-16,False
duplicate,mixed-double,6,8.000000000000004,0.4,-0.1999999999999996,3.552713678800501e-15,0.0,4.163336342344337e-16,False
duplicate,mixed-double,7,5.9999999999999964,0.5,0.2000000000000003,-3.552713678800501e-15,0.0,2.7755575615628914e-16,False
duplicate,mixed-double,8,7.000000000000003,0.45,-0.19999999999999973,2.6645352591003757e-15,0.0,2.7755575615628914e-16,False
duplicate,mixed-double,9,8.000000000000002,0.4,0.19999999999999962,1.7763568394002505e-15,0.0,-3.885780586188048e-16,False
duplicate,mixed-double,10,6.000000000000003,0.5,-0.19999999999999984,2.6645352591003757e-15,0.0,1.6653345369377348e-16,False
duplicate,mixed-double,11,6.999999999999999,0.45,0.2000000000000002,-8.881784197001252e-16,0.0,1.942890293094024e-16,False
duplicate,mixed-double,12,8.000000000000005,0.4000000000000001,-0.20000000000000023,5.329070518200751e-15,5.551115123125783e-17,-2.220446049250313e-16,False
duplicate,mixed-float32,1,12.000000080594067,0.500000001794878,-1.5754201454246784e-08,6.0000000805940665,1.7948780239862572e-09,-0.20000001575420145,False
duplicate,mixed-float32,2,6.999999982801887,0.4500000001597136,-0.19999999875589566,-1.71981131558141e-08,1.5971357569810607e-10,1.2441043473199187e-09,False
duplicate,mixed-float32,3,8.000000053055269,0.39999999910410866,0.1999999993358329,5.3055268622870244e-08,-8.958913610968011e-10,-6.641671101981217e-10,False
duplicate,mixed-float32,4,0.0,295.3833406716009,2.8521151820990702e-06,-6.0,294.8833406716009,0.20000285211518212,False
duplicate,mixed-float32,5,6.999999991528438,0.44999999998599594,0.19999999934300428,-8.471562118472775e-09,-1.4004075676865568e-11,-6.56995735592858e-10,False
duplicate,mixed-float32,6,7.999999950283296,0.39999999853560086,-0.19999999911246477,-4.971670364284364e-08,-1.464399157491414e-09,8.875352397463843e-10,False
duplicate,mixed-float32,7,5.999999965665902,0.49999999682931506,0.20000000008728916,-3.4334098231170174e-08,-3.1706849368262624e-09,8.728914813183053e-11,False
duplicate,mixed-float32,8,6.999999902679819,0.4499999968199235,-0.1999999996939224,-9.732018124708475e-08,-3.1800765354361715e-09,3.0607760770351433e-10,False
duplicate,mixed-float32,9,8.000000091013106,0.40000000066589136,0.1999999993270449,9.10131063847075e-08,6.658913420665158e-10,-6.729551083051177e-10,False
duplicate,mixed-float32,10,6.000000002927451,0.5000000020057811,-0.19999999964569176,2.9274511703647477e-09,2.005781096769965e-09,3.5430824940618777e-10,False
duplicate,mixed-float32,11,7.0000000366776085,0.4500000002683521,0.20000000091611522,3.66776085058973e-08,2.683520627932978e-10,9.161152114689486e-10,False
duplicate,mixed-float32,12,7.999999992823366,0.39999999920037943,-0.1999999992665282,-7.1766343978652e-09,-7.996205919624799e-10,7.334718110652005e-10,False
