dataset,case,serial_id,A,B,C,A_error,B_error,C_error,truth_comparison_identifiable
near-0.02,first-stage-double,1,5.999999999999986,0.5000000000000001,0.20000000000000048,-1.4210854715202004e-14,1.1102230246251565e-16,4.718447854656915e-16,True
near-0.02,first-stage-double,2,6.999999999999999,0.45,-0.20000000000000023,-8.881784197001252e-16,0.0,-2.220446049250313e-16,True
near-0.02,first-stage-double,3,8.000000000000002,0.4,0.19999999999999982,1.7763568394002505e-15,0.0,-1.942890293094024e-16,True
near-0.02,first-stage-double,4,6.000000000000012,0.49999999999999983,-0.19999999999999996,1.2434497875801753e-14,-1.6653345369377348e-16,5.551115123125783e-17,True
near-0.02,first-stage-double,5,6.999999999999999,0.45,0.20000000000000004,-8.881784197001252e-16,0.0,2.7755575615628914e-17,True
near-0.02,first-stage-double,6,8.0,0.4,-0.19999999999999982,0.0,0.0,1.942890293094024e-16,True
near-0.02,first-stage-double,7,5.999999999999994,0.49999999999999994,0.20000000000000018,-6.217248937900877e-15,-5.551115123125783e-17,1.6653345369377348e-16,True
near-0.02,first-stage-double,8,6.999999999999999,0.45,-0.1999999999999999,-8.881784197001252e-16,0.0,1.1102230246251565e-16,True
near-0.02,first-stage-double,9,8.000000000000007,0.4,0.19999999999999984,7.105427357601002e-15,0.0,-1.6653345369377348e-16,True
near-0.02,first-stage-double,10,5.999999999999999,0.5,-0.2,-8.881784197001252e-16,0.0,0.0,True
near-0.02,first-stage-double,11,6.999999999999996,0.44999999999999996,0.20000000000000015,-4.440892098500626e-15,-5.551115123125783e-17,1.3877787807814457e-16,True
near-0.02,first-stage-double,12,7.999999999999998,0.4,-0.19999999999999993,-1.7763568394002505e-15,0.0,8.326672684688674e-17,True
near-0.02,narrower-double,1,3.84766482238277e+18,5852.090280821143,-8940571634.292475,3.84766482238277e+18,5851.590280821143,-8940571634.492476,True
near-0.02,narrower-double,2,6.8648057380191565,0.4472047970123876,-0.19894589951747305,-0.1351942619808435,-0.002795202987612433,0.001054100482526965,True
near-0.02,narrower-double,3,8.052622318586646,0.40093443600918766,0.19729568706091136,0.052622318586646344,0.0009344360091876336,-0.0027043129390886544,True
near-0.02,narrower-double,4,12.372577656196624,0.5010643240533127,-0.15693895709997147,6.372577656196624,0.001064324053312693,0.043061042900028546,True
near-0.02,narrower-double,5,6.9871617778925845,0.449542910628045,0.2008213705992245,-0.012838222107415476,-0.00045708937195498844,0.0008213705992244913,True
near-0.02,narrower-double,6,8.006662243549918,0.4001365193163414,-0.20035346216697367,0.006662243549918401,0.00013651931634139913,-0.00035346216697365596,True
near-0.02,narrower-double,7,5.994987738728167,0.4999287369281602,0.2012680328336321,-0.005012261271833296,-7.126307183979996e-05,0.0012680328336320823,True
near-0.02,narrower-double,8,6.990214725085356,0.44958199468764537,-0.20002165375680642,-0.009785274914643871,-0.0004180053123546412,-2.165375680640569e-05,True
near-0.02,narrower-double,9,8.006463490721805,0.4001393105389838,0.19981198533366523,0.006463490721804632,0.00013931053898375012,-0.00018801466633477926,True
near-0.02,narrower-double,10,5.977250279785961,0.4996986221048017,-0.19880404070802415,-0.02274972021403876,-0.00030137789519829594,0.0011959592919758566,True
near-0.02,narrower-double,11,6.990828080453153,0.4496319407570182,0.19854763196058572,-0.00917191954684693,-0.000368059242981833,-0.0014523680394142868,True
near-0.02,narrower-double,12,7.997213519457793,0.39991510792890944,-0.19871524614753533,-0.0027864805422073147,-8.489207109058095e-05,0.0012847538524646818,True
near-0.02,wider-double,1,6.000000000000031,0.5000000000000004,0.20000000000000032,3.108624468950438e-14,4.440892098500626e-16,3.0531133177191805e-16,True
near-0.02,wider-double,2,6.9999999999999964,0.45000000000000007,-0.20000000000000043,-3.552713678800501e-15,5.551115123125783e-17,-4.163336342344337e-16,True
near-0.02,wider-double,3,8.000000000000002,0.4,0.19999999999999996,1.7763568394002505e-15,0.0,-5.551115123125783e-17,True
near-0.02,wider-double,4,5.999999999999969,0.49999999999999956,-0.19999999999999998,-3.108624468950438e-14,-4.440892098500626e-16,2.7755575615628914e-17,True
near-0.02,wider-double,5,6.999999999999998,0.45,0.20000000000000043,-1.7763568394002505e-15,0.0,4.163336342344337e-16,True
near-0.02,wider-double,6,7.999999999999997,0.4,-0.19999999999999987,-2.6645352591003757e-15,0.0,1.3877787807814457e-16,True
near-0.02,wider-double,7,5.9999999999999964,0.5,0.1999999999999999,-3.552713678800501e-15,0.0,-1.1102230246251565e-16,True
near-0.02,wider-double,8,6.999999999999997,0.45000000000000007,-0.19999999999999968,-2.6645352591003757e-15,5.551115123125783e-17,3.3306690738754696e-16,True
near-0.02,wider-double,9,8.000000000000005,0.4,0.19999999999999987,5.329070518200751e-15,0.0,-1.3877787807814457e-16,True
near-0.02,wider-double,10,5.999999999999999,0.5,-0.19999999999999984,-8.881784197001252e-16,0.0,1.6653345369377348e-16,True
near-0.02,wider-double,11,6.999999999999996,0.45,0.19999999999999987,-4.440892098500626e-15,0.0,-1.3877787807814457e-16,True
near-0.02,wider-double,12,7.999999999999999,0.4,-0.20000000000000007,-8.881784197001252e-16,0.0,-5.551115123125783e-17,True
near-0.02,mixed-double,1,5.999999999999997,0.5000000000000008,0.20000000000000032,-2.6645352591003757e-15,7.771561172376096e-16,3.0531133177191805e-16,True
near-0.02,mixed-double,2,6.999999999999997,0.45000000000000007,-0.2000000000000001,-2.6645352591003757e-15,5.551115123125783e-17,-8.326672684688674e-17,True
near-0.02,mixed-double,3,8.000000000000002,0.4,0.20000000000000023,1.7763568394002505e-15,0.0,2.220446049250313e-16,True
near-0.02,mixed-double,4,6.000000000000004,0.4999999999999993,-0.19999999999999993,4.440892098500626e-15,-7.216449660063518e-16,8.326672684688674e-17,True
