left,right,scaled_abc_difference,maximum_log_b_difference,both_qualified,passed
first-stage-double,narrower-double,1.525247433594703e-15,3.3306690738754696e-15,True,True
first-stage-double,wider-double,1.522591576628784e-15,2.220446049250313e-15,True,True
first-stage-double,mixed-double,8.689829748818385e-16,1.3322676295501878e-15,True,True
narrower-double,wider-double,1.1419436824715879e-15,2.55351295663786e-15,True,True
narrower-double,mixed-double,1.5187013072702622e-15,2.4424906541753444e-15,True,True
wider-double,mixed-double,1.1455721067771374e-15,8.881784197001252e-16,True,True
first-stage-float32,narrower-float32,4.514907344247062e-15,1.354472090042691e-14,True,True
first-stage-float32,wider-float32,4.662937093238768e-15,1.3988810110276972e-14,True,True
first-stage-float32,mixed-float32,3.959795785528163e-15,1.1879386363489175e-14,True,True
narrower-float32,wider-float32,1.6471767116301232e-15,2.4424906541753444e-15,True,True
narrower-float32,mixed-float32,3.4889018537677413e-15,6.217248937900877e-15,True,True
wider-float32,mixed-float32,1.841725142137621e-15,3.774758283725532e-15,True,True
