dataset,case,serial_id,A,B,C,A_error,B_error,C_error,truth_comparison_identifiable
weak-1e-4,first-stage-double,1,6.000000000000003,0.49999999999999994,0.20000000000000054,2.6645352591003757e-15,-5.551115123125783e-17,5.273559366969494e-16,True
weak-1e-4,first-stage-double,2,0.000700000000001146,0.44999999999998064,-2.000000000051907e-05,1.1460016963171782e-15,-1.9373391779708982e-14,-5.190685663410133e-16,True
weak-1e-4,first-stage-double,3,8.000000000000002,0.4,0.1999999999999999,1.7763568394002505e-15,0.0,-1.1102230246251565e-16,True
weak-1e-4,first-stage-double,4,6.000000000000002,0.5000000000000001,-0.19999999999999998,1.7763568394002505e-15,1.1102230246251565e-16,2.7755575615628914e-17,True
weak-1e-4,first-stage-double,5,7.0,0.45,0.19999999999999987,0.0,0.0,-1.3877787807814457e-16,True
weak-1e-4,first-stage-double,6,0.0007999999999995546,0.39999999999992886,-1.9999999999992226e-05,-4.453902524570452e-16,-7.116529587847253e-14,7.775762455794477e-18,True
weak-1e-4,first-stage-double,7,6.000000000000004,0.5,0.1999999999999997,4.440892098500626e-15,0.0,-3.0531133177191805e-16,True
weak-1e-4,first-stage-double,8,6.999999999999999,0.45,-0.19999999999999976,-8.881784197001252e-16,0.0,2.498001805406602e-16,True
weak-1e-4,first-stage-double,9,8.000000000000002,0.4,0.2,1.7763568394002505e-15,0.0,0.0,True
weak-1e-4,first-stage-double,10,0.0005999999999993516,0.5000000000001672,-2.000000000013656e-05,-6.484613193635802e-16,1.6719958750854857e-13,-1.365586517563383e-16,True
weak-1e-4,first-stage-double,11,7.000000000000001,0.45,0.19999999999999993,8.881784197001252e-16,0.0,-8.326672684688674e-17,True
weak-1e-4,first-stage-double,12,8.000000000000004,0.4,-0.20000000000000007,3.552713678800501e-15,0.0,-5.551115123125783e-17,True
weak-1e-4,narrower-double,1,6.0,0.5,0.20000000000000068,0.0,0.0,6.661338147750939e-16,True
