dataset,case,serial_id,A,B,C,A_error,B_error,C_error,truth_comparison_identifiable
zero-signal,first-stage-double,1,6.000000000000008,0.49999999999999994,0.20000000000000073,7.993605777301127e-15,-5.551115123125783e-17,7.216449660063518e-16,False
zero-signal,first-stage-double,2,6.999999999999999,0.45,-0.20000000000000034,-8.881784197001252e-16,0.0,-3.3306690738754696e-16,False
zero-signal,first-stage-double,3,8.000000000000002,0.4,0.20000000000000004,1.7763568394002505e-15,0.0,2.7755575615628914e-17,False
zero-signal,first-stage-double,4,5.999999999999995,0.4999999999999999,-0.20000000000000015,-5.329070518200751e-15,-1.1102230246251565e-16,-1.3877787807814457e-16,False
zero-signal,first-stage-double,5,7.000000000000003,0.45,0.19999999999999998,2.6645352591003757e-15,0.0,-2.7755575615628914e-17,False
zero-signal,first-stage-double,6,1.1355725601610461e-15,0.5971538395099153,-1.4743775539598283e-17,1.1355725601610461e-15,0.19715383950991527,-1.4743775539598283e-17,False
zero-signal,first-stage-double,7,6.000000000000004,0.5,0.19999999999999962,4.440892098500626e-15,0.0,-3.885780586188048e-16,False
zero-signal,first-stage-double,8,6.999999999999998,0.45,-0.2000000000000002,-1.7763568394002505e-15,0.0,-1.942890293094024e-16,False
zero-signal,first-stage-double,9,8.000000000000002,0.4,0.19999999999999993,1.7763568394002505e-15,0.0,-8.326672684688674e-17,False
zero-signal,first-stage-double,10,5.999999999999999,0.49999999999999994,-0.1999999999999998,-8.881784197001252e-16,-5.551115123125783e-17,2.220446049250313e-16,False
zero-signal,first-stage-double,11,7.0,0.45,0.20000000000000007,0.0,0.0,5.551115123125783e-17,False
zero-signal,first-stage-double,12,8.000000000000002,0.4,-0.20000000000000004,1.7763568394002505e-15,0.0,-2.7755575615628914e-17,False
zero-signal,narrower-double,1,6.000000000000002,0.49999999999999994,0.20000000000000062,1.7763568394002505e-15,-5.551115123125783e-17,6.106226635438361e-16,False
zero-signal,narrower-double,2,7.0000000000000036,0.45000000000000007,-0.19999999999999982,3.552713678800501e-15,5.551115123125783e-17,1.942890293094024e-16,False
zero-signal,narrower-double,3,8.0,0.4000000000000001,0.20000000000000004,0.0,5.551115123125783e-17,2.7755575615628914e-17,False
zero-signal,narrower-double,4,5.999999999999997,0.5,-0.20000000000000023,-2.6645352591003757e-15,0.0,-2.220446049250313e-16,False
zero-signal,narrower-double,5,7.0,0.45000000000000007,0.20000000000000026,0.0,5.551115123125783e-17,2.498001805406602e-16,False
zero-signal,narrower-double,6,6.0399789369516476e-15,0.9418783329180312,-2.10928454185614e-16,6.0399789369516476e-15,0.5418783329180312,-2.10928454185614e-16,False
zero-signal,narrower-double,7,6.0,0.49999999999999994,0.1999999999999999,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,False
zero-signal,narrower-double,8,6.999999999999993,0.45,-0.1999999999999998,-7.105427357601002e-15,0.0,2.220446049250313e-16,False
zero-signal,narrower-double,9,8.000000000000002,0.4,0.19999999999999996,1.7763568394002505e-15,0.0,-5.551115123125783e-17,False
zero-signal,narrower-double,10,6.0,0.5,-0.1999999999999999,0.0,0.0,1.1102230246251565e-16,False
zero-signal,narrower-double,11,7.0,0.45,0.19999999999999987,0.0,0.0,-1.3877787807814457e-16,False
zero-signal,narrower-double,12,7.999999999999997,0.4,-0.19999999999999996,-2.6645352591003757e-15,0.0,5.551115123125783e-17,False
