left,right,scaled_abc_difference,maximum_log_b_difference,both_qualified,passed
first-stage-double,narrower-double,0.17752115957239384,0.45570134015545494,False,False
first-stage-double,wider-double,0.058548809455165246,0.15386541380144003,False,False
first-stage-double,mixed-double,0.26215660076304204,0.6679791592231599,False,False
narrower-double,wider-double,0.12637123550545104,0.3018359263540149,False,False
narrower-double,mixed-double,0.10290287972228722,0.21227781906770488,False,False
wider-double,mixed-double,0.21627015118016402,0.5141137454217197,False,False
first-stage-float32,narrower-float32,0.0002587511686738746,0.0006720090109053611,False,False
first-stage-float32,wider-float32,0.00034453171714344014,0.0008948914879566838,False,False
first-stage-float32,mixed-float32,0.0002452541863246029,0.0006369445008253538,False,False
narrower-float32,wider-float32,8.580275003141159e-05,0.0002228824770513227,False,False
narrower-float32,mixed-float32,1.3500293352733043e-05,3.506451008000733e-05,False,False
wider-float32,mixed-float32,9.930188502184874e-05,0.00025794698713133,False,False
