case,control,control_sha256,joint_rss,fixed_rss,scaled_abc_difference
checkpoint-double,true-b-double,4e2b1e0a32c2d2093dae2f96c66fb8576ff90218205457aa6187ce7c44375c93,1.302906387676973e-24,1.2348223778586546e-24,1.4845267872130404e-14
checkpoint-double,checkpoint-b-double,482fe92753c8b3b9778fb69227ff6d25864a73b666e0e7de456dff7c49814407,1.302906387676973e-24,0.022794232278463427,0.00617418056175765
narrower-double,true-b-double,4e2b1e0a32c2d2093dae2f96c66fb8576ff90218205457aa6187ce7c44375c93,1.2018464404535508e-24,1.2348223778586546e-24,3.697623058405877e-15
narrower-double,checkpoint-b-double,482fe92753c8b3b9778fb69227ff6d25864a73b666e0e7de456dff7c49814407,1.2018464404535508e-24,0.022794232278463427,0.006174180561755507
wider-double,true-b-double,4e2b1e0a32c2d2093dae2f96c66fb8576ff90218205457aa6187ce7c44375c93,5.948524744266266e-25,1.2348223778586546e-24,1.687538997430211e-14
wider-double,checkpoint-b-double,482fe92753c8b3b9778fb69227ff6d25864a73b666e0e7de456dff7c49814407,5.948524744266266e-25,0.022794232278463427,0.006174180561754246
mixed-double,true-b-double,4e2b1e0a32c2d2093dae2f96c66fb8576ff90218205457aa6187ce7c44375c93,9.970663461744279e-25,1.2348223778586546e-24,1.700227260568784e-14
mixed-double,checkpoint-b-double,482fe92753c8b3b9778fb69227ff6d25864a73b666e0e7de456dff7c49814407,9.970663461744279e-25,0.022794232278463427,0.006174180561757272
checkpoint-float32,true-b-float32,59c0c175eb556c451324333e77744497aa5914e3843821808be7439a8b6b1a53,3.201630231653111e-11,3.231142432583817e-11,1.442215997144959e-08
checkpoint-float32,checkpoint-b-float32,e15dc3ed6317681c9d7cb3a7100399fd7a5351b98af1bdcd169e9bf706ebfb34,3.201630231653111e-11,0.022794228971034093,0.006174171974907703
narrower-float32,true-b-float32,59c0c175eb556c451324333e77744497aa5914e3843821808be7439a8b6b1a53,3.201630232108957e-11,3.231142432583817e-11,1.4422163016632672e-08
narrower-float32,checkpoint-b-float32,e15dc3ed6317681c9d7cb3a7100399fd7a5351b98af1bdcd169e9bf706ebfb34,3.201630232108957e-11,0.022794228971034093,0.006174171974665719
wider-float32,true-b-float32,59c0c175eb556c451324333e77744497aa5914e3843821808be7439a8b6b1a53,3.201630231419619e-11,3.231142432583817e-11,1.442215743379702e-08
wider-float32,checkpoint-b-float32,e15dc3ed6317681c9d7cb3a7100399fd7a5351b98af1bdcd169e9bf706ebfb34,3.201630231419619e-11,0.022794228971034093,0.006174171974667484
mixed-float32,true-b-float32,59c0c175eb556c451324333e77744497aa5914e3843821808be7439a8b6b1a53,3.2016302320081765e-11,3.231142432583817e-11,1.442216149404113e-08
mixed-float32,checkpoint-b-float32,e15dc3ed6317681c9d7cb3a7100399fd7a5351b98af1bdcd169e9bf706ebfb34,3.2016302320081765e-11,0.022794228971034093,0.00617417197465954
