left,right,scaled_abc_difference,maximum_log_b_difference,passed
checkpoint-double,narrower-double,1.4718385240744672e-14,1.1102230246251565e-16,True
checkpoint-double,wider-double,1.717144944753548e-14,4.440892098500626e-16,True
checkpoint-double,mixed-double,1.79609413761578e-14,3.3306690738754696e-16,True
narrower-double,wider-double,1.6494742080144925e-14,4.440892098500626e-16,True
narrower-double,mixed-double,1.6621624711530657e-14,2.220446049250313e-16,True
wider-double,mixed-double,1.2927930331190555e-14,4.440892098500626e-16,True
checkpoint-float32,narrower-float32,2.4348776871698016e-13,1.3300471835009375e-13,True
checkpoint-float32,wider-float32,2.417114118842355e-13,1.3300471835009375e-13,True
checkpoint-float32,mixed-float32,2.4970501763158623e-13,1.3300471835009375e-13,True
narrower-float32,wider-float32,1.7541523750729594e-14,2.220446049250313e-16,True
narrower-float32,mixed-float32,1.5733446300570685e-14,2.220446049250313e-16,True
wider-float32,mixed-float32,1.6114094194939333e-14,2.220446049250313e-16,True
