dataset,case,scope,regular,search_completed,usable_state,failures,unavailable,derivative_status
active-a,first-stage-double,monolithic,False,True,True,local_correction;derivative,,transition-unverified
active-a,first-stage-double,assembled,False,True,True,local_correction;derivative,,transition-unverified
active-a,first-stage-double,component:1,False,True,True,local_correction;derivative,,transition-unverified
active-a,narrower-double,monolithic,False,True,True,local_correction;derivative,,transition-unverified
active-a,narrower-double,assembled,False,True,True,local_correction;derivative,,transition-unverified
active-a,narrower-double,component:1,False,True,True,local_correction;derivative,,transition-unverified
active-a,wider-double,monolithic,False,True,True,local_correction;derivative,,transition-unverified
active-a,wider-double,assembled,False,True,True,local_correction;derivative,,transition-unverified
active-a,wider-double,component:1,False,True,True,local_correction;derivative,,transition-unverified
active-a,mixed-double,monolithic,False,True,True,local_correction;derivative,,transition-unverified
active-a,mixed-double,assembled,False,True,True,local_correction;derivative,,transition-unverified
active-a,mixed-double,component:1,False,True,True,local_correction;derivative,,transition-unverified
active-a,first-stage-float32,monolithic,False,True,True,local_correction;derivative,,transition-unverified
active-a,first-stage-float32,assembled,False,True,True,local_correction;derivative,,transition-unverified
active-a,first-stage-float32,component:1,False,True,True,local_correction;derivative,,transition-unverified
active-a,narrower-float32,monolithic,False,True,True,derivative;regular_active_face,,transition-unverified
active-a,narrower-float32,assembled,False,True,True,derivative;regular_active_face,,transition-unverified
active-a,narrower-float32,component:1,False,True,True,derivative;regular_active_face,,transition-unverified
active-a,wider-float32,monolithic,False,True,True,local_correction;derivative,,transition-unverified
active-a,wider-float32,assembled,False,True,True,local_correction;derivative,,transition-unverified
active-a,wider-float32,component:1,False,True,True,local_correction;derivative,,transition-unverified
active-a,mixed-float32,monolithic,False,True,True,local_correction;derivative,,transition-unverified
active-a,mixed-float32,assembled,False,True,True,local_correction;derivative,,transition-unverified
active-a,mixed-float32,component:1,False,True,True,local_correction;derivative,,transition-unverified
baseline,first-stage-double,monolithic,True,True,True,,,verified
baseline,first-stage-double,assembled,True,True,True,,,verified
baseline,first-stage-double,component:1,True,True,True,,,verified
baseline,narrower-double,monolithic,True,True,True,,,verified
baseline,narrower-double,assembled,True,True,True,,,verified
baseline,narrower-double,component:1,True,True,True,,,verified
baseline,wider-double,monolithic,True,True,True,,,verified
baseline,wider-double,assembled,True,True,True,,,verified
baseline,wider-double,component:1,True,True,True,,,verified
baseline,mixed-double,monolithic,True,True,True,,,verified
baseline,mixed-double,assembled,True,True,True,,,verified
baseline,mixed-double,component:1,True,True,True,,,verified
baseline,first-stage-float32,monolithic,True,True,True,,,verified
baseline,first-stage-float32,assembled,True,True,True,,,verified
