dataset,case,component,regular,failures,unavailable,derivative_status
active-a,first-stage-double,1,False,local_correction;derivative,,transition-unverified
active-a,narrower-double,1,False,local_correction;derivative,,transition-unverified
active-a,wider-double,1,False,local_correction;derivative,,transition-unverified
active-a,mixed-double,1,False,local_correction;derivative,,transition-unverified
active-a,first-stage-float32,1,False,local_correction;derivative,,transition-unverified
active-a,narrower-float32,1,False,derivative;regular_active_face,,transition-unverified
active-a,wider-float32,1,False,local_correction;derivative,,transition-unverified
active-a,mixed-float32,1,False,local_correction;derivative,,transition-unverified
baseline,first-stage-double,1,True,,,verified
baseline,narrower-double,1,True,,,verified
baseline,wider-double,1,True,,,verified
baseline,mixed-double,1,True,,,verified
baseline,first-stage-float32,1,True,,,verified
baseline,narrower-float32,1,True,,,verified
baseline,wider-float32,1,True,,,verified
baseline,mixed-float32,1,True,,,verified
duplicate,first-stage-double,1,False,search_completed;local_weak_direction;actual_state_profile;usable_state,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable
duplicate,narrower-double,1,False,search_completed;local_weak_direction;actual_state_profile;usable_state,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable
duplicate,wider-double,1,False,search_completed;local_weak_direction;actual_state_profile;usable_state,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable
duplicate,mixed-double,1,False,identified;derivative,,transition-unverified
duplicate,first-stage-float32,1,False,search_completed;local_weak_direction;actual_state_profile;usable_state,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable
duplicate,narrower-float32,1,False,search_completed;local_weak_direction;actual_state_profile;usable_state,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable
duplicate,wider-float32,1,False,search_completed;local_weak_direction;actual_state_profile;usable_state,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable
duplicate,mixed-float32,1,False,identified;derivative;regular_active_face,,transition-unverified
heterogeneous-168,first-stage-double,1,True,,,verified
heterogeneous-168,narrower-double,1,True,,,verified
heterogeneous-168,wider-double,1,True,,,verified
heterogeneous-168,mixed-double,1,True,,,verified
heterogeneous-168,first-stage-float32,1,True,,,verified
heterogeneous-168,narrower-float32,1,True,,,verified
heterogeneous-168,wider-float32,1,True,,,verified
heterogeneous-168,mixed-float32,1,True,,,verified
near-0.02,first-stage-double,1,True,,,verified
near-0.02,narrower-double,1,True,,,verified
near-0.02,wider-double,1,True,,,verified
near-0.02,mixed-double,1,True,,,verified
near-0.02,first-stage-float32,1,True,,,verified
near-0.02,narrower-float32,1,True,,,verified
near-0.02,wider-float32,1,True,,,verified
near-0.02,mixed-float32,1,True,,,verified
near-0.10,first-stage-double,1,True,,,verified
near-0.10,narrower-double,1,True,,,verified
near-0.10,wider-double,1,True,,,verified
near-0.10,mixed-double,1,True,,,verified
near-0.10,first-stage-float32,1,True,,,verified
near-0.10,narrower-float32,1,True,,,verified
near-0.10,wider-float32,1,True,,,verified
near-0.10,mixed-float32,1,True,,,verified
regular-active,first-stage-double,00:baseline:1,True,,,verified
regular-active,first-stage-double,01:active-a:1,False,local_correction;derivative,,transition-unverified
regular-active,narrower-double,00:baseline:1,True,,,verified
regular-active,narrower-double,01:active-a:1,False,local_correction;derivative,,transition-unverified
regular-active,wider-double,00:baseline:1,True,,,verified
regular-active,wider-double,01:active-a:1,False,local_correction;derivative,,transition-unverified
regular-active,mixed-double,00:baseline:1,True,,,verified
regular-active,mixed-double,01:active-a:1,False,local_correction;derivative,,transition-unverified
regular-active,first-stage-float32,00:baseline:1,True,,,verified
regular-active,first-stage-float32,01:active-a:1,False,local_correction;derivative,,transition-unverified
regular-active,narrower-float32,00:baseline:1,True,,,verified
regular-active,narrower-float32,01:active-a:1,False,local_correction;identified;derivative;precision_feasibility,,transition-unverified
regular-active,wider-float32,00:baseline:1,True,,,verified
regular-active,wider-float32,01:active-a:1,False,local_correction;derivative,,transition-unverified
regular-active,mixed-float32,00:baseline:1,True,,,verified
regular-active,mixed-float32,01:active-a:1,False,local_correction;derivative,,transition-unverified
regular-duplicate,first-stage-double,00:baseline:1,True,,,verified
regular-duplicate,first-stage-double,01:duplicate:1,False,search_completed;local_weak_direction;actual_state_profile;usable_state,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable
regular-duplicate,narrower-double,00:baseline:1,True,,,verified
regular-duplicate,narrower-double,01:duplicate:1,False,search_completed;local_weak_direction;actual_state_profile;usable_state,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable
regular-duplicate,wider-double,00:baseline:1,True,,,verified
regular-duplicate,wider-double,01:duplicate:1,False,search_completed;local_weak_direction;actual_state_profile;usable_state,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable
regular-duplicate,mixed-double,00:baseline:1,True,,,verified
regular-duplicate,mixed-double,01:duplicate:1,False,identified;derivative,,transition-unverified
regular-duplicate,first-stage-float32,00:baseline:1,True,,,verified
regular-duplicate,first-stage-float32,01:duplicate:1,False,search_completed;local_weak_direction;actual_state_profile;usable_state,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable
regular-duplicate,narrower-float32,00:baseline:1,True,,,verified
regular-duplicate,narrower-float32,01:duplicate:1,False,search_completed;local_weak_direction;actual_state_profile;usable_state,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable
regular-duplicate,wider-float32,00:baseline:1,True,,,verified
regular-duplicate,wider-float32,01:duplicate:1,False,search_completed;local_weak_direction;actual_state_profile;usable_state,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable
regular-duplicate,mixed-float32,00:baseline:1,True,,,verified
regular-duplicate,mixed-float32,01:duplicate:1,False,identified;derivative;regular_active_face,,transition-unverified
regular-near,first-stage-double,00:baseline:1,True,,,verified
regular-near,first-stage-double,01:near-0.02:1,True,,,verified
regular-near,narrower-double,00:baseline:1,True,,,verified
regular-near,narrower-double,01:near-0.02:1,True,,,verified
regular-near,wider-double,00:baseline:1,True,,,verified
regular-near,wider-double,01:near-0.02:1,True,,,verified
regular-near,mixed-double,00:baseline:1,True,,,verified
