dataset,case,variant,available,passed,full_equivalence,limitation
active-a,first-stage-double,monolithic,True,True,False,cross-active-face at registered derivative steps
active-a,first-stage-double,assembled,True,True,False,cross-active-face at registered derivative steps
active-a,narrower-double,monolithic,True,True,False,cross-active-face at registered derivative steps
active-a,narrower-double,assembled,True,True,False,cross-active-face at registered derivative steps
active-a,wider-double,monolithic,True,True,False,cross-active-face at registered derivative steps
active-a,wider-double,assembled,True,True,False,cross-active-face at registered derivative steps
active-a,mixed-double,monolithic,True,True,False,cross-active-face at registered derivative steps
active-a,mixed-double,assembled,True,True,False,cross-active-face at registered derivative steps
active-a,first-stage-float32,monolithic,True,True,False,cross-active-face at registered derivative steps
active-a,first-stage-float32,assembled,True,True,False,cross-active-face at registered derivative steps
active-a,narrower-float32,monolithic,True,True,False,cross-active-face at registered derivative steps
active-a,narrower-float32,assembled,True,True,False,cross-active-face at registered derivative steps
active-a,wider-float32,monolithic,True,True,False,cross-active-face at registered derivative steps
active-a,wider-float32,assembled,True,True,False,cross-active-face at registered derivative steps
active-a,mixed-float32,monolithic,True,True,False,cross-active-face at registered derivative steps
active-a,mixed-float32,assembled,True,True,False,cross-active-face at registered derivative steps
baseline,first-stage-double,monolithic,True,True,True,
baseline,first-stage-double,assembled,True,True,True,
baseline,narrower-double,monolithic,True,True,True,
baseline,narrower-double,assembled,True,True,True,
baseline,wider-double,monolithic,True,True,True,
baseline,wider-double,assembled,True,True,True,
baseline,mixed-double,monolithic,True,True,True,
baseline,mixed-double,assembled,True,True,True,
baseline,first-stage-float32,monolithic,True,True,True,
baseline,first-stage-float32,assembled,True,True,True,
baseline,narrower-float32,monolithic,True,True,True,
baseline,narrower-float32,assembled,True,True,True,
baseline,wider-float32,monolithic,True,True,True,
baseline,wider-float32,assembled,True,True,True,
baseline,mixed-float32,monolithic,True,True,True,
baseline,mixed-float32,assembled,True,True,True,
duplicate,first-stage-double,monolithic,False,,False,no-valid-endpoint
duplicate,first-stage-double,assembled,False,,False,no-valid-endpoint
duplicate,narrower-double,monolithic,False,,False,no-valid-endpoint
duplicate,narrower-double,assembled,False,,False,no-valid-endpoint
duplicate,wider-double,monolithic,False,,False,no-valid-endpoint
duplicate,wider-double,assembled,False,,False,no-valid-endpoint
duplicate,mixed-double,monolithic,True,True,False,cross-active-face at registered derivative steps
duplicate,mixed-double,assembled,True,True,False,cross-active-face at registered derivative steps
duplicate,first-stage-float32,monolithic,False,,False,no-valid-endpoint
duplicate,first-stage-float32,assembled,False,,False,no-valid-endpoint
duplicate,narrower-float32,monolithic,False,,False,no-valid-endpoint
duplicate,narrower-float32,assembled,False,,False,no-valid-endpoint
duplicate,wider-float32,monolithic,False,,False,no-valid-endpoint
duplicate,wider-float32,assembled,False,,False,no-valid-endpoint
duplicate,mixed-float32,monolithic,True,True,False,cross-active-face at registered derivative steps
duplicate,mixed-float32,assembled,True,True,False,cross-active-face at registered derivative steps
heterogeneous-168,first-stage-double,monolithic,True,True,True,
heterogeneous-168,first-stage-double,assembled,True,True,True,
heterogeneous-168,narrower-double,monolithic,True,True,True,
heterogeneous-168,narrower-double,assembled,True,True,True,
heterogeneous-168,wider-double,monolithic,True,True,True,
heterogeneous-168,wider-double,assembled,True,True,True,
heterogeneous-168,mixed-double,monolithic,True,True,True,
heterogeneous-168,mixed-double,assembled,True,True,True,
heterogeneous-168,first-stage-float32,monolithic,True,True,True,
heterogeneous-168,first-stage-float32,assembled,True,True,True,
heterogeneous-168,narrower-float32,monolithic,True,True,True,
heterogeneous-168,narrower-float32,assembled,True,True,True,
heterogeneous-168,wider-float32,monolithic,True,True,True,
heterogeneous-168,wider-float32,assembled,True,True,True,
heterogeneous-168,mixed-float32,monolithic,True,True,True,
heterogeneous-168,mixed-float32,assembled,True,True,True,
near-0.02,first-stage-double,monolithic,True,True,True,
near-0.02,first-stage-double,assembled,True,True,True,
near-0.02,narrower-double,monolithic,True,True,True,
near-0.02,narrower-double,assembled,True,True,True,
near-0.02,wider-double,monolithic,True,True,True,
near-0.02,wider-double,assembled,True,True,True,
near-0.02,mixed-double,monolithic,True,True,True,
near-0.02,mixed-double,assembled,True,True,True,
near-0.02,first-stage-float32,monolithic,True,True,True,
near-0.02,first-stage-float32,assembled,True,True,True,
near-0.02,narrower-float32,monolithic,True,True,True,
near-0.02,narrower-float32,assembled,True,True,True,
near-0.02,wider-float32,monolithic,True,True,True,
near-0.02,wider-float32,assembled,True,True,True,
near-0.02,mixed-float32,monolithic,True,True,True,
near-0.02,mixed-float32,assembled,True,True,True,
near-0.10,first-stage-double,monolithic,True,True,True,
near-0.10,first-stage-double,assembled,True,True,True,
near-0.10,narrower-double,monolithic,True,True,True,
near-0.10,narrower-double,assembled,True,True,True,
near-0.10,wider-double,monolithic,True,True,True,
near-0.10,wider-double,assembled,True,True,True,
near-0.10,mixed-double,monolithic,True,True,True,
near-0.10,mixed-double,assembled,True,True,True,
near-0.10,first-stage-float32,monolithic,True,True,True,
near-0.10,first-stage-float32,assembled,True,True,True,
near-0.10,narrower-float32,monolithic,True,True,True,
near-0.10,narrower-float32,assembled,True,True,True,
near-0.10,wider-float32,monolithic,True,True,True,
near-0.10,wider-float32,assembled,True,True,True,
near-0.10,mixed-float32,monolithic,True,True,True,
near-0.10,mixed-float32,assembled,True,True,True,
regular-active,first-stage-double,monolithic,True,True,False,cross-active-face at registered derivative steps
regular-active,first-stage-double,assembled,True,True,False,cross-active-face at registered derivative steps
regular-active,narrower-double,monolithic,True,True,False,cross-active-face at registered derivative steps
regular-active,narrower-double,assembled,True,True,False,cross-active-face at registered derivative steps
regular-active,wider-double,monolithic,True,True,False,
regular-active,wider-double,assembled,True,True,False,cross-active-face at registered derivative steps
regular-active,mixed-double,monolithic,True,True,False,cross-active-face at registered derivative steps
regular-active,mixed-double,assembled,True,True,False,cross-active-face at registered derivative steps
regular-active,first-stage-float32,monolithic,True,True,False,cross-active-face at registered derivative steps
regular-active,first-stage-float32,assembled,True,True,False,cross-active-face at registered derivative steps
regular-active,narrower-float32,monolithic,True,True,False,cross-active-face at registered derivative steps
regular-active,narrower-float32,assembled,True,True,False,cross-active-face at registered derivative steps
regular-active,wider-float32,monolithic,True,True,False,cross-active-face at registered derivative steps
regular-active,wider-float32,assembled,True,True,False,cross-active-face at registered derivative steps
regular-active,mixed-float32,monolithic,True,True,False,cross-active-face at registered derivative steps
regular-active,mixed-float32,assembled,True,True,False,cross-active-face at registered derivative steps
regular-duplicate,first-stage-double,monolithic,False,,False,no-valid-endpoint
regular-duplicate,first-stage-double,assembled,False,,False,no-valid-endpoint
regular-duplicate,narrower-double,monolithic,False,,False,no-valid-endpoint
regular-duplicate,narrower-double,assembled,False,,False,no-valid-endpoint
regular-duplicate,wider-double,monolithic,False,,False,no-valid-endpoint
regular-duplicate,wider-double,assembled,False,,False,no-valid-endpoint
regular-duplicate,mixed-double,monolithic,True,True,False,
regular-duplicate,mixed-double,assembled,True,True,False,cross-active-face at registered derivative steps
regular-duplicate,first-stage-float32,monolithic,False,,False,no-valid-endpoint
regular-duplicate,first-stage-float32,assembled,False,,False,no-valid-endpoint
regular-duplicate,narrower-float32,monolithic,False,,False,no-valid-endpoint
regular-duplicate,narrower-float32,assembled,False,,False,no-valid-endpoint
regular-duplicate,wider-float32,monolithic,False,,False,no-valid-endpoint
regular-duplicate,wider-float32,assembled,False,,False,no-valid-endpoint
regular-duplicate,mixed-float32,monolithic,True,True,False,cross-active-face at registered derivative steps
regular-duplicate,mixed-float32,assembled,True,True,False,cross-active-face at registered derivative steps
regular-near,first-stage-double,monolithic,True,True,True,
regular-near,first-stage-double,assembled,True,True,True,
regular-near,narrower-double,monolithic,True,True,True,
regular-near,narrower-double,assembled,True,True,True,
regular-near,wider-double,monolithic,True,True,True,
regular-near,wider-double,assembled,True,True,True,
regular-near,mixed-double,monolithic,True,True,True,
regular-near,mixed-double,assembled,True,True,True,
regular-near,first-stage-float32,monolithic,True,True,True,
regular-near,first-stage-float32,assembled,True,True,True,
regular-near,narrower-float32,monolithic,True,True,True,
regular-near,narrower-float32,assembled,True,True,True,
regular-near,wider-float32,monolithic,True,True,True,
regular-near,wider-float32,assembled,True,True,True,
regular-near,mixed-float32,monolithic,True,True,True,
regular-near,mixed-float32,assembled,True,True,True,
regular-three,first-stage-double,monolithic,True,True,True,
regular-three,first-stage-double,assembled,True,True,True,
regular-three,narrower-double,monolithic,True,True,True,
regular-three,narrower-double,assembled,True,True,True,
