dataset,state,passed,full_equivalence
active-a,first-stage-double-initial,True,True
active-a,first-stage-float32-initial,True,True
active-a,mixed-double-initial,True,True
active-a,mixed-float32-initial,True,True
active-a,narrower-double-initial,True,True
active-a,narrower-float32-initial,True,True
active-a,wider-double-initial,True,True
active-a,wider-float32-initial,True,True
active-a,first-stage-double-endpoint,True,False
active-a,first-stage-float32-endpoint,True,False
active-a,mixed-double-endpoint,True,False
active-a,mixed-float32-endpoint,True,False
active-a,narrower-double-endpoint,True,False
active-a,narrower-float32-endpoint,True,False
active-a,wider-double-endpoint,True,False
active-a,wider-float32-endpoint,True,False
baseline,first-stage-double-initial,True,True
baseline,first-stage-float32-initial,True,True
baseline,mixed-double-initial,True,True
baseline,mixed-float32-initial,True,True
baseline,narrower-double-initial,True,True
baseline,narrower-float32-initial,True,True
baseline,wider-double-initial,True,True
baseline,wider-float32-initial,True,True
baseline,first-stage-double-endpoint,True,True
baseline,first-stage-float32-endpoint,True,True
baseline,mixed-double-endpoint,True,True
baseline,mixed-float32-endpoint,True,True
baseline,narrower-double-endpoint,True,True
baseline,narrower-float32-endpoint,True,True
baseline,wider-double-endpoint,True,True
baseline,wider-float32-endpoint,True,True
duplicate,first-stage-double-initial,True,False
duplicate,first-stage-float32-initial,True,False
duplicate,mixed-double-initial,True,True
duplicate,mixed-float32-initial,True,True
duplicate,narrower-double-initial,True,False
duplicate,narrower-float32-initial,True,False
duplicate,wider-double-initial,True,False
duplicate,wider-float32-initial,True,False
duplicate,first-stage-double-endpoint,True,False
duplicate,first-stage-float32-endpoint,True,False
duplicate,mixed-double-endpoint,True,False
duplicate,mixed-float32-endpoint,True,False
duplicate,narrower-double-endpoint,True,False
duplicate,narrower-float32-endpoint,True,False
duplicate,wider-double-endpoint,True,False
duplicate,wider-float32-endpoint,True,False
heterogeneous-168,first-stage-double-initial,True,True
heterogeneous-168,first-stage-float32-initial,True,True
heterogeneous-168,mixed-double-initial,True,True
heterogeneous-168,mixed-float32-initial,True,True
heterogeneous-168,narrower-double-initial,True,True
heterogeneous-168,narrower-float32-initial,True,True
heterogeneous-168,wider-double-initial,True,True
heterogeneous-168,wider-float32-initial,True,True
heterogeneous-168,first-stage-double-endpoint,True,True
heterogeneous-168,first-stage-float32-endpoint,True,True
heterogeneous-168,mixed-double-endpoint,True,True
heterogeneous-168,mixed-float32-endpoint,True,True
heterogeneous-168,narrower-double-endpoint,True,True
heterogeneous-168,narrower-float32-endpoint,True,True
heterogeneous-168,wider-double-endpoint,True,True
heterogeneous-168,wider-float32-endpoint,True,True
near-0.02,first-stage-double-initial,True,True
near-0.02,first-stage-float32-initial,True,True
near-0.02,mixed-double-initial,True,True
near-0.02,mixed-float32-initial,True,True
near-0.02,narrower-double-initial,True,True
near-0.02,narrower-float32-initial,True,True
near-0.02,wider-double-initial,True,True
near-0.02,wider-float32-initial,True,True
near-0.02,first-stage-double-endpoint,True,True
near-0.02,first-stage-float32-endpoint,True,True
near-0.02,mixed-double-endpoint,True,True
near-0.02,mixed-float32-endpoint,True,True
near-0.02,narrower-double-endpoint,True,True
near-0.02,narrower-float32-endpoint,True,True
near-0.02,wider-double-endpoint,True,True
near-0.02,wider-float32-endpoint,True,True
near-0.10,first-stage-double-initial,True,True
near-0.10,first-stage-float32-initial,True,True
near-0.10,mixed-double-initial,True,True
near-0.10,mixed-float32-initial,True,True
near-0.10,narrower-double-initial,True,True
near-0.10,narrower-float32-initial,True,True
near-0.10,wider-double-initial,True,True
near-0.10,wider-float32-initial,True,True
near-0.10,first-stage-double-endpoint,True,True
near-0.10,first-stage-float32-endpoint,True,True
near-0.10,mixed-double-endpoint,True,True
near-0.10,mixed-float32-endpoint,True,True
near-0.10,narrower-double-endpoint,True,True
near-0.10,narrower-float32-endpoint,True,True
near-0.10,wider-double-endpoint,True,True
near-0.10,wider-float32-endpoint,True,True
regular-active,first-stage-double-initial,True,True
regular-active,first-stage-float32-initial,True,True
regular-active,mixed-double-initial,True,True
regular-active,mixed-float32-initial,True,True
regular-active,narrower-double-initial,True,True
regular-active,narrower-float32-initial,True,True
regular-active,wider-double-initial,True,True
regular-active,wider-float32-initial,True,True
regular-active,first-stage-double-endpoint,True,False
regular-active,first-stage-float32-endpoint,True,False
regular-active,mixed-double-endpoint,True,False
regular-active,mixed-float32-endpoint,True,False
regular-active,narrower-double-endpoint,True,False
regular-active,narrower-float32-endpoint,True,False
regular-active,wider-double-endpoint,True,False
regular-active,wider-float32-endpoint,True,False
regular-duplicate,first-stage-double-initial,True,False
regular-duplicate,first-stage-float32-initial,True,False
regular-duplicate,mixed-double-initial,True,True
regular-duplicate,mixed-float32-initial,True,True
regular-duplicate,narrower-double-initial,True,False
regular-duplicate,narrower-float32-initial,True,False
regular-duplicate,wider-double-initial,True,False
regular-duplicate,wider-float32-initial,True,False
regular-duplicate,first-stage-double-endpoint,True,False
regular-duplicate,first-stage-float32-endpoint,True,False
regular-duplicate,mixed-double-endpoint,True,False
regular-duplicate,mixed-float32-endpoint,True,False
regular-duplicate,narrower-double-endpoint,True,False
regular-duplicate,narrower-float32-endpoint,True,False
regular-duplicate,wider-double-endpoint,True,False
regular-duplicate,wider-float32-endpoint,True,False
regular-near,first-stage-double-initial,True,True
regular-near,first-stage-float32-initial,True,True
regular-near,mixed-double-initial,True,True
regular-near,mixed-float32-initial,True,True
regular-near,narrower-double-initial,True,True
regular-near,narrower-float32-initial,True,True
regular-near,wider-double-initial,True,True
regular-near,wider-float32-initial,True,True
regular-near,first-stage-double-endpoint,True,True
regular-near,first-stage-float32-endpoint,True,True
regular-near,mixed-double-endpoint,True,True
regular-near,mixed-float32-endpoint,True,True
regular-near,narrower-double-endpoint,True,True
regular-near,narrower-float32-endpoint,True,True
regular-near,wider-double-endpoint,True,True
regular-near,wider-float32-endpoint,True,True
regular-three,first-stage-double-initial,True,True
regular-three,first-stage-float32-initial,True,True
regular-three,mixed-double-initial,True,True
regular-three,mixed-float32-initial,True,True
regular-three,narrower-double-initial,True,True
regular-three,narrower-float32-initial,True,True
regular-three,wider-double-initial,True,True
regular-three,wider-float32-initial,True,True
regular-three,first-stage-double-endpoint,True,True
regular-three,first-stage-float32-endpoint,True,True
regular-three,mixed-double-endpoint,True,True
regular-three,mixed-float32-endpoint,True,True
regular-three,narrower-double-endpoint,True,True
regular-three,narrower-float32-endpoint,True,True
regular-three,wider-double-endpoint,True,True
regular-three,wider-float32-endpoint,True,True
regular-two,first-stage-double-initial,True,True
regular-two,first-stage-float32-initial,True,True
regular-two,mixed-double-initial,True,True
regular-two,mixed-float32-initial,True,True
regular-two,narrower-double-initial,True,True
regular-two,narrower-float32-initial,True,True
regular-two,wider-double-initial,True,True
regular-two,wider-float32-initial,True,True
regular-two,first-stage-double-endpoint,True,True
regular-two,first-stage-float32-endpoint,True,True
regular-two,mixed-double-endpoint,True,True
regular-two,mixed-float32-endpoint,True,True
regular-two,narrower-double-endpoint,True,True
regular-two,narrower-float32-endpoint,True,True
regular-two,wider-double-endpoint,True,True
regular-two,wider-float32-endpoint,True,True
regular-weak,first-stage-double-initial,True,True
