dataset,case,scope,atoms,rows,search_counter_scope,profile_evaluations,accepted_updates,search_reference_solves,endpoint_reference_solves,audit_reference_solves,post_search_trust_reference_solves,refreshed_assessment_reference_solves,precision_reference_pairs_requested,boundary_reference_pairs_requested,boundary_seconds,refreshed_assessment_seconds,search_seconds,search_reference_seconds_nested,endpoint_audit_seconds,audit_seconds,precision_seconds_nested,process_peak_rss_bytes
active-a,first-stage-double,monolithic,12,7451,this-search,78,54,80,13,103,0,0,1,1,78.099740042,1.083e-06,0.70703075,0.31549500099999994,0.039504917,14.197793,13.545293917,170115072
active-a,first-stage-double,assembled,12,7451,sum-of-components,78,54,80,13,103,0,0,1,1,0.022133292,1.1166e-05,0,0,0.040640208,0.75787975,0.1187815,188448768
active-a,first-stage-double,1,12,7451,this-search,78,54,80,13,103,1,0,1,1,0.021986083,1.542e-06,0.709110209,0.3161975870000001,0.038262208,0.758765875,0.118171708,188448768
active-a,narrower-double,monolithic,12,7451,this-search,31,25,31,13,103,0,0,1,1,78.493042958,6.167e-06,0.279287959,0.121479209,0.040189,14.340115,13.655549875,188448768
active-a,narrower-double,assembled,12,7451,sum-of-components,31,25,31,13,103,0,0,1,1,0.022021042,1.375e-06,0,0,0.041226625,0.785957291,0.118880667,188448768
active-a,narrower-double,1,12,7451,this-search,31,25,31,13,103,1,0,1,1,0.022307541,3.917e-06,0.27975825,0.12230420399999997,0.0381585,0.78435775,0.117909541,188448768
active-a,wider-double,monolithic,12,7451,this-search,43,34,43,13,103,0,0,1,1,77.070943791,1.208e-06,0.399933667,0.17036716599999996,0.038189333,13.981439125,13.337980792,188448768
active-a,wider-double,assembled,12,7451,sum-of-components,43,34,43,13,103,0,0,1,1,0.021702334,1.5e-06,0,0,0.040445334,0.759220708,0.1176185,188448768
active-a,wider-double,1,12,7451,this-search,43,34,43,13,103,1,0,1,1,0.021744875,1.25e-06,0.398276833,0.169558291,0.037690333,0.76057875,0.116258416,188448768
active-a,mixed-double,monolithic,12,7451,this-search,32,26,32,13,103,0,0,1,1,78.304388291,1.333e-06,0.287739917,0.12469141699999996,0.038725041,14.028294792,13.364954958,188448768
active-a,mixed-double,assembled,12,7451,sum-of-components,32,26,32,13,103,0,0,1,1,0.022244709,1.375e-06,0,0,0.0403685,0.782088541,0.117832333,188448768
active-a,mixed-double,1,12,7451,this-search,32,26,32,13,103,1,0,1,1,0.021955958,1.833e-06,0.287632125,0.124822918,0.038133667,0.781908875,0.11787825,188448768
active-a,first-stage-float32,monolithic,12,7451,this-search,53,37,53,13,103,0,0,1,1,79.566194875,1.584e-06,0.474301,0.20822762199999997,0.037850417,14.669458625,13.987927333,188448768
active-a,first-stage-float32,assembled,12,7451,sum-of-components,53,37,53,13,103,0,0,1,1,0.02406,1.584e-06,0,0,0.039834541,0.772346083,0.126315667,188448768
active-a,first-stage-float32,1,12,7451,this-search,53,37,53,13,103,1,0,1,1,0.023299125,4.084e-06,0.476800667,0.20888991499999995,0.03701225,0.759470917,0.125960958,188448768
active-a,narrower-float32,monolithic,12,7451,this-search,40,30,40,13,103,0,0,1,1,79.092038458,1.25e-06,0.36370225,0.15705278800000005,0.038901583,14.3168235,13.684220584,188448768
active-a,narrower-float32,assembled,12,7451,sum-of-components,40,30,40,13,103,0,0,1,1,0.022766708,1.583e-06,0,0,0.041006416,0.759259042,0.119212792,188448768
active-a,narrower-float32,1,12,7451,this-search,40,30,40,13,103,1,0,1,1,0.022631416,2.625e-06,0.363235875,0.156977881,0.038266792,0.76764125,0.122951833,188448768
active-a,wider-float32,monolithic,12,7451,this-search,37,26,37,13,103,0,0,1,1,79.585434416,1.5e-06,0.33785375,0.14642596,0.038049917,14.893981792,14.244203,188448768
active-a,wider-float32,assembled,12,7451,sum-of-components,37,26,37,13,103,0,0,1,1,0.022822833,1.375e-06,0,0,0.039510917,0.7251245,0.120017083,188448768
active-a,wider-float32,1,12,7451,this-search,37,26,37,13,103,1,0,1,1,0.022635625,2.125e-06,0.336451041,0.14570033,0.036741583,0.7381595,0.122454834,188448768
active-a,mixed-float32,monolithic,12,7451,this-search,32,22,32,13,103,0,0,1,1,79.808795958,1.125e-06,0.281963709,0.125049,0.037753792,14.407460084,13.789308875,188448768
active-a,mixed-float32,assembled,12,7451,sum-of-components,32,22,32,13,103,0,0,1,1,0.022504042,1.291e-06,0,0,0.03942775,0.745934917,0.124745875,188448768
active-a,mixed-float32,1,12,7451,this-search,32,22,32,13,103,1,0,1,1,0.023194667,1.709e-06,0.281921459,0.125147834,0.037095833,0.74171425,0.122927416,188448768
baseline,first-stage-double,monolithic,12,7451,this-search,6,5,6,13,103,0,0,1,0,0,8.75e-07,0.053655666,0.023487251,0.036936333,13.980620333,13.470200541,169443328
baseline,first-stage-double,assembled,12,7451,sum-of-components,6,5,6,13,103,0,0,1,0,0,2.209e-06,0,0,0.038997667,0.632946208,0.120005084,173703168
baseline,first-stage-double,1,12,7451,this-search,6,5,6,13,103,1,0,1,0,0,1.416e-06,0.053839042,0.023698958000000003,0.036530042,0.642860125,0.121195417,176160768
baseline,narrower-double,monolithic,12,7451,this-search,7,5,7,13,1,0,0,0,0,0,2.458e-06,0.063706583,0.027461499,0.036830541,0.009210542,0,178438144
baseline,narrower-double,assembled,12,7451,sum-of-components,7,5,7,13,1,0,0,0,0,0,1.166e-06,0,0,0.039241042,0.007708625,0,178454528
baseline,narrower-double,1,12,7451,this-search,7,5,7,13,1,1,0,0,0,0,1.542e-06,0.063721375,0.027484543,0.036878167,0.008984834,0,178454528
baseline,wider-double,monolithic,12,7451,this-search,8,7,8,13,1,0,0,0,0,0,1.083e-06,0.072371291,0.031148457,0.037896375,0.009056333,0,178487296
baseline,wider-double,assembled,12,7451,sum-of-components,8,7,8,13,1,0,0,0,0,0,1.042e-06,0,0,0.039380084,0.007698209,0,178487296
baseline,wider-double,1,12,7451,this-search,8,7,8,13,1,1,0,0,0,0,1.292e-06,0.072749709,0.031404002,0.036315541,0.009018375,0,178487296
baseline,mixed-double,monolithic,12,7451,this-search,7,6,7,13,1,0,0,0,0,0,1.083e-06,0.063106667,0.027204874999999996,0.03656075,0.009074667,0,178536448
baseline,mixed-double,assembled,12,7451,sum-of-components,7,6,7,13,1,0,0,0,0,0,1.042e-06,0,0,0.039026291,0.007673375,0,178536448
baseline,mixed-double,1,12,7451,this-search,7,6,7,13,1,1,0,0,0,0,1.292e-06,0.063204958,0.027358332,0.0366825,0.00910425,0,178536448
baseline,first-stage-float32,monolithic,12,7451,this-search,6,5,6,13,103,0,0,1,0,0,1e-06,0.05393325,0.023414043,0.036981584,14.010017,13.498491792,178536448
baseline,first-stage-float32,assembled,12,7451,sum-of-components,6,5,6,13,103,0,0,1,0,0,1.166e-06,0,0,0.039342583,0.622223042,0.117933375,178552832
baseline,first-stage-float32,1,12,7451,this-search,6,5,6,13,103,1,0,1,0,0,1.333e-06,0.053812,0.023550499999999995,0.037113042,0.627930625,0.117928208,178569216
baseline,narrower-float32,monolithic,12,7451,this-search,7,5,7,13,1,0,0,0,0,0,1.125e-06,0.06357275,0.027440961000000003,0.037118042,0.009094917,0,179617792
