dataset,case,scope,atoms,rows,search_counter_scope,profile_evaluations,accepted_updates,search_reference_solves,endpoint_reference_solves,audit_reference_solves,post_search_trust_reference_solves,refreshed_assessment_reference_solves,precision_reference_pairs_requested,boundary_reference_pairs_requested,boundary_seconds,refreshed_assessment_seconds,search_seconds,search_reference_seconds_nested,endpoint_audit_seconds,audit_seconds,precision_seconds_nested,process_peak_rss_bytes
active-a,first-stage-double,monolithic,12,7451,this-search,78,54,80,13,103,0,0,1,1,77.712921083,1.042e-06,0.704283666,0.3139422499999999,0.039007125,14.005467958,13.362344666,163708928
active-a,first-stage-double,assembled,12,7451,sum-of-components,78,54,80,13,103,0,0,1,1,0.022416417,1.25e-06,0,0,0.040989792,0.769569167,0.120736459,172425216
active-a,first-stage-double,1,12,7451,this-search,78,54,80,13,103,1,0,1,1,0.021903792,1.958e-06,0.705561666,0.31463204100000003,0.037885459,0.760352584,0.11823225,172425216
active-a,narrower-double,monolithic,12,7451,this-search,31,25,31,13,103,0,0,1,1,80.321713833,1.5e-06,0.277011583,0.12056083699999998,0.039188416,14.180443708,13.502364791,178798592
active-a,narrower-double,assembled,12,7451,sum-of-components,31,25,31,13,103,0,0,1,1,0.022511417,1.166e-06,0,0,0.040931125,0.796702083,0.119035542,178831360
active-a,narrower-double,1,12,7451,this-search,31,25,31,13,103,1,0,1,1,0.02237475,6.334e-06,0.277049125,0.12061008499999999,0.037941042,0.804467792,0.118420875,178831360
active-a,wider-double,monolithic,12,7451,this-search,43,34,43,13,103,0,0,1,1,79.615443042,1.291e-06,0.396669875,0.168588746,0.038431542,14.269019791,13.61382175,180813824
active-a,wider-double,assembled,12,7451,sum-of-components,43,34,43,13,103,0,0,1,1,0.022906583,1.5e-06,0,0,0.040264583,0.791042708,0.122735875,180813824
active-a,wider-double,1,12,7451,this-search,43,34,43,13,103,1,0,1,1,0.023233916,1.667e-06,0.394923,0.167991754,0.037504084,0.808656875,0.122547125,180813824
active-a,mixed-double,monolithic,12,7451,this-search,32,26,32,13,103,0,0,1,1,80.471724333,2.208e-06,0.286561334,0.124336876,0.038493125,14.232737416,13.559170208,183271424
active-a,mixed-double,assembled,12,7451,sum-of-components,32,26,32,13,103,0,0,1,1,0.022904959,1.25e-06,0,0,0.039983375,0.775043167,0.12069425,183271424
active-a,mixed-double,1,12,7451,this-search,32,26,32,13,103,1,0,1,1,0.02288425,1.708e-06,0.287118334,0.12443896000000002,0.03784275,0.787106875,0.118177458,183271424
active-a,first-stage-float32,monolithic,12,7451,this-search,53,37,53,13,103,0,0,1,1,79.796176125,1.291e-06,0.47427375,0.20754629700000007,0.037845375,14.613314333,13.992860958,183271424
active-a,first-stage-float32,assembled,12,7451,sum-of-components,53,37,53,13,103,0,0,1,1,0.0225145,1.75e-06,0,0,0.039332792,0.744450167,0.125140583,183271424
active-a,first-stage-float32,1,12,7451,this-search,53,37,53,13,103,1,0,1,1,0.02281925,1.875e-06,0.47280425,0.20755087400000002,0.036981209,0.742502208,0.123206292,183271424
active-a,narrower-float32,monolithic,12,7451,this-search,40,30,40,13,103,0,0,1,1,79.646956208,1.291e-06,0.361388083,0.15617270599999997,0.038738708,14.091271542,13.467787083,183271424
active-a,narrower-float32,assembled,12,7451,sum-of-components,40,30,40,13,103,0,0,1,1,0.022564959,1.541e-06,0,0,0.040776458,0.768363917,0.124299875,183271424
active-a,narrower-float32,1,12,7451,this-search,40,30,40,13,103,1,0,1,1,0.022507708,1.25e-06,0.363635875,0.15677266100000004,0.037672125,0.766619667,0.121869208,183271424
active-a,wider-float32,monolithic,12,7451,this-search,37,26,37,13,103,0,0,1,1,77.601694292,1.166e-06,0.337060542,0.14582446000000004,0.037345958,14.016767041,13.425596458,183271424
active-a,wider-float32,assembled,12,7451,sum-of-components,37,26,37,13,103,0,0,1,1,0.023277959,1.25e-06,0,0,0.039519042,0.766416625,0.140943458,183271424
active-a,wider-float32,1,12,7451,this-search,37,26,37,13,103,1,0,1,1,0.023677375,1.333e-06,0.336360125,0.14530716799999996,0.03667025,0.847953959,0.148897042,183271424
