run,case,initialization_seconds,search_seconds,search_reference_seconds,assessment_seconds,assembly_seconds,offline_audit_records,offline_audit_seconds,boundary_seconds
physical-a,double/cases/first-stage-double,0.051788792,0.091873625,0.029441540999999998,0.157687875,0.15933675,4,99.6530135,0
physical-a,double/cases/narrower-double,0.0,0.111204042,0.039830251000000004,0.153147125,0.152850209,4,99.12613512499999,0
physical-a,double/cases/mixed-double,0.0,0.10763804199999999,0.036641499,0.1532555,0.152508334,4,99.319233917,0
physical-a,double/cases/wider-double,0.0,0.124204291,0.04185433200000001,0.154415834,0.152956625,4,99.08697525,0
physical-a,float32/cases/mixed-float32,0.0,0.106882625,0.036650125000000006,0.152993,0.153475458,4,99.472600208,0
physical-a,float32/cases/wider-float32,0.0,0.124182667,0.040207418999999994,0.15601699999999996,0.156119292,4,100.887670876,0
physical-a,float32/cases/first-stage-float32,0.049213709,0.091081792,0.031200916000000002,0.154067708,0.152777375,4,100.360281417,0
physical-a,float32/cases/narrower-float32,0.0,0.108137499,0.036700749,0.153479751,0.153016958,4,100.384472667,0
physical-b,double/cases/first-stage-double,0.049555667,0.089891083,0.028540917,0.15375195800000002,0.154389542,4,99.17286395800001,0
physical-b,double/cases/narrower-double,0.0,0.11076425100000001,0.039200584,0.15280170800000004,0.15271275,4,99.13197075,0
physical-b,double/cases/mixed-double,0.0,0.108191166,0.036684168,0.15286150099999998,0.152662958,4,100.04038912600001,0
physical-b,double/cases/wider-double,0.0,0.123207333,0.042015375,0.151984834,0.151546208,4,99.160365875,0
physical-b,float32/cases/mixed-float32,0.0,0.107627043,0.036223293000000004,0.152997874,0.152421625,4,99.055265375,0
physical-b,float32/cases/wider-float32,0.0,0.123393333,0.039964583000000005,0.157896792,0.1565815,4,99.609372249,0
physical-b,float32/cases/first-stage-float32,0.054048459,0.091733708,0.031352708,0.15553650000000002,0.15465125,4,100.097651458,0
physical-b,float32/cases/narrower-float32,0.0,0.108823875,0.036955918000000004,0.153870959,0.15298,4,101.53194808399999,0
map-v2-a,cases/mixed-float32,0.0,0.107863584,0.036561375,0.154591583,0.154102833,4,0.067835332,0
map-v2-a,cases/wider-float32,0.0,0.124253083,0.04183416399999999,0.15389587500000002,0.152877166,4,0.068745584,0
map-v2-a,cases/first-stage-float32,0.049350959,0.095519749,0.034155833999999996,0.153220085,0.154464417,4,0.068506376,0
map-v2-a,cases/narrower-float32,0.0,0.107984583,0.036333751,0.153558334,0.153272,4,0.068473167,0
map-v2-b,cases/mixed-float32,0.0,0.108424625,0.036689957999999995,0.15371937500000002,0.152927958,4,0.069135542,0
map-v2-b,cases/wider-float32,0.0,0.12441012400000001,0.042171209,0.153781709,0.153922667,4,0.06875866800000001,0
map-v2-b,cases/first-stage-float32,0.048849625,0.096188125,0.034494416,0.15527033299999998,0.155022334,4,0.0693745,0
map-v2-b,cases/narrower-float32,0.0,0.108390292,0.037246917000000004,0.15479441600000002,0.153976167,4,0.069295209,0
