dataset,case,component,regular
double,first-stage-double,1,True
double,first-stage-double,13,True
double,narrower-double,1,True
double,narrower-double,13,True
double,wider-double,1,True
double,wider-double,13,True
double,mixed-double,1,True
double,mixed-double,13,True
float32,first-stage-float32,1,True
float32,first-stage-float32,13,True
float32,narrower-float32,1,True
float32,narrower-float32,13,True
float32,wider-float32,1,True
float32,wider-float32,13,True
float32,mixed-float32,1,True
float32,mixed-float32,13,True
