state_id,serial_id,historical_C_status,frozen_C_status,joint_C_status
baseline-best-28,1,improved,unqualified,unqualified
baseline-best-28,2,improved,improved,unqualified
baseline-best-28,3,regressed,improved,unqualified
baseline-best-28,4,improved,improved,unqualified
baseline-best-28,5,improved,regressed,unqualified
baseline-best-28,6,regressed,improved,unqualified
baseline-best-28,7,regressed,improved,unqualified
baseline-best-28,8,improved,regressed,unqualified
baseline-best-28,9,improved,improved,unqualified
baseline-best-28,10,regressed,regressed,unqualified
baseline-best-28,11,regressed,regressed,unqualified
baseline-best-28,12,improved,improved,unqualified
baseline-best-28,13,regressed,regressed,unqualified
baseline-best-28,14,improved,improved,unqualified
baseline-best-28,15,regressed,improved,unqualified
baseline-best-28,16,regressed,improved,unqualified
baseline-best-28,17,improved,improved,unqualified
baseline-best-28,18,improved,improved,unqualified
baseline-best-28,19,regressed,regressed,unqualified
baseline-best-28,20,improved,improved,unqualified
baseline-best-28,21,improved,improved,unqualified
baseline-best-28,22,improved,improved,unqualified
baseline-best-28,23,regressed,regressed,unqualified
baseline-best-28,24,improved,improved,unqualified
baseline-best-28,25,regressed,improved,unqualified
baseline-best-28,26,regressed,improved,unqualified
baseline-best-28,27,regressed,improved,unqualified
baseline-best-28,28,improved,regressed,unqualified
baseline-best-28,29,improved,regressed,unqualified
baseline-best-28,30,improved,regressed,unqualified
baseline-best-28,31,regressed,regressed,unqualified
baseline-best-28,32,regressed,improved,unqualified
baseline-best-28,33,regressed,improved,unqualified
baseline-best-28,34,improved,improved,unqualified
baseline-best-28,35,regressed,improved,unqualified
baseline-best-28,36,improved,improved,unqualified
baseline-best-28,37,regressed,regressed,unqualified
baseline-best-28,38,improved,regressed,unqualified
baseline-best-28,39,improved,improved,unqualified
baseline-best-28,40,regressed,improved,unqualified
baseline-best-28,41,regressed,regressed,unqualified
baseline-best-28,42,improved,improved,unqualified
baseline-best-28,43,regressed,regressed,unqualified
baseline-best-28,44,regressed,improved,unqualified
baseline-best-28,45,improved,regressed,unqualified
baseline-best-28,46,regressed,regressed,unqualified
baseline-best-28,47,improved,improved,unqualified
baseline-best-28,48,improved,improved,unqualified
baseline-best-28,49,improved,regressed,unqualified
baseline-best-28,50,regressed,improved,unqualified
baseline-best-28,51,regressed,regressed,unqualified
baseline-best-28,52,improved,regressed,unqualified
baseline-best-28,53,regressed,regressed,unqualified
baseline-best-28,54,improved,regressed,unqualified
baseline-best-28,55,regressed,improved,unqualified
baseline-best-28,56,improved,improved,unqualified
baseline-best-28,57,improved,regressed,unqualified
baseline-best-28,58,improved,improved,unqualified
baseline-best-28,59,improved,regressed,unqualified
baseline-best-28,60,regressed,improved,unqualified
baseline-best-28,61,regressed,improved,unqualified
baseline-best-28,62,regressed,improved,unqualified
baseline-best-28,63,regressed,improved,unqualified
baseline-best-28,64,improved,improved,unqualified
baseline-best-28,65,regressed,regressed,unqualified
baseline-best-28,66,improved,regressed,unqualified
