parameters,prediction,serial_id,n,A,B,C,truth_A,truth_B,truth_C,error_A,error_B,error_C,reference_A,reference_B,reference_C,qualified,stationarity,condition,reference_difference,loss
AB,analytic,1,100,6.989367591592367,0.5003040471671539,-0.592,7.0,0.5,-0.592,-0.010632408407633243,0.0003040471671539313,0.0,6.989367584708625,0.5003040469485541,-0.592,True,5.099444246673693e-11,7.209372272743302,9.848876148734977e-10,0.002828658982118216
AB,analytic,2,100,5.983745444714268,0.4990043586924708,0.244,6.0,0.5,0.244,-0.016254555285732053,-0.0009956413075292159,0.0,5.9837455064051825,0.4990043606355033,0.244,True,2.280525470825321e-11,8.41108936371531,1.0309749058164228e-08,0.0009859926905223936
AB,analytic,3,100,6.0612086865548935,0.5029129556015347,0.559,6.0,0.5,0.559,0.06120868655489353,0.002912955601534706,0.0,6.061208860020145,0.5029129607155396,0.559,True,1.2163132040491052e-09,8.968343215700814,2.861891993135026e-08,0.0015596474477577074
AB,analytic,4,100,7.995714990579379,0.49986963892979563,-0.665,8.0,0.5,-0.665,-0.004285009420621044,-0.0001303610702043656,0.0,7.995714754932298,0.49986963240898863,-0.665,True,3.170022361879122e-09,7.2214849233028096,2.947167086283329e-08,0.000796739935455339
AB,analytic,5,100,6.034140791182412,0.5017658793640049,-0.274,6.0,0.5,-0.274,0.03414079118241187,0.001765879364004852,0.0,6.034140664218285,0.5017658749229266,-0.274,True,6.414144112311425e-10,7.602087942840439,2.1040962020180792e-08,0.0019480274004973746
AB,analytic,6,100,5.932133165803636,0.4974885767686879,0.073,6.0,0.5,0.073,-0.06786683419636397,-0.0025114232313120932,0.0,5.932133116922202,0.4974885751661004,0.073,True,2.190300605914e-10,8.119489777807342,8.240110706446523e-09,0.0011279945240589505
AB,analytic,7,100,16.01596894915942,0.5002043606760811,-0.141,16.0,0.5,-0.141,0.0159689491594186,0.00020436067608109454,0.0,16.015968410001317,0.500204353921103,-0.141,True,2.1905840648593304e-09,7.944362724422432,3.366378287741456e-08,0.00022442415365460624
AB,analytic,8,100,6.0008542776221985,0.5000241529779659,-0.07,6.0,0.5,-0.07,0.0008542776221984738,2.4152977965874456e-05,0.0,6.000854339549743,0.500024155055509,-0.07,True,7.165009725523332e-10,7.914808663303257,1.0319788044469542e-08,1.9967755262277585e-05
AB,analytic,9,100,7.070886415711079,0.5023705162799043,-0.589,7.0,0.5,-0.589,0.07088641571107868,0.0023705162799042556,0.0,7.07088646107886,0.5023705177080727,-0.589,True,1.109219167397457e-09,7.235916166474708,6.416137747543811e-09,0.003595696929135428
AB,analytic,10,100,5.953149639558785,0.4984057376050739,0.235,6.0,0.5,0.235,-0.04685036044121471,-0.0015942623949261048,0.0,5.953149659062051,0.49840573822282985,0.235,True,5.0466945719467734e-11,8.391099982836149,3.2761255446419386e-09,0.0035068984591269834
AB,analytic,11,100,5.978916266487817,0.4989821015135368,0.559,6.0,0.5,0.559,-0.0210837335121834,-0.0010178984864632201,0.0,5.978916293776324,0.4989821023232414,0.559,True,5.8462098899658774e-12,8.920582510726984,4.564122679240382e-09,0.0012795639340118159
AB,analytic,12,100,7.995607839062191,0.4999851170892323,-0.656,8.0,0.5,-0.656,-0.004392160937809031,-1.4882910767677338e-05,0.0,7.9956078837215125,0.49998511832346126,-0.656,True,7.124872643727655e-10,7.233071252442086,5.5854817074111195e-09,0.0006688532614454853
AB,analytic,13,100,5.953580329776161,0.49768723243428764,-0.156,6.0,0.5,-0.156,-0.046419670223839304,-0.002312767565712359,0.0,5.953580277592547,0.4976872306451451,-0.156,True,3.803693915720931e-10,7.7527311408699076,8.765081007389747e-09,0.00445403391804642
AB,analytic,14,100,6.00828911692112,0.5003042070762886,0.007,6.0,0.5,0.007,0.008289116921120332,0.00030420707628864285,0.0,6.008288960113262,0.5003042019034035,0.007,True,1.5982801338500877e-09,8.042206461845913,2.609858733529551e-08,0.0005531951832474886
AB,analytic,15,100,6.013284562598695,0.5004331369258561,-0.204,6.0,0.5,-0.204,0.01328456259869526,0.00043313692585611463,0.0,6.013284559218983,0.5004331368093318,-0.204,True,2.4230170323765576e-11,7.70261727272012,5.620410068193909e-10,0.00018528996699159367
AB,analytic,16,100,6.0124430081031734,0.500296094854206,-0.205,6.0,0.5,-0.205,0.012443008103173447,0.00029609485420600823,0.0,6.012442947271346,0.5002960927567006,-0.205,True,7.598468059358869e-10,7.699758041944947,1.0117655584132586e-08,0.00018553533859128716
AB,analytic,17,100,6.00094226910901,0.4999168217116786,-0.177,6.0,0.5,-0.177,0.0009422691090099633,-8.317828832138385e-05,0.0,6.0009422082845285,0.499916819624541,-0.177,True,7.191747988421639e-10,7.741000801378718,1.0135821796621877e-08,8.485978273664894e-05
AB,analytic,18,100,5.9961151179949255,0.4998325719112199,-0.179,6.0,0.5,-0.179,-0.0038848820050745303,-0.0001674280887801194,0.0,5.996114942257783,0.49983256587434716,-0.179,True,2.1607280678558735e-09,7.7367882364305585,2.930850037291299e-08,8.286105976730321e-05
AB,analytic,19,100,6.012509453515527,0.5002646560870975,-0.182,6.0,0.5,-0.182,0.012509453515527014,0.00026465608709747013,0.0,6.012509355381335,0.5002646527204326,-0.182,True,1.2092320810121183e-09,7.736599455009556,1.632166952693414e-08,0.0001983013115527994
AB,analytic,20,100,7.0387251532814545,0.50191446753285,-0.59,7.0,0.5,-0.59,0.03872515328145454,0.0019144675328499616,0.0,7.038724929367255,0.5019144604541886,-0.59,True,1.614555248066794e-09,7.2279287226082545,3.1811754871239595e-08,0.003856033708090629
