dataset,case,serial_id,A,B,C,A_error,B_error,C_error,truth_comparison_identifiable
heterogeneous-168,first-stage-double,1,6.9999999999999964,0.45,-0.5919999999999997,-3.552713678800501e-15,0.0,2.220446049250313e-16,True
heterogeneous-168,first-stage-double,2,6.0,0.5,0.24400000000000013,0.0,0.0,1.3877787807814457e-16,True
heterogeneous-168,first-stage-double,3,6.000000000000004,0.5,0.5589999999999987,4.440892098500626e-15,0.0,-1.3322676295501878e-15,True
heterogeneous-168,first-stage-double,4,7.999999999999989,0.4,-0.6649999999999983,-1.0658141036401503e-14,0.0,1.7763568394002505e-15,True
heterogeneous-168,first-stage-double,5,6.000000000000004,0.5,-0.2740000000000003,4.440892098500626e-15,0.0,-2.7755575615628914e-16,True
heterogeneous-168,first-stage-double,6,5.9999999999999964,0.5,0.07300000000000065,-3.552713678800501e-15,0.0,6.522560269672795e-16,True
heterogeneous-168,first-stage-double,7,15.999999999999986,0.5,-0.14099999999999996,-1.4210854715202004e-14,0.0,2.7755575615628914e-17,True
heterogeneous-168,first-stage-double,8,6.000000000000003,0.5,-0.06999999999999995,2.6645352591003757e-15,0.0,5.551115123125783e-17,True
heterogeneous-168,first-stage-double,9,7.000000000000002,0.45,-0.5890000000000006,1.7763568394002505e-15,0.0,-6.661338147750939e-16,True
heterogeneous-168,first-stage-double,10,5.99999999999999,0.5,0.23500000000000168,-9.769962616701378e-15,0.0,1.6930901125533637e-15,True
heterogeneous-168,first-stage-double,11,5.99999999999999,0.5,0.5589999999999994,-9.769962616701378e-15,0.0,-6.661338147750939e-16,True
heterogeneous-168,first-stage-double,12,8.00000000000001,0.4,-0.6559999999999999,1.0658141036401503e-14,0.0,1.1102230246251565e-16,True
heterogeneous-168,first-stage-double,13,5.999999999999998,0.5,-0.15600000000000022,-1.7763568394002505e-15,0.0,-2.220446049250313e-16,True
heterogeneous-168,first-stage-double,14,6.000000000000001,0.5,0.007000000000000305,8.881784197001252e-16,0.0,3.0444397003392965e-16,True
heterogeneous-168,first-stage-double,15,5.999999999999994,0.5,-0.20399999999999963,-6.217248937900877e-15,0.0,3.608224830031759e-16,True
heterogeneous-168,first-stage-double,16,6.0,0.5,-0.20500000000000038,0.0,0.0,-3.885780586188048e-16,True
heterogeneous-168,first-stage-double,17,6.000000000000001,0.5,-0.1770000000000006,8.881784197001252e-16,0.0,-6.106226635438361e-16,True
heterogeneous-168,first-stage-double,18,6.000000000000002,0.5,-0.17900000000000058,1.7763568394002505e-15,0.0,-5.828670879282072e-16,True
heterogeneous-168,first-stage-double,19,6.000000000000014,0.5,-0.1819999999999999,1.4210854715202004e-14,0.0,8.326672684688674e-17,True
heterogeneous-168,first-stage-double,20,6.999999999999997,0.45,-0.590000000000001,-2.6645352591003757e-15,0.0,-9.992007221626409e-16,True
heterogeneous-168,first-stage-double,21,6.000000000000011,0.5,0.24000000000000007,1.0658141036401503e-14,0.0,8.326672684688674e-17,True
heterogeneous-168,first-stage-double,22,5.999999999999984,0.5,0.5580000000000025,-1.5987211554602254e-14,0.0,2.4424906541753444e-15,True
heterogeneous-168,first-stage-double,23,7.999999999999995,0.4,-0.6580000000000014,-5.329070518200751e-15,0.0,-1.3322676295501878e-15,True
heterogeneous-168,first-stage-double,24,6.000000000000004,0.5,-0.2150000000000006,4.440892098500626e-15,0.0,-6.106226635438361e-16,True
heterogeneous-168,first-stage-double,25,5.999999999999985,0.5,-0.1900000000000003,-1.509903313490213e-14,0.0,-3.0531133177191805e-16,True
heterogeneous-168,first-stage-double,26,6.00000000000001,0.5,0.11600000000000117,9.769962616701378e-15,0.0,1.1657341758564144e-15,True
heterogeneous-168,first-stage-double,27,6.999999999999991,0.45,-0.6040000000000006,-8.881784197001252e-15,0.0,-6.661338147750939e-16,True
heterogeneous-168,first-stage-double,28,6.000000000000008,0.5,0.9009999999999967,7.993605777301127e-15,0.0,-3.3306690738754696e-15,True
heterogeneous-168,first-stage-double,29,7.00000000000002,0.45,-0.908000000000002,2.042810365310288e-14,0.0,-1.9984014443252818e-15,True
heterogeneous-168,first-stage-double,30,7.000000000000041,0.45,-0.9059999999999971,4.085620730620576e-14,0.0,2.886579864025407e-15,True
heterogeneous-168,first-stage-double,31,6.999999999999987,0.45,-0.584000000000001,-1.3322676295501878e-14,0.0,-9.992007221626409e-16,True
heterogeneous-168,first-stage-double,32,5.999999999999987,0.5,0.23500000000000157,-1.3322676295501878e-14,0.0,1.582067810090848e-15,True
heterogeneous-168,first-stage-double,33,6.000000000000021,0.5,0.5630000000000012,2.1316282072803006e-14,0.0,1.2212453270876722e-15,True
heterogeneous-168,first-stage-double,34,7.999999999999985,0.4,-0.6630000000000004,-1.509903313490213e-14,0.0,-3.3306690738754696e-16,True
heterogeneous-168,first-stage-double,35,6.000000000000002,0.5,-0.1530000000000004,1.7763568394002505e-15,0.0,-4.163336342344337e-16,True
heterogeneous-168,first-stage-double,36,5.999999999999991,0.5,0.02199999999999885,-8.881784197001252e-15,0.0,-1.1483869410966463e-15,True
heterogeneous-168,first-stage-double,37,7.0000000000000195,0.45,-0.2959999999999997,1.9539925233402755e-14,0.0,2.7755575615628914e-16,True
heterogeneous-168,first-stage-double,38,5.999999999999998,0.5,-0.18199999999999997,-1.7763568394002505e-15,0.0,2.7755575615628914e-17,True
heterogeneous-168,first-stage-double,39,6.000000000000021,0.5,-0.01200000000000057,2.1316282072803006e-14,0.0,-5.689893001203927e-16,True
heterogeneous-168,first-stage-double,40,6.999999999999992,0.45,-0.22499999999999923,-7.993605777301127e-15,0.0,7.771561172376096e-16,True
heterogeneous-168,first-stage-double,41,6.999999999999994,0.45,-0.5680000000000016,-6.217248937900877e-15,0.0,-1.6653345369377348e-15,True
heterogeneous-168,first-stage-double,42,5.9999999999999964,0.5,0.2460000000000019,-3.552713678800501e-15,0.0,1.915134717478395e-15,True
heterogeneous-168,first-stage-double,43,5.999999999999996,0.5,0.5699999999999997,-4.440892098500626e-15,0.0,-2.220446049250313e-16,True
heterogeneous-168,first-stage-double,44,8.000000000000005,0.4,-0.6729999999999997,5.329070518200751e-15,0.0,3.3306690738754696e-16,True
heterogeneous-168,first-stage-double,45,6.000000000000018,0.5,-0.2760000000000001,1.7763568394002505e-14,0.0,-5.551115123125783e-17,True
heterogeneous-168,first-stage-double,46,5.9999999999999964,0.5,0.7039999999999975,-3.552713678800501e-15,0.0,-2.4424906541753444e-15,True
heterogeneous-168,first-stage-double,47,8.000000000000016,0.4,-0.7709999999999991,1.5987211554602254e-14,0.0,8.881784197001252e-16,True
heterogeneous-168,first-stage-double,48,8.000000000000002,0.4,-0.7609999999999997,1.7763568394002505e-15,0.0,3.3306690738754696e-16,True
heterogeneous-168,first-stage-double,49,7.000000000000005,0.45,-0.5749999999999987,5.329070518200751e-15,0.0,1.2212453270876722e-15,True
heterogeneous-168,first-stage-double,50,5.999999999999987,0.5,0.23399999999999893,-1.3322676295501878e-14,0.0,-1.0824674490095276e-15,True
heterogeneous-168,first-stage-double,51,6.000000000000029,0.5,0.5679999999999994,2.930988785010413e-14,0.0,-5.551115123125783e-16,True
heterogeneous-168,first-stage-double,52,7.999999999999999,0.4,-0.6809999999999992,-8.881784197001252e-16,0.0,8.881784197001252e-16,True
